Region,Resource,Zone,Cluster,AnnualSum
NO3 0,NO3 0 PHS,9,1,0.0
SE3 0,SE3 0 PHS,10,1,0.0
BE0 0,BE0 0 Battery,1,1,1.7903435e8
DE0 0,DE0 0 Battery,2,1,4.5338368e8
DK0 0,DK0 0 Battery,3,1,1.8646261e6
DK3 0,DK3 0 Battery,4,1,4.3794025e6
FR0 0,FR0 0 Battery,5,1,1.8633821e6
GB4 0,GB4 0 Battery,6,1,7.52035e6
GB5 0,GB5 0 Battery,7,1,6.6793965e8
NL0 0,NL0 0 Battery,8,1,1.9719891e8
NO0 0,NO0 0 Battery,9,1,187605.84
SE3 0,SE3 0 Battery,10,1,263618.72
