,Biohydrogen Produced,Biohydrogen Produced,Biohydrogen Produced
Zone,1,2,3
AnnualSum,1.883196609870281e6,0.0,0.0
t1,214.97678194866202,0.0,0.0
t2,214.97678194866202,0.0,0.0
t3,214.97678194866202,0.0,0.0
t4,214.97678194866202,0.0,0.0
t5,214.97678194866202,0.0,0.0
t6,214.97678194866202,0.0,0.0
t7,214.97678194866202,0.0,0.0
t8,214.97678194866202,0.0,0.0
t9,214.97678194866202,0.0,0.0
t10,214.97678194866202,0.0,0.0
t11,214.97678194866202,0.0,0.0
t12,214.97678194866202,0.0,0.0
t13,214.97678194866202,0.0,0.0
t14,214.97678194866202,0.0,0.0
t15,214.97678194866202,0.0,0.0
t16,214.97678194866202,0.0,0.0
t17,214.97678194866202,0.0,0.0
t18,214.97678194866202,0.0,0.0
t19,214.97678194866202,0.0,0.0
t20,214.97678194866202,0.0,0.0
t21,214.97678194866202,0.0,0.0
t22,214.97678194866202,0.0,0.0
t23,214.97678194866202,0.0,0.0
t24,214.97678194866202,0.0,0.0
t25,214.97678194866202,0.0,0.0
t26,214.97678194866202,0.0,0.0
t27,214.97678194866202,0.0,0.0
t28,214.97678194866202,0.0,0.0
t29,214.97678194866202,0.0,0.0
t30,214.97678194866202,0.0,0.0
t31,214.97678194866202,0.0,0.0
t32,214.97678194866202,0.0,0.0
t33,214.97678194866202,0.0,0.0
t34,214.97678194866202,0.0,0.0
t35,214.97678194866202,0.0,0.0
t36,214.97678194866202,0.0,0.0
t37,214.97678194866202,0.0,0.0
t38,214.97678194866202,0.0,0.0
t39,214.97678194866202,0.0,0.0
t40,214.97678194866202,0.0,0.0
t41,214.97678194866202,0.0,0.0
t42,214.97678194866202,0.0,0.0
t43,214.97678194866202,0.0,0.0
t44,214.97678194866202,0.0,0.0
t45,214.97678194866202,0.0,0.0
t46,214.97678194866202,0.0,0.0
t47,214.97678194866202,0.0,0.0
t48,214.97678194866202,0.0,0.0
t49,214.97678194866202,0.0,0.0
t50,214.97678194866202,0.0,0.0
t51,214.97678194866202,0.0,0.0
t52,214.97678194866202,0.0,0.0
t53,214.97678194866202,0.0,0.0
t54,214.97678194866202,0.0,0.0
t55,214.97678194866202,0.0,0.0
t56,214.97678194866202,0.0,0.0
t57,214.97678194866202,0.0,0.0
t58,214.97678194866202,0.0,0.0
