Costs,Total,Zone1,Zone2,Zone3
cTotal,7.135953719797478e9,7.135953719797479e9,0.0,0.0
cBiorefineryFix,1.9384794265908325e9,1.9384794265908325e9,0.0,0.0
cBiorefineryVar,9.013507925076357e8,9.013507925076357e8,0.0,0.0
cHerb,4.29612350069901e9,4.29612350069901e9,0.0,0.0
cWood,0.0,0.0,0.0,0.0
