Herbcaeous biomass consumed by zone,1,2,3,Total
AnnualSum,3.2223446e7,0.0,0.0,3.2223446e7
t1,3678.475620542641,0.0,0.0,3678.475620542641
t2,3678.475620542641,0.0,0.0,3678.475620542641
t3,3678.475620542641,0.0,0.0,3678.475620542641
t4,3678.475620542641,0.0,0.0,3678.475620542641
t5,3678.475620542641,0.0,0.0,3678.475620542641
t6,3678.475620542641,0.0,0.0,3678.475620542641
t7,3678.475620542641,0.0,0.0,3678.475620542641
t8,3678.475620542641,0.0,0.0,3678.475620542641
t9,3678.475620542641,0.0,0.0,3678.475620542641
t10,3678.475620542641,0.0,0.0,3678.475620542641
t11,3678.475620542641,0.0,0.0,3678.475620542641
t12,3678.475620542641,0.0,0.0,3678.475620542641
t13,3678.475620542641,0.0,0.0,3678.475620542641
t14,3678.475620542641,0.0,0.0,3678.475620542641
t15,3678.475620542641,0.0,0.0,3678.475620542641
t16,3678.475620542641,0.0,0.0,3678.475620542641
t17,3678.475620542641,0.0,0.0,3678.475620542641
t18,3678.475620542641,0.0,0.0,3678.475620542641
t19,3678.475620542641,0.0,0.0,3678.475620542641
t20,3678.475620542641,0.0,0.0,3678.475620542641
t21,3678.475620542641,0.0,0.0,3678.475620542641
t22,3678.475620542641,0.0,0.0,3678.475620542641
t23,3678.475620542641,0.0,0.0,3678.475620542641
t24,3678.475620542641,0.0,0.0,3678.475620542641
t25,3678.475620542641,0.0,0.0,3678.475620542641
t26,3678.475620542641,0.0,0.0,3678.475620542641
t27,3678.475620542641,0.0,0.0,3678.475620542641
t28,3678.475620542641,0.0,0.0,3678.475620542641
t29,3678.475620542641,0.0,0.0,3678.475620542641
t30,3678.475620542641,0.0,0.0,3678.475620542641
t31,3678.475620542641,0.0,0.0,3678.475620542641
t32,3678.475620542641,0.0,0.0,3678.475620542641
t33,3678.475620542641,0.0,0.0,3678.475620542641
t34,3678.475620542641,0.0,0.0,3678.475620542641
t35,3678.475620542641,0.0,0.0,3678.475620542641
t36,3678.475620542641,0.0,0.0,3678.475620542641
t37,3678.475620542641,0.0,0.0,3678.475620542641
t38,3678.475620542641,0.0,0.0,3678.475620542641
t39,3678.475620542641,0.0,0.0,3678.475620542641
t40,3678.475620542641,0.0,0.0,3678.475620542641
t41,3678.475620542641,0.0,0.0,3678.475620542641
t42,3678.475620542641,0.0,0.0,3678.475620542641
t43,3678.475620542641,0.0,0.0,3678.475620542641
t44,3678.475620542641,0.0,0.0,3678.475620542641
