,Generation,H2-G2P,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,HSC_Consumption,Demand,Generation,H2-G2P,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,HSC_Consumption,Demand,Generation,H2-G2P,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,HSC_Consumption,Demand
Zone,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3
AnnualSum,9.361564455640092e7,283.2703960910678,0.0,0.0,0.0,0.0,0.0,0.0,-1.0953139578197988e7,-107642.20784663281,-60832.0407523835,-8.249431400000001e7,2.4240467620283954e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-138.98539444537874,-5.17732802007368,-676247.4575614876,-2.3564076000000004e7,560749.5478785589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0953278563592434e7,-107637.03051861274,-160172.080952381,-1.1246218999999998e7
t1,8642.429416334955,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-1049.5664635921257,-10.314009345885355,-18.301024554495374,-7564.2479188424495,2342.0459063273206,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-181.14179647066274,-2160.904109856658,52.18175819265238,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,1049.5664635921257,-10.314009345885355,-60.55416666666665,-1030.8800457722261
t2,8171.8850253091605,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-976.9688421770247,-9.600598073957194,-18.301024554495374,-7167.014560503682,2228.535379155862,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-181.14179647066274,-2047.3935826851991,69.42196998704252,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,976.9688421770247,-9.600598073957194,-60.55416666666665,-976.2360474234434
t3,7958.169676172896,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-960.9764463600535,-9.443442023682099,-18.301024554495374,-6969.448763234665,2171.7801155701327,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-181.14179647066274,-1990.63831909947,58.98605670143944,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,960.9764463600535,-9.443442023682099,-60.55416666666665,-949.9648943711442
t4,7858.65396608249,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-921.7465141334724,-9.057932480781302,-18.301024554495374,-6909.548494913741,2141.911741174361,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-168.08979647066272,-1973.8219447036981,74.71729374171792,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,921.7465141334724,-9.057932480781302,-45.8477500000007,-941.5581253944083
t5,8009.939848608772,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-920.5138998439625,-9.04581967445328,-17.4028767230182,-7062.977252367338,2134.4067239632614,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-116.44179647066275,-2017.964927492599,83.36113433340527,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,920.5138998439625,-9.04581967445328,-32.254166666666656,-962.5750478362478
t6,8551.104110036382,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-965.0553795806773,-9.483525388402777,-7.062876723018199,-7569.502328344285,2226.6079531267924,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-63.601796470662734,-2163.0061566561294,85.71320436871048,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,965.0553795806773,-9.483525388402777,-9.354166666666659,-1031.9308918943182
t7,9923.340801146147,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-1139.0821470393341,-11.193673119171288,-0.30287672301820123,-8772.762104264624,2539.2595137192134,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-33.61972874923656,-2505.639784969977,67.97441302050302,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,1139.0821470393341,-11.193673119171288,-0.0,-1195.862886940666
t8,11172.087811391195,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-1303.0613833184073,-12.805084529674163,-0.0,-9856.221343543113,2849.3114166412533,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-33.61972874923656,-2815.691687892017,52.72504524480906,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,1303.0613833184073,-12.805084529674163,-0.0,-1342.9813440335422
t9,11842.849533192373,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-1389.731945432245,-13.656789513268844,-0.0,-10439.460798246859,3015.3731137994982,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-33.61972874923656,-2981.753385050262,46.770493393556244,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,1389.731945432245,-13.656789513268844,-0.0,-1422.8456493125323
t10,12309.841371081713,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-1448.405030064953,-14.233365427463493,-0.0,-10847.202975589298,3132.0367111701644,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-33.61972874923656,-3098.416982420928,44.368829145917125,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,1448.405030064953,-14.233365427463493,-0.0,-1478.5404937834069
t11,12647.151836430248,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-1469.1957347386501,-14.437674091803007,-0.0,-11163.518427599796,3222.4247235474368,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-33.61972874923656,-3188.8049947982004,67.91797026442251,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,1469.1957347386501,-14.437674091803007,-0.0,-1522.6760309112697
t12,12853.183437347787,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-1479.660466073626,-14.540510206079865,-0.0,-11358.982461068079,3278.1289637334303,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-33.61972874923656,-3244.509234984194,83.8272280960231,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,1479.660466073626,-14.540510206079865,-0.0,-1548.9471839635692
t13,12965.778653567984,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-1485.0131282546054,-14.593110407853693,-0.0,-11466.172414905524,3308.608642325766,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-33.61972874923656,-3274.98891357653,93.23901182610504,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,1485.0131282546054,-14.593110407853693,-0.0,-1563.6590296728566
t14,13079.239565967799,5.432582938732807,0.0,-0.0,0.0,-0.0,0.0,0.0,-1499.642095314654,-14.820330550010048,-0.0,-11570.209723041868,3310.723709167545,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-5.222980425791322,-0.032136572886989304,-0.0,-3305.4685921688665,87.24314749673107,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,1504.865075740445,-14.78819397712306,-0.0,-1577.3200292600523
t15,13079.239565967799,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-1493.2382530242403,-14.740708001321446,-0.0,-11571.260604942236,3310.723709167545,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-4.178384340633322,-0.02570925830959307,-0.0,-3306.519615568602,94.6183906381899,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,1497.4166373648736,-14.714998743011854,-0.0,-1577.3200292600523
t16,13079.239565967799,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-1486.0251017021965,-14.597686020797548,-0.0,-11578.616778244805,3310.723709167545,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,1.4613406104934525,-0.008991509677106458,-4.605419300023422,-3307.570638968338,108.39580880156213,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,1484.563761091703,-14.588694511120442,-0.0,-1578.3708753821443
t17,13079.239565967799,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-1473.5319194711374,-14.480285447451026,-0.0,-11591.22736104921,3310.723709167545,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-3310.723709167545,121.42093360264282,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,1473.5319194711374,-14.480285447451026,-0.0,-1580.4725676263283
t18,12975.902548591514,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-1471.122619265061,-14.437230712486546,-0.0,-11490.342698613968,3310.723709167545,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,5.27455083780064,-0.032453881429094056,-33.61972874923656,-3282.34607737468,114.31743032083796,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,1465.8480684272604,-14.404776831057452,-0.0,-1565.7607219170407
