Period_Index,Rep_Period,Rep_Period_Index
1,8,1
2,51,5
3,8,1
4,51,5
5,13,2
6,13,2
7,13,2
8,13,2
9,13,2
10,13,2
11,13,2
12,8,1
13,13,2
14,26,3
15,26,3
16,26,3
17,26,3
18,26,3
19,26,3
20,26,3
21,32,4
22,32,4
23,8,1
24,32,4
25,32,4
26,32,4
27,32,4
28,32,4
29,32,4
30,32,4
31,32,4
32,32,4
33,32,4
34,8,1
35,32,4
36,32,4
37,32,4
38,51,5
39,51,5
40,8,1
41,8,1
42,8,1
43,8,1
44,51,5
45,51,5
46,51,5
47,51,5
48,51,5
49,8,1
50,8,1
51,8,1
52,8,1
