CO2_Resource,Zone,etaPCO2_MWh_per_tonne,etaFuel_MMBtu_per_tonne,Fuel,Inv_Cost_per_tonne_per_hr_yr,Fixed_OM_Cost_per_tonne_per_hr_yr,Var_OM_Cost_per_tonne,Power_Production_MWh_per_tonne,Fuel_CCS_Rate,Min_capacity_tonne_per_hr,Max_capacity_tonne_per_hr,Ramp_Up_Percentage,Ramp_Down_Percentage,CO2_Capture_Min_Output
CA_Solvent_wNGCC_DAC,1,0,10.397,CA_reference_naturalgas,8.69E+05,3.84E+05,58.41,0.125,0.99,0,-1,1,1,0
NW_Solvent_wNGCC_DAC,2,0,10.397,NW_reference_naturalgas,8.69E+05,3.84E+05,58.41,0.125,0.99,0,-1,1,1,0
SW_Solvent_wNGCC_DAC,3,0,10.397,SW_reference_naturalgas,8.69E+05,3.84E+05,58.41,0.125,0.99,0,-1,1,1,0
TX_Solvent_wNGCC_DAC,4,0,10.397,TX_reference_naturalgas,8.69E+05,3.84E+05,58.41,0.125,0.99,0,-1,1,1,0
NCEN_Solvent_wNGCC_DAC,5,0,10.397,NCEN_reference_naturalgas,8.69E+05,3.84E+05,58.41,0.125,0.99,0,-1,1,1,0
CEN_Solvent_wNGCC_DAC,6,0,10.397,CEN_reference_naturalgas,8.69E+05,3.84E+05,58.41,0.125,0.99,0,-1,1,1,0
SE_Solvent_wNGCC_DAC,7,0,10.397,SE_reference_naturalgas,8.69E+05,3.84E+05,58.41,0.125,0.99,0,-1,1,1,0
MIDAT_Solvent_wNGCC_DAC,8,0,10.397,MIDAT_reference_naturalgas,8.69E+05,3.84E+05,58.41,0.125,0.99,0,-1,1,1,0
NE_Solvent_wNGCC_DAC,9,0,10.397,NE_reference_naturalgas,8.69E+05,3.84E+05,58.41,0.125,0.99,0,-1,1,1,0
CA_Sorbent_wNGCC_DAC,1,0,22.643,CA_reference_naturalgas,2.14E+06,1.18E+06,61,0,0.9,0,-1,1,1,0
NW_Sorbent_wNGCC_DAC,2,0,22.643,NW_reference_naturalgas,2.14E+06,1.18E+06,61,0,0.9,0,-1,1,1,0
SW_Sorbent_wNGCC_DAC,3,0,22.643,SW_reference_naturalgas,2.14E+06,1.18E+06,61,0,0.9,0,-1,1,1,0
TX_Sorbent_wNGCC_DAC,4,0,22.643,TX_reference_naturalgas,2.14E+06,1.18E+06,61,0,0.9,0,-1,1,1,0
NCEN_Sorbent_wNGCC_DAC,5,0,22.643,NCEN_reference_naturalgas,2.14E+06,1.18E+06,61,0,0.9,0,-1,1,1,0
CEN_Sorbent_wNGCC_DAC,6,0,22.643,CEN_reference_naturalgas,2.14E+06,1.18E+06,61,0,0.9,0,-1,1,1,0
SE_Sorbent_wNGCC_DAC,7,0,22.643,SE_reference_naturalgas,2.14E+06,1.18E+06,61,0,0.9,0,-1,1,1,0
MIDAT_Sorbent_wNGCC_DAC,8,0,22.643,MIDAT_reference_naturalgas,2.14E+06,1.18E+06,61,0,0.9,0,-1,1,1,0
NE_Sorbent_wNGCC_DAC,9,0,22.643,NE_reference_naturalgas,2.14E+06,1.18E+06,61,0,0.9,0,-1,1,1,0
CA_Sorbent_DAC,1,4.38,0,None,9.39E+05,7.47E+05,22,0,0,0,-1,1,1,0
NW_Sorbent_DAC,2,4.38,0,None,9.39E+05,7.47E+05,22,0,0,0,-1,1,1,0
SW_Sorbent_DAC,3,4.38,0,None,9.39E+05,7.47E+05,22,0,0,0,-1,1,1,0
TX_Sorbent_DAC,4,4.38,0,None,9.39E+05,7.47E+05,22,0,0,0,-1,1,1,0
NCEN_Sorbent_DAC,5,4.38,0,None,9.39E+05,7.47E+05,22,0,0,0,-1,1,1,0
CEN_Sorbent_DAC,6,4.38,0,None,9.39E+05,7.47E+05,22,0,0,0,-1,1,1,0
SE_Sorbent_DAC,7,4.38,0,None,9.39E+05,7.47E+05,22,0,0,0,-1,1,1,0
MIDAT_Sorbent_DAC,8,4.38,0,None,9.39E+05,7.47E+05,22,0,0,0,-1,1,1,0
NE_Sorbent_DAC,9,4.38,0,None,9.39E+05,7.47E+05,22,0,0,0,-1,1,1,0
