,Network_zones,Network_Lines,z1,z2,z3,z4,z5,z6,z7,z8,z9,Line_Max_Flow_MW,transmission_path_name,distance_mile,Line_Loss_Percentage,Line_Max_Reinforcement_MW,Line_Reinforcement_Cost_per_MWyr,DerateCapRes_1,Cap_Res_1,CapRes_Excl_1
CA,z1,1,1,-1,0,0,0,0,0,0,0,6800,CA_to_NW,621.9057407,0.062190574,6800,1470496,0.95,0,0
NW,z2,2,1,0,-1,0,0,0,0,0,0,11964,CA_to_SW,489.6278122,0.048962781,11964,1157725,0.95,0,0
SW,z3,3,0,1,-1,0,0,0,0,0,0,4530,NW_to_SW,577.2681666,0.057726817,4530,839925,0.95,0,0
TX,z4,4,0,0,1,0,0,-1,0,0,0,610,SW_to_CEN,731.7039279,0.073170393,610,1222311,0.95,0,0
NCEN,z5,5,0,0,0,1,0,-1,0,0,0,2525,TX_to_CEN,494.3863776,0.049438638,2525,825872,0.95,0,0
CEN,z6,6,0,0,0,0,1,-1,0,0,0,15433,NCEN_to_CEN,485.1825018,0.04851825,15433,692841,0.95,0,0
SE,z7,7,0,0,0,0,1,0,-1,0,0,6108,NCEN_to_SE,889.8495049,0.08898495,6108,934787,0.95,0,0
MIDAT,z8,8,0,0,0,0,1,0,0,-1,0,16645,NCEN_to_MIDAT,750.6158591,0.075061586,16645,1071879,0.95,0,0
NE,z9,9,0,0,0,0,0,1,-1,0,0,8148,CEN_to_SE,779.9796301,0.077997963,8148,1176599,0.95,0,0
,,10,0,0,0,0,0,0,1,-1,0,10078,SE_to_MIDAT,491.4512001,0.04914512,10078,741354,0.95,0,0
,,11,0,0,0,0,0,0,0,1,-1,3160,MIDAT_to_NE,473.6625536,0.047366255,3160,1148632,0.95,0,0
