Resource,Zone,THERM,MUST_RUN,STOR,FLEX,HYDRO,VRE,LDS,Num_VRE_Bins,New_Build,Existing_Cap_MW,Existing_Cap_MWh,Existing_Charge_Cap_MW,Max_Cap_MW,Max_Cap_MWh,Max_Charge_Cap_MW,Min_Cap_MW,Min_Cap_MWh,Min_Charge_Cap_MW,Inv_Cost_per_MWyr,Inv_Cost_per_MWhyr,Inv_Cost_Charge_per_MWyr,Fixed_OM_Cost_per_MWyr,Fixed_OM_Cost_per_MWhyr,Fixed_OM_Cost_Charge_per_MWyr,Var_OM_Cost_per_MWh,Var_OM_Cost_per_MWh_In,VRE_Trans_Cost_per_MWyr,Heat_Rate_MMBTU_per_MWh,Fuel,NG_MMBtu_per_MWh,Cap_Size,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Start_NG_MMBTU_per_MW,Up_Time,Down_Time,Ramp_Up_Percentage,Ramp_Dn_Percentage,Hydro_Energy_to_Power_Ratio,Min_Power,Self_Disch,Eff_Up,Eff_Down,Min_Duration,Max_Duration,Max_Flexible_Demand_Advance,Max_Flexible_Demand_Delay,Flexible_Demand_Energy_Eff,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost,MinCapTag,MinCapTag_1,MinCapTag_2,MinCapTag_3,MGA,Resource_Type,CapRes_1,CapRes_2,CapRes_3,CapRes_4,CapRes_5,CapRes_6,CapRes_7,CapRes_8,CapRes_9,ESR_1,ESR_2,region,cluster,LDS.1,CCS_Rate
CA_conventional_hydroelectric_1,1,0,0,0,0,1,0,0,0,-1,8768.208,0,0,0,-1,-1,0,0,0,0,0,0,45648,0,0,0,0,0,9.105,None,0,50.392,0,0,0,0,0,0.083,0.083,0,0.068,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,conventional_hydroelectric,0.8,0,0,0,0,0,0,0,0,0,1,CA,1,0,0
CA_hydroelectric_pumped_storage_1,1,0,0,1,0,0,0,0,0,-1,3941.888,0,0,0,-1,-1,0,0,0,0,0,0,39399,0,0,0,0,0,1.135,None,0,123.184,0,0,0,0,0,1,1,1,0.136,0,0.866,0.866,0,200,0,0,0,0,0,0,0,0,0,0,0,0,hydroelectric_pumped_storage,0.95,0,0,0,0,0,0,0,0,0,0,CA,1,0,0
CA_natural_gas_fired_combined_cycle_1,1,1,0,0,0,0,0,0,0,0,2350.794,0,0,0,-1,-1,0,0,0,0,0,0,16001,0,0,4.415,0,0,8.329,CA_reference_naturalgas,0,138.282,89.34,2,0,6,6,0.64,0.64,1,0.461,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,natural_gas_fired_combined_cycle,0.93,0,0,0,0,0,0,0,0,0,0,CA,1,0,0
CA_natural_gas_fired_combined_cycle_2,1,1,0,0,0,0,0,0,0,0,15580.5,0,0,0,-1,-1,0,0,0,0,0,0,9981.782,0,0,3.493,0,0,7.311,CA_reference_naturalgas,0,458.25,89.34,2,0,6,6,0.64,0.64,1,0.453,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,natural_gas_fired_combined_cycle,0.93,0,0,0,0,0,0,0,0,0,0,CA,2,0,0
CA_natural_gas_fired_combined_cycle_3,1,1,0,0,0,0,0,0,0,0,1683.99,0,0,0,-1,-1,0,0,0,0,0,0,16001,0,0,4.415,0,0,6.785,CA_reference_naturalgas,0,80.19,89.34,2,0,6,6,0.64,0.64,1,0.453,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,natural_gas_fired_combined_cycle,0.93,0,0,0,0,0,0,0,0,0,0,CA,3,0,0
CA_natural_gas_fired_combined_cycle_4,1,1,0,0,0,0,0,0,0,0,340.698,0,0,0,-1,-1,0,0,0,0,0,0,16001,0,0,4.415,0,0,13.424,CA_reference_naturalgas,0,56.783,89.34,2,0,6,6,0.64,0.64,1,0.471,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,natural_gas_fired_combined_cycle,0.93,0,0,0,0,0,0,0,0,0,0,CA,4,0,0
CA_natural_gas_fired_combustion_turbine_1,1,1,0,0,0,0,0,0,0,0,2418.186,0,0,0,-1,-1,0,0,0,0,0,0,13548,0,0,5.071,0,0,11.205,CA_reference_naturalgas,0,26.002,115.842,3.5,0,1,1,0.64,0.64,1,0.486,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,natural_gas_fired_combustion_turbine,0.93,0,0,0,0,0,0,0,0,0,0,CA,1,0,0
CA_natural_gas_fired_combustion_turbine_2,1,1,0,0,0,0,0,0,0,0,5900.029,0,0,0,-1,-1,0,0,0,0,0,0,9992.107,0,0,5.071,0,0,10.48,CA_reference_naturalgas,0,83.099,115.842,3.5,0,1,1,0.64,0.64,1,0.452,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,natural_gas_fired_combustion_turbine,0.93,0,0,0,0,0,0,0,0,0,0,CA,2,0,0
CA_onshore_wind_turbine_1,1,0,0,0,0,0,1,0,1,0,6063.2,0,0,0,-1,-1,0,0,0,0,0,0,43000,0,0,0,0,0,9.192,None,0,35.243,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,onshore_wind_turbine,0,0,0,0,0,0,0,0,0,1,1,CA,1,0,0
CA_small_hydroelectric_1,1,0,1,0,0,0,0,0,0,-1,342.916,0,0,0,-1,-1,0,0,0,0,0,0,45648,0,0,0,0,0,8.927,None,0,1.324,0,0,0,0,0,1,1,1,0.085247357,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,small_hydroelectric,0,0,0,0,0,0,0,0,0,1,1,CA,1,0,0
CA_solar_photovoltaic_1,1,0,0,0,0,0,1,0,1,0,12307.1,0,0,0,-1,-1,0,0,0,0,0,0,22887,0,0,0,0,0,9.155,None,0,20.655,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,solar_photovoltaic,0.8,0,0,0,0,0,0,0,0,1,1,CA,1,0,0
CEN_conventional_hydroelectric_1,6,0,0,0,0,1,0,0,0,-1,5737.392,0,0,0,-1,-1,0,0,0,0,0,0,45648,0,0,0,0,0,9.109,None,0,35.416,0,0,0,0,0,0.083,0.083,0,0.152,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,conventional_hydroelectric,0,0,0,0,0,0.8,0,0,0,0,1,CEN,1,0,0
CEN_hydroelectric_pumped_storage_1,6,0,0,1,0,0,0,0,0,-1,943.008,0,0,0,-1,-1,0,0,0,0,0,0,39399,0,0,0,0,0,0,None,0,58.938,0,0,0,0,0,1,1,1,0.577,0,0.866,0.866,0,200,0,0,0,0,0,0,0,0,0,0,0,0,hydroelectric_pumped_storage,0,0,0,0,0,0.95,0,0,0,0,0,CEN,1,0,0
CEN_natural_gas_fired_combined_cycle_1,6,1,0,0,0,0,0,0,0,0,2879.602,0,0,0,-1,-1,0,0,0,0,0,0,13893.358,0,0,4.12,0,0,11.856,CEN_reference_naturalgas,0,261.782,89.34,2,0,6,6,0.64,0.64,1,0.339,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,natural_gas_fired_combined_cycle,0,0,0,0,0,0.93,0,0,0,0,0,CEN,1,0,0
CEN_natural_gas_fired_combined_cycle_2,6,1,0,0,0,0,0,0,0,0,23647.911,0,0,0,-1,-1,0,0,0,0,0,0,10721.411,0,0,3.478,0,0,7.334,CEN_reference_naturalgas,0,446.187,89.34,2,0,6,6,0.64,0.64,1,0.426,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,natural_gas_fired_combined_cycle,0,0,0,0,0,0.93,0,0,0,0,0,CEN,2,0,0
CEN_natural_gas_fired_combined_cycle_3,6,1,0,0,0,0,0,0,0,0,3359.296,0,0,0,-1,-1,0,0,0,0,0,0,16001,0,0,4.415,0,0,7.404,CEN_reference_naturalgas,0,209.956,89.34,2,0,6,6,0.64,0.64,1,0.487,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,natural_gas_fired_combined_cycle,0,0,0,0,0,0.93,0,0,0,0,0,CEN,3,0,0
CEN_natural_gas_fired_combustion_turbine_1,6,1,0,0,0,0,0,0,0,0,1351.518,0,0,0,-1,-1,0,0,0,0,0,0,13548,0,0,5.071,0,0,12.029,CEN_reference_naturalgas,0,32.179,115.842,3.5,0,1,1,0.64,0.64,1,0.519,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,natural_gas_fired_combustion_turbine,0,0,0,0,0,0.93,0,0,0,0,0,CEN,1,0,0
CEN_natural_gas_fired_combustion_turbine_2,6,1,0,0,0,0,0,0,0,0,12103.554,0,0,0,-1,-1,0,0,0,0,0,0,10033.45,0,0,5.071,0,0,11.135,CEN_reference_naturalgas,0,93.826,115.842,3.5,0,1,1,0.64,0.64,1,0.523,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,natural_gas_fired_combustion_turbine,0,0,0,0,0,0.93,0,0,0,0,0,CEN,2,0,0
CEN_nuclear_1,6,1,0,0,0,0,0,0,0,0,4150,0,0,0,-1,-1,0,0,0,0,0,0,279364.012,0,0,2.352,0,0,10.455,CEN_reference_uranium,0,1037.5,1000,0,0,36,36,0.25,0.25,1,0.5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nuclear,0,0,0,0,0,0.93,0,0,0,0,1,CEN,1,0,0
CEN_nuclear_2,6,1,0,0,0,0,0,0,0,0,3108.999,0,0,0,-1,-1,0,0,0,0,0,0,219596.555,0,0,2.353,0,0,10.46,CEN_reference_uranium,0,1036.333,1000,0,0,36,36,0.25,0.25,1,0.5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nuclear,0,0,0,0,0,0.93,0,0,0,0,1,CEN,2,0,0
CEN_onshore_wind_turbine_1,6,0,0,0,0,0,1,0,1,0,27693.3,0,0,0,-1,-1,0,0,0,0,0,0,43000,0,0,0,0,0,9.195,None,0,241.356,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,onshore_wind_turbine,0,0,0,0,0,0,0,0,0,1,1,CEN,1,0,0
