Voll,Demand_segment,Cost_of_demand_curtailment_perMW,Max_demand_curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6,Load_MW_z7,Load_MW_z8,Load_MW_z9
9000,1,1,1,9000,1,168,8760,1,34660,31885,34882,42309,62587,56564,97974,76875,27932
,,,,,,,,2,33040,30407,33497,41264,60241,53950,95790,72860,26524
,,,,,,,,3,31395,28946,29591,40285,58413,52593,93500,71026,25278
,,,,,,,,4,29804,27764,28767,39512,57239,51927,92154,70137,24597
,,,,,,,,5,28466,27065,28269,39201,56863,51601,91898,70149,24400
,,,,,,,,6,27479,26570,27989,39050,57203,51782,92974,71127,24714
,,,,,,,,7,26840,26420,28023,39677,58503,52805,95578,73069,25511
,,,,,,,,8,26669,26672,28447,40969,60224,54677,98388,74851,26135
,,,,,,,,9,26991,27522,29337,41928,61821,56167,102501,76393,27203
,,,,,,,,10,27668,28760,29760,43168,63390,57542,104965,76939,28456
,,,,,,,,11,27922,30024,30101,44333,64978,58595,104848,77216,29420
,,,,,,,,12,28787,30978,30182,44724,66237,58709,104365,77525,29983
,,,,,,,,13,29647,31634,30289,44761,67278,58574,104773,78089,30420
,,,,,,,,14,30408,31670,30227,44607,67663,58424,104530,78360,30540
,,,,,,,,15,30625,31271,30047,44021,67451,57681,103456,78288,30452
,,,,,,,,16,30643,30847,29682,43311,67415,56858,102193,78859,30728
,,,,,,,,17,30513,30405,29415,42980,68705,56904,102373,82172,33100
,,,,,,,,18,30482,30050,29399,43294,73554,58744,106879,88287,35765
,,,,,,,,19,30715,30253,30143,45899,77399,63252,114625,90239,35654
,,,,,,,,20,32126,32494,33005,50118,77352,66215,114470,89775,34939
,,,,,,,,21,36485,34461,35037,50779,76429,66671,112493,88852,33929
,,,,,,,,22,37255,34203,34613,50601,74518,66102,109196,86332,32386
,,,,,,,,23,36647,33612,33993,50092,72033,64922,104956,82907,30397
,,,,,,,,24,35719,32633,32952,48556,68570,62665,99476,78714,28054
,,,,,,,,25,34253,31114,32131,46564,65449,60518,94546,74971,25988
