Zone,Emissions_tonne_per_tonne,Cost_per_tonne_per_hr,Max_tonne_per_hr
1,0,111.15,99.98
2,0,139.47,1.35
3,0,96.27,59.04
4,0,90.1,138.44
5,0,123.8,7323.58
6,0,97.6,3834.07
7,0,123.11,245.11
8,0,109.42,684.71
9,0,106.52,64.93
