Time_Index,Price_mmbtu_z1,Price_mmbtu_z2,Price_mmbtu_z3,Price_mmbtu_z4,Price_mmbtu_z5,Price_mmbtu_z6,Price_mmbtu_z7,Price_mmbtu_z8,Price_mmbtu_z9
82,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
83,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
84,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
85,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
86,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
87,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
88,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
89,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
90,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
91,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
92,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
93,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
94,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
95,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
96,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
97,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
98,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
99,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
100,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
101,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
102,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
103,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
104,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
105,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
106,4.82,4.56,3.89,3.93,4.39,4.41,3.68,3.58,4.4
