CO2_Storage,Zone,etaPCO2_MWh_per_tonne,Inv_Cost_per_tonne_per_yr_yr,Fixed_OM_Cost_per_tonne_per_yr_yr,Var_OM_Cost_per_tonne,Min_capacity_tonne_per_yr,Max_capacity_tonne_per_yr,Max_injection_rate_tonne_per_hr,CO2_Injection_Min_Output,CO2_Injection_Max_Output
CA_GEO_SEQ,1,0,0,0,0,0,0,0,0,1
NW_GEO_SEQ,2,0,0,0,0,0,0,0,0,1
SW_GEO_SEQ,3,0,0,0,0,0,0,0,0,1
TX_GEO_SEQ,4,0,0,0,0,0,0,0,0,1
NCEN_GEO_SEQ,5,0,0,0,0,0,0,0,0,1
CEN_GEO_SEQ,6,0,0,0,0,0,0,0,0,1
SE_GEO_SEQ,7,0,0,0,0,0,0,0,0,1
MIDAT_GEO_SEQ,8,0,0,0,0,0,0,0,0,1
NE_GEO_SEQ,9,0,0,0,0,0,0,0,0,1
