Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_Tonne,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_H2_tonne_per_hr_z1,Load_H2_tonne_per_hr_z2,Load_H2_tonne_per_hr_z3,Load_H2_tonne_per_hr_z4,Load_H2_tonne_per_hr_z5,Load_H2_tonne_per_hr_z6,Load_H2_tonne_per_hr_z7,Load_H2_tonne_per_hr_z8,Load_H2_tonne_per_hr_z9
1666500,1,1,0,1,8760,8760,1,105,100,82,275,362,594,375,187,46
,,,,,,,2,105,100,82,275,362,594,375,187,46
,,,,,,,3,105,100,82,275,362,594,375,187,46
,,,,,,,4,105,100,82,275,362,594,375,187,46
,,,,,,,5,105,100,82,275,362,594,375,187,46
,,,,,,,6,105,100,82,275,362,594,375,187,46
,,,,,,,7,105,100,82,275,362,594,375,187,46
,,,,,,,8,105,100,82,275,362,594,375,187,46
,,,,,,,9,105,100,82,275,362,594,375,187,46
,,,,,,,10,105,100,82,275,362,594,375,187,46
,,,,,,,11,105,100,82,275,362,594,375,187,46
,,,,,,,12,105,100,82,275,362,594,375,187,46
,,,,,,,13,105,100,82,275,362,594,375,187,46
,,,,,,,14,105,100,82,275,362,594,375,187,46
,,,,,,,15,105,100,82,275,362,594,375,187,46
,,,,,,,16,105,100,82,275,362,594,375,187,46
,,,,,,,17,105,100,82,275,362,594,375,187,46
,,,,,,,18,105,100,82,275,362,594,375,187,46
,,,,,,,19,105,100,82,275,362,594,375,187,46
,,,,,,,20,105,100,82,275,362,594,375,187,46
,,,,,,,21,105,100,82,275,362,594,375,187,46
,,,,,,,22,105,100,82,275,362,594,375,187,46
,,,,,,,23,105,100,82,275,362,594,375,187,46
,,,,,,,24,105,100,82,275,362,594,375,187,46
,,,,,,,25,105,100,82,275,362,594,375,187,46
,,,,,,,26,105,100,82,275,362,594,375,187,46
,,,,,,,27,105,100,82,275,362,594,375,187,46
,,,,,,,28,105,100,82,275,362,594,375,187,46
,,,,,,,29,105,100,82,275,362,594,375,187,46
,,,,,,,30,105,100,82,275,362,594,375,187,46
,,,,,,,31,105,100,82,275,362,594,375,187,46
,,,,,,,32,105,100,82,275,362,594,375,187,46
,,,,,,,33,105,100,82,275,362,594,375,187,46
,,,,,,,34,105,100,82,275,362,594,375,187,46
,,,,,,,35,105,100,82,275,362,594,375,187,46
,,,,,,,36,105,100,82,275,362,594,375,187,46
,,,,,,,37,105,100,82,275,362,594,375,187,46
,,,,,,,38,105,100,82,275,362,594,375,187,46
,,,,,,,39,105,100,82,275,362,594,375,187,46
