H2_Pipelines,z1,z2,z3,z4,z5,z6,z7,z8,z9,Max_No_Pipe,Existing_No_Pipe,Max_Flow_Tonne_p_Hr_Per_Pipe,H2Pipe_Inv_Cost_per_mile_yr,Pipe_length_miles,H2PipeCap_tonne_per_mile,Min_pipecap_stor_frac,len_bw_comp_mile,BoosterCompCapex_per_tonne_p_hr_yr,BoosterCompEnergy_MWh_per_tonne,H2PipeCompCapex,H2PipeCompEnergy
1,1,-1,0,0,0,0,0,0,0,1000,0,20,90608.46497,621.9057407,0,0,31,5.07E+04,0.15,225783.9223,0.289
2,1,0,-1,0,0,0,0,0,0,1000,0,20,90608.46497,489.6278122,0,0,31,5.07E+04,0.15,225783.9223,0.289
3,0,1,-1,0,0,0,0,0,0,1000,0,20,90608.46497,577.2681666,0,0,31,5.07E+04,0.15,225783.9223,0.289
4,0,0,1,0,0,-1,0,0,0,1000,0,20,90608.46497,731.7039279,0,0,31,5.07E+04,0.15,225783.9223,0.289
5,0,0,0,1,0,-1,0,0,0,1000,0,20,90608.46497,494.3863776,0,0,31,5.07E+04,0.15,225783.9223,0.289
6,0,0,0,0,1,-1,0,0,0,1000,0,20,90608.46497,485.1825018,0,0,31,5.07E+04,0.15,225783.9223,0.289
7,0,0,0,0,1,0,-1,0,0,1000,0,20,90608.46497,889.8495049,0,0,31,5.07E+04,0.15,225783.9223,0.289
8,0,0,0,0,1,0,0,-1,0,1000,0,20,90608.46497,750.6158591,0,0,31,5.07E+04,0.15,225783.9223,0.289
9,0,0,0,0,0,1,-1,0,0,1000,0,20,90608.46497,779.9796301,0,0,31,5.07E+04,0.15,225783.9223,0.289
10,0,0,0,0,0,0,1,-1,0,1000,0,20,90608.46497,491.4512001,0,0,31,5.07E+04,0.15,225783.9223,0.289
11,0,0,0,0,0,0,0,1,-1,1000,0,20,90608.46497,473.6625536,0,0,31,5.07E+04,0.15,225783.9223,0.289
