Time_Index,None,CA_reference_naturalgas,Biomass,CEN_reference_naturalgas,CEN_reference_uranium,MID_AT_reference_naturalgas,MID_AT_reference_uranium,NE_reference_naturalgas,NE_reference_uranium,NW_reference_naturalgas,NW_reference_uranium,N_CEN_reference_naturalgas,N_CEN_reference_uranium,SE_reference_naturalgas,SE_reference_uranium,SW_reference_naturalgas,SW_reference_uranium,TX_reference_naturalgas,TX_reference_uranium,CA_reference_uranium
0,0,0.05306,0,0.05306,0,0.05306,0,0.05306,0,0.05306,0,0.05306,0,0.05306,0,0.05306,0,0.05306,0,0
1,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
2,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
3,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
4,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
5,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
6,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
7,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
8,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
9,0,4.35,3,4.22,0.71,3.33,0.71,3.95,0.71,4.14,0.71,4.02,0.71,3.5,0.71,3.62,0.71,3.71,0.71,0.71
