Time_Index,Price_mmbtu_global,Price_mmbtu_z1,Price_mmbtu_z2,Price_mmbtu_z3,Price_mmbtu_z4,Price_mmbtu_z5,Price_mmbtu_z6,Price_mmbtu_z7,Price_mmbtu_z8,Price_mmbtu_z9
1,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41
2,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41
3,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41
4,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41
5,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41
6,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41
7,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41
8,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41
9,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41
10,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41
11,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41
12,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41
13,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41
14,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41
15,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41
16,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41
17,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41
18,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41
19,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41
20,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41
21,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41
22,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41
23,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41
24,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41
25,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41
26,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41
27,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41
28,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41
29,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41
30,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41
31,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41
32,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41
33,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41
34,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41
35,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41
36,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41
37,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41
38,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41
39,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41
40,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41
41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41
42,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41
43,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41
44,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41
45,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41
46,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41
47,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41
48,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41
49,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41
50,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41
51,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41
52,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41
53,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41
54,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41
55,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41
56,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41
57,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41
58,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41
59,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41
60,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41
61,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41
62,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41
63,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41
64,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41
65,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41
66,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41
67,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41
68,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41
69,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41
70,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41
71,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41
72,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41
73,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41
74,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41
75,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41
76,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41
77,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41
78,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41
79,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41
80,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41
81,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41
82,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41
83,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41
84,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41
85,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41
86,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41
87,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41
88,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41
89,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41
90,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41
91,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41
92,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41
93,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41
94,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41
95,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41
96,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41
97,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41
98,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41
99,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41
