Biomass_Supply,Zone,Emissions_tonne_per_tonne,Cost_per_tonne,Max_tonne_per_hr
CA_Log_Residue,1,0,44.09,57.26
CA_Other_Forest_Waste,1,0,55.12,4.79
CA_Forest_Process_Waste,1,0,59.52,0.48
CA_Small_Diameter_Tree,1,0,77.28,17.53
NW_Forest_Process_Waste,2,0,59.52,7.55
NW_Log_Residue,2,0,44.09,184.3
NW_Other_Forest_Waste,2,0,55.12,32.77
NW_Wood_Crops_Fire_Reduction_Thinning,2,0,77.16,157.68
NW_Small_Diameter_Tree,2,0,77.28,158.89
SW_Log_Residue,3,0,44.09,52.16
SW_Other_Forest_Waste,3,0,55.12,1.47
SW_Forest_Process_Waste,3,0,59.52,0.32
SW_Wood_Crops_Fire_Reduction_Thinning,3,0,77.16,154.62
SW_Small_Diameter_Tree,3,0,77.28,107.73
TX_Log_Residue,4,0,44.09,80.21
TX_Other_Forest_Waste,4,0,55.12,39.14
TX_Wood_Crops,4,0,77.16,410.89
TX_Small_Diameter_Tree,4,0,77.28,60.77
NCEN_Log_Residue,5,0,44.09,251.92
NCEN_Other_Forest_Waste,5,0,55.12,62.4
NCEN_Forest_Process_Waste,5,0,59.52,9.73
NCEN_Wood_Crops,5,0,77.16,818.54
NCEN_Small_Diameter_Tree,5,0,77.28,506.63
CEN_Log_Residue,6,0,44.09,238.24
CEN_Other_Forest_Waste,6,0,55.12,86.8
CEN_Forest_Process_Waste,6,0,59.52,30.53
CEN_Wood_Crops,6,0,77.16,1351.6
CEN_Small_Diameter_Tree,6,0,77.28,167.26
SE_Log_Residue,7,0,44.09,820.86
SE_Other_Forest_Waste,7,0,55.12,381.66
SE_Forest_Process_Waste,7,0,59.52,53.26
SE_Wood_Crops,7,0,77.16,1376.5
SE_Small_Diameter_Tree,7,0,77.28,1140.84
MIDAT_Log_Residue,8,0,44.09,199.74
MIDAT_Other_Forest_Waste,8,0,55.12,127
MIDAT_Forest_Process_Waste,8,0,59.52,11
MIDAT_Wood_Crops,8,0,77.16,1148.83
MIDAT_Small_Diameter_Tree,8,0,77.28,773.79
NE_Log_Residue,9,0,44.09,106.89
NE_Other_Forest_Waste,9,0,55.12,45.25
NE_Forest_Process_Waste,9,0,59.52,0.24
NE_Wood_Crops,9,0,77.16,173.46
NE_Small_Diameter_Tree,9,0,77.28,681.73
