CO2_Storage,Zone,MWh_per_tonne,Var_OM_Cost_per_tonne,Max_capacity_tonne_per_yr,Max_injection_rate_tonne_per_hr,CO2_Injection_Min_Output,CO2_Injection_Max_Output
CA_Repetto_Sst1,1,0,5.4,22882000,9239.9,0,1
CA_Temblor1a,1,0,6.5,77066000,32339.5,0,1
CA_Temblor2a,1,0,6.5,305262000,128780.6,0,1
CA_Temblor1b,1,0,7,77378000,32339.5,0,1
CA_Temblor2b,1,0,7,306499000,129358,0,1
CA_Moreno2,1,0,7.2,172026000,72186.4,0,1
CA_Repetto_Sst2a,1,0,7.5,10854000,4042.4,0,1
CA_Panoche1a,1,0,7.6,134250000,56594.1,0,1
CA_Repetto_Sst2b,1,0,7.7,12529000,5197.4,0,1
CA_Panoche1b,1,0,8,134631000,56594.1,0,1
CA_Repetto_Sst2c,1,0,8.2,10450000,4042.4,0,1
CA_Repetto_Sst3b,1,0,9.9,4600000,1732.5,0,1
CA_Repetto_Sst3a,1,0,10.5,3817000,1155,0,1
CA_Repetto_Sst3c,1,0,10.6,3118000,1155,0,1
CA_Repetto_Sst3d,1,0,11.8,1986000,577.5,0,1
CA_Temblor3a,1,0,12.5,19128000,8084.9,0,1
CA_Temblor3b,1,0,13,19145000,8084.9,0,1
CA_Temblor3c,1,0,13.6,19162000,8084.9,0,1
CA_Stevens1,1,0,18,2319000,577.5,0,1
NW_Frontier3,2,0,5.3,29918000,12127.3,0,1
NW_Entrada2,2,0,7.3,86013000,35804.5,0,1
NW_Tensleep4,2,0,7.4,75033000,31184.5,0,1
NW_Lance1,2,0,7.5,10411000,4042.4,0,1
NW_Tensleep5,2,0,7.8,44216000,18479.7,0,1
NW_Morrison7,2,0,8.2,15966000,6352.4,0,1
NW_Red_River1,2,0,9,137376000,57749.1,0,1
NW_Maha01,2,0,9.2,22022000,9239.9,0,1
NW_Fort_Union2,2,0,9.9,8648000,3464.9,0,1
NW_Entrada6,2,0,10.6,7582000,2887.5,0,1
NW_Morrison8,2,0,10.7,23151000,9239.9,0,1
NW_Madison_GpMission_Canyon__Fm1,2,0,10.9,38501000,16169.8,0,1
NW_InyanKara2,2,0,11,31329000,12704.8,0,1
NW_Minnelusa2,2,0,11.1,28443000,11549.8,0,1
NW_InyanKara3,2,0,11.2,93027000,39269.4,0,1
NW_InyanKara1,2,0,11.5,80000000,33494.5,0,1
NW_Arbuckle3,2,0,11.6,5144000,1732.5,0,1
NW_Red_River2,2,0,11.6,33443000,13859.8,0,1
NW_Arbuckle2,2,0,11.7,20872000,8662.4,0,1
NW_Madison_GpMission_Canyon_Fm4,2,0,11.8,52518000,21944.7,0,1
NW_Nugget1,2,0,11.8,24708000,10394.8,0,1
NW_Nugget2,2,0,13.1,85410000,35804.5,0,1
NW_Nugget4,2,0,13.7,9282000,3464.9,0,1
NW_Madison1,2,0,13.8,19286000,8084.9,0,1
NW_Morrison6,2,0,14.7,14935000,5774.9,0,1
NW_Entrada1,2,0,14.8,50243000,20789.7,0,1
NW_Minnelusa1,2,0,15.1,18987000,7507.4,0,1
NW_Madison_GpMission_Canyon_Fm2,2,0,16.6,2787000,1155,0,1
NW_DuperowLower_1,2,0,16.9,2796000,1155,0,1
NW_Basal_Cambrian1,2,0,17,31239000,12704.8,0,1
NW_Dakota02,2,0,18.5,14706000,5774.9,0,1
NW_Basal_Cambrian7,2,0,19.3,34343000,14437.3,0,1
NW_Fountain1b,2,0,19.4,6676000,2310,0,1
NW_Fountain2b,2,0,19.4,3698000,1155,0,1
NW_Morrison3,2,0,19.4,15138000,6352.4,0,1
NW_Weber2,2,0,19.5,3530000,1155,0,1
NW_Basal_Cambrian4,2,0,19.7,33169000,13859.8,0,1
SW_Forbes,3,0,5.6,93940000,39269.4,0,1
SW_Mokelumne_River1,3,0,5.6,11703000,4619.9,0,1
SW_Moreno1Starkey,3,0,5.9,134584000,56594.1,0,1
SW_Mokelumne_River2,3,0,6,197584000,83158.7,0,1
SW_Domengine2,3,0,6.2,110074000,46199.3,0,1
SW_Winters2,3,0,6.7,190900000,80271.3,0,1
SW_Starkey1,3,0,6.8,8145000,2887.5,0,1
SW_Seven_Rivers1,3,0,6.9,121551000,50819.2,0,1
SW_Wolfcamp1,3,0,6.9,89566000,37536.9,0,1
SW_Arbuckle4,3,0,7,101444000,42734.4,0,1
SW_Domengine1,3,0,7,14086000,5774.9,0,1
SW_Wolfcamp2,3,0,7,50637000,21367.2,0,1
SW_Morrison2,3,0,7.1,17666000,6929.9,0,1
SW_Seven_Rivers2,3,0,7.1,22157000,9239.9,0,1
SW_Monterey1a,3,0,7.2,294184000,124160.6,0,1
SW_Monterey1b,3,0,7.6,295170000,124738.1,0,1
SW_Morrison1,3,0,7.6,3901000,1155,0,1
SW_Leonard2,3,0,7.9,16984000,6929.9,0,1
SW_Canyon2,3,0,8,18633000,7507.4,0,1
SW_Leonard1,3,0,8,93173000,39269.4,0,1
SW_Canyon1,3,0,8.1,33276000,13859.8,0,1
SW_Canyon4,3,0,8.1,24324000,9817.4,0,1
SW_Canyon3,3,0,8.3,134978000,56594.1,0,1
SW_Navajo01,3,0,8.9,3541000,1155,0,1
SW_Queen1,3,0,8.9,78587000,32917,0,1
SW_Queen2,3,0,9.1,14325000,5774.9,0,1
SW_Winters1a,3,0,9.6,6554000,2310,0,1
SW_Winters1b,3,0,10.2,5846000,2310,0,1
SW_Winters1c,3,0,10.9,5128000,1732.5,0,1
SW_Entrada8,3,0,11.7,11924000,4619.9,0,1
SW_Atoka2,3,0,11.9,14835000,5774.9,0,1
SW_Hermosa1b,3,0,12.1,1573000,577.5,0,1
SW_Atoka1,3,0,12.3,81027000,34072,0,1
SW_Hermosa1a,3,0,12.3,1424000,577.5,0,1
SW_Cisco4,3,0,14.2,13469000,5197.4,0,1
SW_Cisco3,3,0,14.5,74741000,31184.5,0,1
SW_Cisco1,3,0,14.8,18877000,7507.4,0,1
SW_Cisco2,3,0,14.8,10672000,4042.4,0,1
SW_Entrada9,3,0,15.4,24920000,10394.8,0,1
TX_Frio02,4,0,4.7,62399000,25987.1,0,1
TX_Frio03a,4,0,5,67945000,28297.1,0,1
TX_Frio06,4,0,5,100827000,42156.9,0,1
TX_Frio09a,4,0,5,131090000,54861.7,0,1
TX_Frio12a,4,0,5.1,110789000,46776.8,0,1
TX_Frio12b,4,0,5.5,101139000,42734.4,0,1
TX_Frio07a,4,0,5.6,90511000,38114.4,0,1
TX_Frio10,4,0,5.9,109921000,46199.3,0,1
TX_Frio04,4,0,6,27028000,10972.3,0,1
TX_Frio13a,4,0,6,76964000,32339.5,0,1
TX_Frio01,4,0,6.3,30523000,12704.8,0,1
