ng_co2_per_mmbtu,Time_Index,Load_mmbtu_z1,Load_mmbtu_z2,Load_mmbtu_z3,Load_mmbtu_z4,Load_mmbtu_z5,Load_mmbtu_z6,Load_mmbtu_z7,Load_mmbtu_z8,Load_mmbtu_z9
,52,46647,35541,37797,55800,147384,61620,81008,99937,71160
,53,46647,35541,37797,55800,147384,61620,81008,99937,71160
,54,46647,35541,37797,55800,147384,61620,81008,99937,71160
,55,46647,35541,37797,55800,147384,61620,81008,99937,71160
,56,46647,35541,37797,55800,147384,61620,81008,99937,71160
,57,46647,35541,37797,55800,147384,61620,81008,99937,71160
,58,46647,35541,37797,55800,147384,61620,81008,99937,71160
,59,46647,35541,37797,55800,147384,61620,81008,99937,71160
,60,46647,35541,37797,55800,147384,61620,81008,99937,71160
,61,46647,35541,37797,55800,147384,61620,81008,99937,71160
,62,46647,35541,37797,55800,147384,61620,81008,99937,71160
,63,46647,35541,37797,55800,147384,61620,81008,99937,71160
,64,46647,35541,37797,55800,147384,61620,81008,99937,71160
,65,46647,35541,37797,55800,147384,61620,81008,99937,71160
,66,46647,35541,37797,55800,147384,61620,81008,99937,71160
,67,46647,35541,37797,55800,147384,61620,81008,99937,71160
,68,46647,35541,37797,55800,147384,61620,81008,99937,71160
,69,46647,35541,37797,55800,147384,61620,81008,99937,71160
,70,46647,35541,37797,55800,147384,61620,81008,99937,71160
,71,46647,35541,37797,55800,147384,61620,81008,99937,71160
,72,46647,35541,37797,55800,147384,61620,81008,99937,71160
,73,46647,35541,37797,55800,147384,61620,81008,99937,71160
,74,46647,35541,37797,55800,147384,61620,81008,99937,71160
,75,46647,35541,37797,55800,147384,61620,81008,99937,71160
,76,46647,35541,37797,55800,147384,61620,81008,99937,71160
,77,46647,35541,37797,55800,147384,61620,81008,99937,71160
,78,46647,35541,37797,55800,147384,61620,81008,99937,71160
,79,46647,35541,37797,55800,147384,61620,81008,99937,71160
,80,46647,35541,37797,55800,147384,61620,81008,99937,71160
,81,46647,35541,37797,55800,147384,61620,81008,99937,71160
,82,46647,35541,37797,55800,147384,61620,81008,99937,71160
,83,46647,35541,37797,55800,147384,61620,81008,99937,71160
,84,46647,35541,37797,55800,147384,61620,81008,99937,71160
,85,46647,35541,37797,55800,147384,61620,81008,99937,71160
,86,46647,35541,37797,55800,147384,61620,81008,99937,71160
,87,46647,35541,37797,55800,147384,61620,81008,99937,71160
,88,46647,35541,37797,55800,147384,61620,81008,99937,71160
,89,46647,35541,37797,55800,147384,61620,81008,99937,71160
,90,46647,35541,37797,55800,147384,61620,81008,99937,71160
,91,46647,35541,37797,55800,147384,61620,81008,99937,71160
,92,46647,35541,37797,55800,147384,61620,81008,99937,71160
,93,46647,35541,37797,55800,147384,61620,81008,99937,71160
,94,46647,35541,37797,55800,147384,61620,81008,99937,71160
,95,46647,35541,37797,55800,147384,61620,81008,99937,71160
,96,46647,35541,37797,55800,147384,61620,81008,99937,71160
,97,46647,35541,37797,55800,147384,61620,81008,99937,71160
,98,46647,35541,37797,55800,147384,61620,81008,99937,71160
,99,46647,35541,37797,55800,147384,61620,81008,99937,71160
,100,46647,35541,37797,55800,147384,61620,81008,99937,71160
,101,46647,35541,37797,55800,147384,61620,81008,99937,71160
,102,46647,35541,37797,55800,147384,61620,81008,99937,71160
,103,46647,35541,37797,55800,147384,61620,81008,99937,71160
,104,46647,35541,37797,55800,147384,61620,81008,99937,71160
,105,46647,35541,37797,55800,147384,61620,81008,99937,71160
,106,46647,35541,37797,55800,147384,61620,81008,99937,71160
,107,46647,35541,37797,55800,147384,61620,81008,99937,71160
,108,46647,35541,37797,55800,147384,61620,81008,99937,71160
,109,46647,35541,37797,55800,147384,61620,81008,99937,71160
,110,46647,35541,37797,55800,147384,61620,81008,99937,71160
,111,46647,35541,37797,55800,147384,61620,81008,99937,71160
,112,46647,35541,37797,55800,147384,61620,81008,99937,71160
,113,46647,35541,37797,55800,147384,61620,81008,99937,71160
