Global_conventional_jetfuel_price_per_mmbtu,Conventional_jetfuel_co2_per_mmbtu,Syn_jetfuel_co2_per_mmbtu,Bio_jetfuel_co2_per_mmbtu,Time_Index,Load_mmbtu_z1,Load_mmbtu_z2,Load_mmbtu_z3,Load_mmbtu_z4,Load_mmbtu_z5,Load_mmbtu_z6,Load_mmbtu_z7,Load_mmbtu_z8,Load_mmbtu_z9
,,,,91,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,92,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,93,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,94,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,95,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,96,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,97,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,98,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,99,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,100,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,101,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,102,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,103,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,104,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,105,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,106,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,107,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,108,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,109,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,110,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,111,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,112,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,113,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,114,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,115,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,116,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,117,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,118,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,119,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,120,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,121,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,122,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,123,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,124,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,125,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,126,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,127,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,128,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,129,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,130,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,131,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,132,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,133,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,134,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,135,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,136,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,137,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,138,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,139,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,140,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,141,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,142,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,143,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,144,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,145,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,146,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,147,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,148,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,149,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,150,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,151,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,152,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,153,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,154,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,155,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,156,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,157,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,158,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,159,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,160,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,161,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,162,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,163,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,164,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,165,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,166,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,167,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,168,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,169,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,170,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,171,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,172,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,173,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,174,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,175,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,176,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,177,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,178,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,179,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,180,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,181,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,182,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,183,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,184,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,185,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,186,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,187,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,188,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,189,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,190,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,191,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,192,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,193,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,194,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,195,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,196,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,197,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,198,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,199,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,200,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,201,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,202,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,203,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,204,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,205,54187,16401,29348,27810,30573,11486,59290,32442,33624
,,,,206,54187,16401,29348,27810,30573,11486,59290,32442,33624
