Biomass_Supply,Zone,Emissions_tonne_per_tonne,Cost_per_tonne,Max_tonne_per_hr
CA_Ag_Residues_40,1,0,44.09,379.68
CA_Ag_Process_Waste,1,0,52.91,24.42
CA_Ag_Residues_60,1,0,66.14,48.54
CA_Ag_Residues_Herb_Crops_70,1,0,77.16,105.56
NW_Ag_Residues_40,2,0,44.09,59.35
NW_Ag_Residues_Herb_Crops_70,2,0,77.16,907.54
NW_Oil_Seeds,2,0,440.92,0.6
SW_Ag_Residues_40,3,0,44.09,8.58
SW_Ag_Process_Waste,3,0,52.91,4.2
SW_Ag_Residues_60,3,0,66.14,1.6
SW_Ag_Residues_Herb_Crops_70,3,0,77.16,2036.33
SW_Oil_Seeds,3,0,440.92,0.15
TX_Ag_Residues_40,4,0,44.09,13.41
TX_Ag_Process_Waste,4,0,52.91,120.19
TX_Ag_Residues_60,4,0,66.14,84.56
TX_Ag_Residues_Herb_Crops_70,4,0,77.16,15259.5
TX_Oil_Seeds,4,0,440.92,17.55
NCEN_Ag_Residues_40,5,0,44.09,16.01
NCEN_Ag_Process_Waste,5,0,52.91,0.05
NCEN_Ag_Residues_60,5,0,66.14,0.11
NCEN_Ag_Residues_Herb_Crops_70,5,0,77.16,19228.23
NCEN_Oil_Seeds,5,0,440.92,1303.15
CEN_Ag_Residues_40,6,0,44.09,11.06
CEN_Ag_Process_Waste,6,0,52.91,131.43
CEN_Ag_Residues_60,6,0,66.14,252.65
CEN_Ag_Residues_Herb_Crops_70,6,0,77.16,27585.34
CEN_Oil_Seeds,6,0,440.92,878.09
SE_Ag_Residues_40,7,0,44.09,104.57
SE_Ag_Process_Waste,7,0,52.91,76.33
SE_Ag_Residues_60,7,0,66.14,38.9
SE_Ag_Residues_Herb_Crops_70,7,0,77.16,8613.31
SE_Oil_Seeds,7,0,440.92,387.72
MIDAT_Ag_Residues_40,8,0,44.09,12.41
MIDAT_Ag_Process_Waste,8,0,52.91,1.63
MIDAT_Ag_Residues_60,8,0,66.14,0.62
MIDAT_Ag_Residues_Herb_Crops_70,8,0,77.16,2056.97
MIDAT_Oil_Seeds,8,0,440.92,284.97
NE_Ag_Residues_40,9,0,44.09,20.92
NE_Ag_Residues_Herb_Crops_70,9,0,77.16,481.04
NE_Oil_Seeds,9,0,440.92,22.31
