Global_conventional_diesel_price_per_mmbtu,Conventional_diesel_co2_per_mmbtu,Syn_diesel_co2_per_mmbtu,Bio_diesel_co2_per_mmbtu,Time_Index,Load_mmbtu_z1,Load_mmbtu_z2,Load_mmbtu_z3,Load_mmbtu_z4,Load_mmbtu_z5,Load_mmbtu_z6,Load_mmbtu_z7,Load_mmbtu_z8,Load_mmbtu_z9
25.41,0.0741,0.0741,0.0741,1,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,2,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,3,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,4,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,5,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,6,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,7,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,8,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,9,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,10,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,11,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,12,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,13,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,14,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,15,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,16,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,17,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,18,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,19,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,20,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,21,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,22,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,23,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,24,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,25,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,26,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,27,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,28,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,29,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,30,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,31,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,32,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,33,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,34,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,35,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,36,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,37,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,38,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,39,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,40,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,41,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,42,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,43,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,44,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,45,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,46,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,47,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,48,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,49,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,50,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,51,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,52,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,53,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,54,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,55,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,56,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,57,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,58,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,59,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,60,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,61,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,62,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,63,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,64,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,65,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,66,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,67,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,68,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,69,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,70,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,71,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,72,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,73,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,74,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,75,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,76,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,77,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,78,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,79,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,80,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,81,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,82,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,83,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,84,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,85,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,86,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,87,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,88,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,89,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,90,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,91,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,92,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,93,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,94,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,95,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,96,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,97,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,98,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,99,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,100,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,101,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,102,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,103,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,104,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,105,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,106,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,107,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,108,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,109,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,110,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,111,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,112,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,113,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,114,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,115,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,116,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,117,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,118,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,119,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,120,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,121,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,122,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,123,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,124,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,125,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,126,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,127,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,128,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,129,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,130,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,131,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,132,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,133,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,134,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,135,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,136,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,137,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,138,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,139,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,140,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,141,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,142,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,143,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,144,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,145,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,146,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,147,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,148,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,149,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,150,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,151,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,152,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,153,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,154,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,155,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,156,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,157,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,158,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,159,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,160,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,161,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,162,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,163,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,164,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,165,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,166,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,167,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,168,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,169,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,170,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,171,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,172,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,173,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,174,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,175,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,176,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,177,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,178,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,179,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,180,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,181,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,182,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,183,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,184,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,185,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,186,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,187,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,188,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,189,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,190,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,191,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,192,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,193,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,194,27102,16618,20744,36449,50779,41476,69613,44748,28273
,,,,195,27102,16618,20744,36449,50779,41476,69613,44748,28273
