Conventional_jetfuel_co2_per_mmbtu,Conventional_jetfuel_price_per_mmbtu,Syn_jetfuel_co2_per_mmbtu,Time_Index,Load_mmbtu_z1,Load_mmbtu_z2,Load_mmbtu_z3,Load_mmbtu_z4,Load_mmbtu_z5,Load_mmbtu_z6,Load_mmbtu_z7,Load_mmbtu_z8,Load_mmbtu_z9
0.0722,18.77,0.0722,1,54205.1,16428.15,29331.34,27805.81,30551.77,11484.77,59244.77,32395.61,33613.87
,,,2,54205.1,16428.15,29331.34,27805.81,30551.77,11484.77,59244.77,32395.61,33613.87
,,,3,54205.1,16428.15,29331.34,27805.81,30551.77,11484.77,59244.77,32395.61,33613.87
,,,4,54205.1,16428.15,29331.34,27805.81,30551.77,11484.77,59244.77,32395.61,33613.87
,,,5,54205.1,16428.15,29331.34,27805.81,30551.77,11484.77,59244.77,32395.61,33613.87
,,,6,54205.1,16428.15,29331.34,27805.81,30551.77,11484.77,59244.77,32395.61,33613.87
,,,7,54205.1,16428.15,29331.34,27805.81,30551.77,11484.77,59244.77,32395.61,33613.87
,,,8,54205.1,16428.15,29331.34,27805.81,30551.77,11484.77,59244.77,32395.61,33613.87
,,,9,54205.1,16428.15,29331.34,27805.81,30551.77,11484.77,59244.77,32395.61,33613.87
,,,10,54205.1,16428.15,29331.34,27805.81,30551.77,11484.77,59244.77,32395.61,33613.87
,,,11,54205.1,16428.15,29331.34,27805.81,30551.77,11484.77,59244.77,32395.61,33613.87
,,,12,54205.1,16428.15,29331.34,27805.81,30551.77,11484.77,59244.77,32395.61,33613.87
,,,13,54205.1,16428.15,29331.34,27805.81,30551.77,11484.77,59244.77,32395.61,33613.87
,,,14,54205.1,16428.15,29331.34,27805.81,30551.77,11484.77,59244.77,32395.61,33613.87
,,,15,54205.1,16428.15,29331.34,27805.81,30551.77,11484.77,59244.77,32395.61,33613.87
,,,16,54205.1,16428.15,29331.34,27805.81,30551.77,11484.77,59244.77,32395.61,33613.87
,,,17,54205.1,16428.15,29331.34,27805.81,30551.77,11484.77,59244.77,32395.61,33613.87
,,,18,54205.1,16428.15,29331.34,27805.81,30551.77,11484.77,59244.77,32395.61,33613.87
,,,19,54205.1,16428.15,29331.34,27805.81,30551.77,11484.77,59244.77,32395.61,33613.87
,,,20,54205.1,16428.15,29331.34,27805.81,30551.77,11484.77,59244.77,32395.61,33613.87
,,,21,54205.1,16428.15,29331.34,27805.81,30551.77,11484.77,59244.77,32395.61,33613.87
,,,22,54205.1,16428.15,29331.34,27805.81,30551.77,11484.77,59244.77,32395.61,33613.87
,,,23,54205.1,16428.15,29331.34,27805.81,30551.77,11484.77,59244.77,32395.61,33613.87
,,,24,54205.1,16428.15,29331.34,27805.81,30551.77,11484.77,59244.77,32395.61,33613.87
,,,25,54205.1,16428.15,29331.34,27805.81,30551.77,11484.77,59244.77,32395.61,33613.87
,,,26,54205.1,16428.15,29331.34,27805.81,30551.77,11484.77,59244.77,32395.61,33613.87
,,,27,54205.1,16428.15,29331.34,27805.81,30551.77,11484.77,59244.77,32395.61,33613.87
,,,28,54205.1,16428.15,29331.34,27805.81,30551.77,11484.77,59244.77,32395.61,33613.87
,,,29,54205.1,16428.15,29331.34,27805.81,30551.77,11484.77,59244.77,32395.61,33613.87
,,,30,54205.1,16428.15,29331.34,27805.81,30551.77,11484.77,59244.77,32395.61,33613.87
,,,31,54205.1,16428.15,29331.34,27805.81,30551.77,11484.77,59244.77,32395.61,33613.87
,,,32,54205.1,16428.15,29331.34,27805.81,30551.77,11484.77,59244.77,32395.61,33613.87
,,,33,54205.1,16428.15,29331.34,27805.81,30551.77,11484.77,59244.77,32395.61,33613.87
,,,34,54205.1,16428.15,29331.34,27805.81,30551.77,11484.77,59244.77,32395.61,33613.87
,,,35,54205.1,16428.15,29331.34,27805.81,30551.77,11484.77,59244.77,32395.61,33613.87
,,,36,54205.1,16428.15,29331.34,27805.81,30551.77,11484.77,59244.77,32395.61,33613.87
,,,37,54205.1,16428.15,29331.34,27805.81,30551.77,11484.77,59244.77,32395.61,33613.87
,,,38,54205.1,16428.15,29331.34,27805.81,30551.77,11484.77,59244.77,32395.61,33613.87
,,,39,54205.1,16428.15,29331.34,27805.81,30551.77,11484.77,59244.77,32395.61,33613.87
,,,40,54205.1,16428.15,29331.34,27805.81,30551.77,11484.77,59244.77,32395.61,33613.87
,,,41,54205.1,16428.15,29331.34,27805.81,30551.77,11484.77,59244.77,32395.61,33613.87
,,,42,54205.1,16428.15,29331.34,27805.81,30551.77,11484.77,59244.77,32395.61,33613.87
,,,43,54205.1,16428.15,29331.34,27805.81,30551.77,11484.77,59244.77,32395.61,33613.87
,,,44,54205.1,16428.15,29331.34,27805.81,30551.77,11484.77,59244.77,32395.61,33613.87
,,,45,54205.1,16428.15,29331.34,27805.81,30551.77,11484.77,59244.77,32395.61,33613.87
,,,46,54205.1,16428.15,29331.34,27805.81,30551.77,11484.77,59244.77,32395.61,33613.87
,,,47,54205.1,16428.15,29331.34,27805.81,30551.77,11484.77,59244.77,32395.61,33613.87
,,,48,54205.1,16428.15,29331.34,27805.81,30551.77,11484.77,59244.77,32395.61,33613.87
,,,49,54205.1,16428.15,29331.34,27805.81,30551.77,11484.77,59244.77,32395.61,33613.87
,,,50,54205.1,16428.15,29331.34,27805.81,30551.77,11484.77,59244.77,32395.61,33613.87
