Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_Tonne,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_H2_tonne_per_hr_z1,Load_H2_tonne_per_hr_z2,Load_H2_tonne_per_hr_z3,Load_H2_tonne_per_hr_z4,Load_H2_tonne_per_hr_z5,Load_H2_tonne_per_hr_z6,Load_H2_tonne_per_hr_z7,Load_H2_tonne_per_hr_z8,Load_H2_tonne_per_hr_z9
,,,,,,,66,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,67,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,68,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,69,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,70,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,71,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,72,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,73,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,74,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,75,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,76,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,77,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,78,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,79,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,80,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,81,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,82,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,83,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,84,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,85,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,86,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,87,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,88,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,89,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,90,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,91,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,92,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,93,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,94,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,95,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,96,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,97,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,98,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,99,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,100,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,101,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,102,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,103,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,104,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,105,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,106,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,107,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,108,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,109,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,110,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,111,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,112,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,113,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,114,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,115,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,116,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
,,,,,,,117,204.73,172.83,142.55,449.46,562.59,824.36,617.82,315.03,91.24
