Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6,Load_MW_z7,Load_MW_z8,Load_MW_z9
,,,,,,,,82,38260,37974,44045,66298,94335,84444,195542,126629,44259
,,,,,,,,83,40301,39795,43543,63691,93335,81395,182753,124627,44355
,,,,,,,,84,41042,39189,42653,61314,92131,78553,170965,122036,44051
,,,,,,,,85,41658,38480,42258,59426,90599,75914,160886,119724,43612
,,,,,,,,86,42139,37884,41712,57836,89336,73449,152984,117832,43401
,,,,,,,,87,42354,37400,41093,56713,88169,71690,146634,116089,43081
,,,,,,,,88,42382,37063,40778,55818,87321,70369,143657,116045,43449
,,,,,,,,89,42653,36804,40617,55140,88071,70058,145527,119091,46067
,,,,,,,,90,42636,36716,40638,55450,92573,71285,156397,126630,48785
,,,,,,,,91,42596,37315,41555,58008,96824,76427,171513,128753,48671
,,,,,,,,92,42960,39083,44151,61814,96247,79742,174731,126841,47356
,,,,,,,,93,46391,40321,45732,61681,94407,79489,174353,124128,45393
,,,,,,,,94,46627,39803,45327,61081,91705,78675,170450,119270,42633
,,,,,,,,95,45472,38765,44394,59264,86640,76390,162623,111470,39089
,,,,,,,,96,43824,37371,42593,55910,81260,72591,153886,104075,35604
,,,,,,,,97,41299,34851,39863,52298,77135,68631,147603,98493,33240
,,,,,,,,98,38080,32195,37386,50206,75012,66786,145864,95645,31901
,,,,,,,,99,35089,29901,35639,49429,73446,66004,145574,94097,31191
,,,,,,,,100,33153,28548,34760,49265,72925,66080,147441,93875,30950
,,,,,,,,101,31823,27990,34378,49854,73837,66933,151578,95683,31518
,,,,,,,,102,31121,27851,34509,51621,76785,68774,161486,101191,33697
,,,,,,,,103,31143,28324,35611,56172,83230,73312,178259,111083,38092
,,,,,,,,104,32158,29896,37905,63233,90177,80645,186863,117644,41168
,,,,,,,,105,34605,33144,41576,65392,92096,82870,181220,117227,41807
