Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_Tonne,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_H2_tonne_per_hr_z1,Load_H2_tonne_per_hr_z2,Load_H2_tonne_per_hr_z3
,,,,,,,146,811.0,773.0,406.0
,,,,,,,147,811.0,773.0,406.0
,,,,,,,148,811.0,773.0,406.0
,,,,,,,149,811.0,773.0,406.0
,,,,,,,150,811.0,773.0,406.0
,,,,,,,151,811.0,773.0,406.0
,,,,,,,152,811.0,773.0,406.0
,,,,,,,153,811.0,773.0,406.0
,,,,,,,154,811.0,773.0,406.0
,,,,,,,155,811.0,773.0,406.0
,,,,,,,156,811.0,773.0,406.0
,,,,,,,157,811.0,773.0,406.0
,,,,,,,158,811.0,773.0,406.0
,,,,,,,159,811.0,773.0,406.0
,,,,,,,160,811.0,773.0,406.0
,,,,,,,161,811.0,773.0,406.0
,,,,,,,162,811.0,773.0,406.0
,,,,,,,163,811.0,773.0,406.0
,,,,,,,164,811.0,773.0,406.0
,,,,,,,165,811.0,773.0,406.0
,,,,,,,166,811.0,773.0,406.0
,,,,,,,167,811.0,773.0,406.0
,,,,,,,168,811.0,773.0,406.0
