Resource,Zone,Capacity
Liquid_DAC_1,1,0.0008479390335455559
Liquid_DAC_2,2,0.0007990355460923179
Liquid_DAC_3,3,0.0008770485786889693
Liquid_DAC_4,4,0.0008122475158756324
Liquid_DAC_5,5,0.0008539393166004481
Liquid_DAC_6,6,0.0006710703584466162
Liquid_DAC_7,7,0.0008236332099484534
Liquid_DAC_8,8,0.000855551591960609
Liquid_DAC_9,9,0.0009383223982990677
Liquid_DAC_10,10,0.0007223460920372246
Solid_DAC_1,1,1.1763851894002688
Solid_DAC_2,2,160.1481745788104
Solid_DAC_3,3,0.012610768701030109
Solid_DAC_4,4,0.06847791614195493
Solid_DAC_5,5,35.15614330599141
Solid_DAC_6,6,2.2658828491044094
Solid_DAC_7,7,217.60224779135555
Solid_DAC_8,8,196.63172771415472
Solid_DAC_9,9,0.03996166346074837
Solid_DAC_10,10,15.310515309102026
Total,n/a,628.420328219864
