Resource,CAPTURE_COMP_1,CAPTURE_COMP_2,CAPTURE_COMP_3,CAPTURE_COMP_4,CAPTURE_COMP_5,CAPTURE_COMP_6,CAPTURE_COMP_7,CAPTURE_COMP_8,CAPTURE_COMP_9,CAPTURE_COMP_10
Zone,1,2,3,4,5,6,7,8,9,10
AnnualSum,957.05664,130200.89,10.718302,56.498203,28554.229,1811.1135,175424.78,159364.34,34.007248,12853.476
t1,1.1769237259983756,160.14870128744332,0.013100364593792034,0.06897826745226919,35.156669069985035,2.266087194228459,217.60274225893647,196.63224806612257,0.040485016712462275,15.310880499684075
t2,1.1769296069555848,160.1487041174744,0.013105393413181027,0.06898240458980162,35.15667407635934,2.266073259824016,217.60274714061183,196.63225216599582,0.04048770095187485,15.310884234463257
t3,1.176933007786806,160.14870722385137,0.013108555696060543,0.06898577246065178,35.15667772675986,2.2660672755104976,217.60275116040404,196.63225549464963,0.04049093218792609,15.310887447958496
t4,1.1769338209493392,160.14870785950242,0.013108933709868676,0.06898607355670226,35.15667924176961,2.2660636302584822,217.60275199096316,196.63225591475987,0.04049165406596932,15.310887977096328
t5,1.1769321548404597,160.14870684607848,0.013106928543257255,0.06898410140491115,35.15667964358901,2.2660588728878617,217.60274934669596,196.63225292020363,0.040489925259361306,15.310886558947676
t6,1.1769220647034893,160.14870777493937,0.013105228464806136,0.06898031470512676,35.15667379809813,2.26603573079006,217.60273797324874,196.63223974729266,0.04049178858961511,15.310889457090738
t7,1.176911680864124,160.1486943212564,0.01308075355268472,0.06896856470847249,35.15665845119606,2.265971388936805,217.60273818371226,196.63223221562853,0.04048520505130545,15.310884012917509
t8,1.1766783056958914,160.14853930937628,0.01306631709984862,0.06886086099777296,35.156376425981485,1.133269180959359,152.32293270998042,196.6319637928197,0.04047983555670843,15.310881287191082
t9,1.1766216179313496,160.14854879483,0.013009000853048607,0.06886854383476028,35.15630490978768,0.4534681441030576,43.52475854487569,196.63197317626305,0.04049022037787674,15.310865281221256
t10,1.1766116997177796,160.14855335404204,0.012987167434037295,0.06887429131076026,35.15630169325471,0.453296981425946,43.52074470792898,196.63197814429824,0.04049595564125313,15.310851594792812
