,CO2 Pipeline Compressors Power Consumption,CO2 Pipeline Compressors Power Consumption,CO2 Pipeline Compressors Power Consumption,CO2 Pipeline Compressors Power Consumption,CO2 Pipeline Compressors Power Consumption,CO2 Pipeline Compressors Power Consumption,CO2 Pipeline Compressors Power Consumption,CO2 Pipeline Compressors Power Consumption,CO2 Pipeline Compressors Power Consumption,CO2 Pipeline Compressors Power Consumption
Zone,1,2,3,4,5,6,7,8,9,10
AnnualSum,25619.017976652558,50297.59608286908,883.1405221735645,19475.970868010947,20420.1168152964,770.9836398649761,80390.63987975824,36595.72628381187,16050.919327408525,7.720732985030607
t1,0.7743641809973326,141.4189349852045,1.4155972971713289,38.13854817947615,7.564477705163458,0.7229143304585631,71.99010510870913,41.18204881462475,0.16224370902824692,0.009534738381087529
t2,0.9996820680714921,142.5490593928462,0.31005175538663865,38.139412091647856,7.5886891940346395,0.7232268116769877,71.97593409192483,41.31578563996159,0.13122227792732322,0.009543702502875798
t3,0.9998140010784147,142.5505415887621,0.3089614129161693,38.139465286169084,7.588803106233262,0.723249111357565,71.97543649965377,41.31655747530861,0.13125228336405634,0.009536511612410752
t4,0.9901641794622016,142.5127613955506,0.3091498408662681,38.139288473897814,7.584984555730134,0.7232133901861979,72.01671897841837,41.31197236903758,0.13233128191232213,0.009524408712842682
t5,0.9901399870224401,142.51599843262804,0.30877206551655195,38.13893638831038,7.585063938803221,0.7232432441855666,72.01472145325363,41.311143453702144,0.1322801328953554,0.009530550561971772
t6,0.3056583544655331,67.74269981172468,51.355251095430326,38.139268108859156,7.442947297470125,0.9335109831200022,73.58894853864348,40.904185618975944,0.7173372874615177,0.009893772257715577
t7,0.24835376632390477,45.37490342866275,8.537296245479915,0.04540394040274604,11.107588112406654,0.9717392571432172,80.11249033401887,50.1093617255723,124.14706494211977,0.010862096483376528
t8,31.08852960260495,45.34979270105683,44.70068487330343,0.018797067430248948,11.106736700513094,0.3283721413800534,30.93122315053991,50.08188641491114,76.82736021800632,0.014655617095753104
t9,0.25345469735024734,53.79726145688033,1.5462512010427594,0.024298182923477428,7.958224438011384,0.1077885789157571,9.309726348210141,61.27039126702814,92.71932808775337,0.005092919934189962
t10,0.28431246461885396,55.28566570779863,0.31032196420576286,0.02515037919088378,7.40506800675353,0.10591298211656017,9.307537249136416,61.2439518934512,93.84708837400973,0.003806879866037273
