Resource,Zone,Investment_Cost,Fixed_OM_Cost,Total_Cost
CAPTURE_COMP_1,1,44366.95083948742,15342.357534492014,59709.30837397944
CAPTURE_COMP_2,2,6.020664842193187e6,2.0819819901182328e6,8.10264683231142e6
CAPTURE_COMP_3,3,616.9452509685012,213.3433657365805,830.2886167050817
CAPTURE_COMP_4,4,2723.253080254641,941.7172382508513,3664.9703185054923
CAPTURE_COMP_5,5,1.3217823453860525e6,457080.2577589647,1.7788626031450173e6
CAPTURE_COMP_6,6,85260.74287600348,29483.675936904907,114744.41881290839
CAPTURE_COMP_7,7,8.180546488977885e6,2.8288820098433895e6,1.1009428498821273e7
CAPTURE_COMP_8,8,7.39218340480229e6,2.55626132991035e6,9.94844473471264e6
CAPTURE_COMP_9,9,1644.5234783570074,568.6860760411712,2213.2095543981786
CAPTURE_COMP_10,10,575722.7102599564,199088.36407287017,774811.0743328265
