Resource,Zone,Investment_Cost,Fixed_OM_Cost,Var_OM_Cost,Startup_Cost
Liquid_DAC_1,1,861.6417283276521,293.40386438743326,0.026240066379615765,0.0
Liquid_DAC_2,2,811.9479605171697,276.48227965886383,0.02555027838548309,0.0
Liquid_DAC_3,3,891.2216837205831,303.4763491979572,0.025112405141110954,0.0
Liquid_DAC_4,4,825.3734357321825,281.05388544328633,0.024972470712325123,0.0
Liquid_DAC_5,5,867.7389759567113,295.48008233008704,0.02602905961102452,0.0
Liquid_DAC_6,6,681.9148554391135,232.20376542969814,0.015120807239330136,0.0
Liquid_DAC_7,7,836.9431226212205,284.99356330636385,0.02543243462309236,0.0
Liquid_DAC_8,8,869.3773056866925,296.0379618502099,0.025159508011183804,0.0
Liquid_DAC_9,9,953.4856882555806,324.6783162594434,0.026424111451136167,0.0
Liquid_DAC_10,10,734.0192048845462,249.94619476672048,0.020893200179932493,0.0
Solid_DAC_1,1,1.3705828564664652e6,150454.96018353678,17.426878226473907,0.0
Solid_DAC_2,2,1.8658543523828042e8,2.0482310935931534e7,2372.7068978030416,0.0
Solid_DAC_3,3,14692.554398196158,1612.8668737869468,0.1844421012330992,0.0
Solid_DAC_4,4,79782.25053866886,8758.051562891469,1.0123666733010654,0.0
Solid_DAC_5,5,4.095971944294447e7,4.496330104263077e6,520.8610121933228,0.0
Solid_DAC_6,6,2.6399347898345655e6,289797.35286905756,33.56788073905933,0.0
Solid_DAC_7,7,2.535240268567525e8,2.783045708352321e7,3223.929352444672,0.0
Solid_DAC_8,8,2.2909169332520738e8,2.514841144772953e7,2913.236696795611,0.0
Solid_DAC_9,9,46558.53486484871,5110.936909975873,0.5896611600939964,0.0
Solid_DAC_10,10,1.783797517632859e7,1.9581536659729127e6,226.83353739884117,0.0
