,Pipeline CO2 Loss,Pipeline CO2 Loss,Pipeline CO2 Loss,Pipeline CO2 Loss,Pipeline CO2 Loss,Pipeline CO2 Loss,Pipeline CO2 Loss,Pipeline CO2 Loss,Pipeline CO2 Loss,Pipeline CO2 Loss
Zone,1,2,3,4,5,6,7,8,9,10
AnnualSum,37.8320457907719,74.29149013983756,1.3065855694352075,28.881177263910008,30.15782728711797,1.1390055791701137,118.76225615454875,54.22588541707649,23.810006995934916,0.011411960684040292
t1,0.0011466726115364773,0.20881602271289262,0.0020943269874613953,0.056556288175036884,0.011225918279746701,0.001068381767348544,0.10649172264956024,0.06107061619162699,0.00024053528540699212,1.4093102167763111e-5
t2,0.0014775613940161965,0.21048475201675113,0.0004587653138313104,0.05655754707449056,0.011261753389552622,0.001068856008699141,0.10647027991181299,0.061267834358317216,0.00019451512027049986,1.4106399199585736e-5
t3,0.0014777542983831042,0.21048694211630603,0.00045715183333540143,0.056557626174276454,0.011261922195619249,0.0010688892231064781,0.10646954995489728,0.06126897505722149,0.00019455965269738447,1.4095798255734178e-5
t4,0.0014635056607976418,0.21043115658348854,0.0004574302425789754,0.056557364400894046,0.011256254864858317,0.0010688365739917483,0.10653031104785929,0.06126218508736246,0.00019616027734045818,1.4077910246206281e-5
t5,0.001463470332211848,0.21043593569286864,0.0004568708566684095,0.056556842930977104,0.011256372850795601,0.0010688806294312187,0.1065273719903534,0.061260959493806735,0.00019608440905199206,1.4086992472061455e-5
t6,0.00045316795399164667,0.10002740069546663,0.07597591637313957,0.05655741355920465,0.011046330722731569,0.0013798228793724654,0.10888798778660062,0.06066065369253723,0.0010639665753484785,1.4623313992657864e-5
t7,0.0003682483852522068,0.06705042067683488,0.012630269215574983,6.731790333450741e-5,0.01644050658713329,0.001436486772658456,0.11838146330624871,0.0741826889562699,0.18416111883305164,1.605308563984708e-5
t8,0.04610007740510264,0.06701334728436807,0.0661310077916862,2.7902339633564983e-5,0.01643924487422482,0.00048542375120385587,0.045888737401590926,0.07414204176822478,0.11396644902514998,2.1654544544070256e-5
t9,0.0003758340105968624,0.07949610165411514,0.0022875945721447487,3.603057497272262e-5,0.011804445494157594,0.00015948492520720335,0.013791955156340316,0.09070563116806893,0.13754080002792604,7.525690381597716e-6
t10,0.0004215388412411168,0.08169549137131099,0.00045914044019895457,3.729246350513677e-5,0.010990172661056516,0.00015673365970444056,0.013788737740457399,0.09066647532748538,0.1392137339055933,5.625268765991466e-6
t11,0.00040338137046819515,0.08169518386790191,0.0004346504034990614,3.730340340241668e-5,0.010989697847347421,0.00015711829731354814,0.013789130879083077,0.09069158019308413,0.13923620282742322,5.5539613080971635e-6
t12,0.00042196565616910067,0.08169561001778647,0.00045938306503012793,3.740538899215889e-5,0.010990116590864704,0.0001567319950328557,0.013788722249492397,0.09066587927325481,0.1392134903285966,6.63685777345308e-6
t13,0.00042326814344705873,0.08169548065961547,0.0004609515431278266,3.742016220347804e-5,0.010990024361436816,0.00015654775728143352,0.013788679055178915,0.0906644386279058,0.13921212998047094,6.634150331601382e-6
t14,0.00038929176418719345,0.08169589405589991,0.0004200996439197456,3.7413895031355795e-5,0.010990018142405262,0.0001577980434478091,0.013789480226004432,0.09070733542794882,0.13924934178817255,6.645314734468798e-6
t15,0.00038582114342365436,0.08169177353977966,0.00040702237896450186,3.7280995822219575e-5,0.010991689155628929,0.0001619895221918752,0.013786028997355572,0.09071586194263617,0.13926088383921587,6.659185550271252e-6
t16,0.013456986272659925,0.08170116910205588,0.015726220420747002,4.0869790551728245e-5,0.010993204958925104,0.000178060358058967,0.013135866361290768,0.07415764506093875,0.1252116333075705,7.807482133365422e-6
t17,0.0003841628906187981,0.08169550867746032,0.0004146156029467091,3.760973732092678e-5,0.010990102501157666,0.0001582984898419748,0.013789227990795317,0.09071383714008274,0.13925413250841792,5.632071764243135e-6
t18,0.013464169858246961,0.08168119323907916,0.015644508555163708,3.459432846215395e-5,0.010983171865800986,0.00015518602282614275,0.013156173796582443,0.07420894348621325,0.12529246535520594,4.677707892435667e-6
t19,0.01347317040584528,0.08169415724920615,0.015696345867457807,3.747683963184759e-5,0.010989617628099392,0.00015647442425545776,0.013154223895649126,0.07416527146425388,0.1252417326555232,5.6346889325631716e-6
t20,0.013468483159986788,0.06701265571076816,0.028023270238903986,2.8826639138876784e-5,0.016438288520184214,0.00015957362371745668,0.013151499024883839,0.07413925414496605,0.11396421278257637,2.146742898166543e-5
t21,0.0339576798869429,0.06700879281186471,0.05195267421916163,0.05654371677623999,0.01644050514422716,0.00017014600443468133,0.03381882180684309,0.06061685525466925,0.05135143136830765,2.078187833776773e-5
