Resource,MA_natural_gas_combined_cycle,MA_solar_pv,CT_natural_gas_combined_cycle,CT_onshore_wind,CT_solar_pv,ME_natural_gas_combined_cycle,ME_onshore_wind,MA_battery,CT_battery,ME_battery,Total
Zone,1,1,2,2,2,3,3,1,2,3,0
AnnualSum,0.0,3804.253,0.0,762.11053,218.08911,0.0,22141.09,0.0,0.0,0.0,26925.543
t1,3255.661425271648,0.0,1016.9475408136263,0.0,0.0,614.6954343722932,82.08615521953959,23.663776731809776,120.4696380085906,208.68727483112437,5322.211245248632
t2,3652.8947836104153,0.0,1010.242506202341,0.0,0.0,614.6954343722932,343.3470775619417,23.663776731809776,120.4696380085906,208.68727483112437,5974.000491318516
t3,3850.460580879432,0.0,1118.7884961745851,0.0,0.0,614.6954343722932,35.86078101663952,23.663776731809776,120.4696380085906,208.68727483112437,5972.625982014475
t4,3910.360849200357,0.0,1130.853091738269,0.0,0.0,614.6954343722932,441.48730033239764,23.663776731809776,120.4696380085906,208.68727483112437,6450.217365214841
t5,3756.9320917467594,0.0,1099.5776266360126,0.0,0.0,614.6954343722932,315.3760157130225,23.663776731809776,120.4696380085906,208.68727483112437,6139.401858039612
t6,3947.2677778175193,0.0,1182.9848275684724,0.0,0.0,614.6954343722932,359.956464460249,23.663776731809776,120.4696380085906,208.68727483112437,6457.725193790058
t7,2974.408601878151,0.0,815.2336759780442,0.0,0.0,614.6954343722932,0.0,23.663776731809776,120.4696380085906,208.68727483112437,4757.158401800013
t8,2928.9646972507708,0.0,908.5665921767454,0.0,0.0,599.8786404396672,0.0,23.663776731809776,120.4696380085906,0.0,4581.543344607584
t9,3475.092394032694,0.0,1148.7535102389522,0.0,0.0,448.65145389568556,0.0,23.663776731809776,120.4696380085906,0.0,5216.630772907732
t10,3950.148305038394,0.0,1382.2557212769098,0.0,0.0,364.1736405593058,0.0,23.663776731809776,120.4696380085906,0.0,5840.71108161501
t11,4092.208783516353,0.0,1695.563419754162,0.0,0.0,602.2649785200947,0.0,23.663776731809776,120.4696380085906,0.0,6534.17059653101
t12,3934.7406384659853,0.0,1875.048579746555,0.0,0.0,614.6954343722932,0.0,23.663776731809776,120.4696380085906,151.96437335775747,6720.582440682992
t13,3864.738149888627,0.0,2013.1779052686168,0.0,0.0,614.6954343722932,0.0,23.663776731809776,120.4696380085906,208.68727483112437,6845.4321791010625
t14,3713.812298598261,0.0,2013.1779052686168,95.04137034536848,0.0,614.6954343722932,0.0,23.663776731809776,120.4696380085906,164.52993227589383,6745.390355600834
t15,3550.268361974472,0.0,2013.1779052686168,0.0,0.0,614.6954343722932,44.23194579963342,23.663776731809776,120.4696380085906,208.68727483112437,6575.194336986541
t16,2771.6764961040226,0.0,1817.2012985715976,0.0,0.0,614.6954343722932,208.29785087755135,23.663776731809776,120.4696380085906,208.68727483112437,5764.69176949699
t17,1775.214930222981,0.0,1448.4257543506194,0.0,0.0,614.6954343722932,362.2969799648081,23.663776731809776,120.4696380085906,208.68727483112437,4553.453788482226
t18,680.4417422306615,0.0,978.415315409919,0.0,0.0,614.6954343722932,271.25206261906555,23.663776731809776,120.4696380085906,208.68727483112437,2897.625244203464
t19,312.0227795608753,0.0,408.15657460343164,0.0,0.0,614.6954343722932,365.79883608203795,23.663776731809776,120.4696380085906,208.68727483112437,2053.494314190163
t20,0.0,0.0,478.10044442202843,0.0,0.0,614.6954343722932,222.12309380886677,0.5784471947263192,120.4696380085906,208.68727483112437,1644.6543326376298
t21,0.0,0.0,231.9010214140767,0.0,0.0,614.6954343722932,107.10555402681098,0.0,120.4696380085906,208.68727483112437,1282.858922652896
t22,260.648009225386,0.0,499.5362625753537,0.0,0.0,614.6954343722932,325.0344500986141,23.663776731809776,120.4696380085906,208.68727483112437,2052.734845843172
t23,1361.9722408101188,0.0,450.2639210113598,0.0,0.0,614.6954343722932,675.6682692275626,23.663776731809776,120.4696380085906,208.68727483112437,3455.4205549928593
t24,2422.312078280531,0.0,855.5499517495223,0.0,0.0,614.6954343722932,709.6706444313672,23.663776731809776,120.4696380085906,208.68727483112437,4955.048798405238
t25,3108.5379592202535,0.0,1190.9264187303781,0.0,0.0,614.6954343722932,398.57986652245063,23.663776731809776,120.4696380085906,208.68727483112437,5665.5603684169
t26,3528.8907193670966,0.0,1485.6044690264432,0.0,0.0,614.6954343722932,693.7924083291107,23.663776731809776,120.4696380085906,208.68727483112437,6675.8037206664685
t27,3725.4056347357464,0.0,1500.2650676902924,0.0,0.0,614.6954343722932,679.2941717858484,23.663776731809776,120.4696380085906,208.68727483112437,6872.480998155705
t28,3804.2217772632794,0.0,1106.8076007733162,0.0,0.0,614.6954343722932,434.01105886662094,23.663776731809776,120.4696380085906,208.68727483112437,6312.556560847035
t29,3631.8771456030736,0.0,943.6559819000154,0.0,0.0,614.6954343722932,682.7905303624925,23.663776731809776,120.4696380085906,208.68727483112437,6225.8397818094
t30,3623.01586507922,0.0,885.5475182224177,0.0,0.0,614.6954343722932,357.5735554909322,23.663776731809776,120.4696380085906,208.68727483112437,5833.653062736389
t31,2907.4783941197747,0.0,705.2994884064342,0.0,0.0,614.6954343722932,0.0,23.663776731809776,120.4696380085906,110.36246796744402,4481.969199606347
t32,2701.803928333946,0.0,857.6068051353809,0.0,0.0,288.2795206563037,0.0,23.663776731809776,120.4696380085906,0.0,3991.823668866031
t33,2827.8737246218916,0.0,944.8805616712657,0.0,0.0,0.0,0.0,23.663776731809776,120.4696380085906,72.51594447272763,3989.4036455062856
t34,3082.145656369883,0.0,1215.4490372203963,0.0,0.0,0.0,0.0,23.663776731809776,120.4696380085906,61.1691557142415,4502.897264044921
t35,3191.706432626208,0.0,1313.2014265516457,0.0,0.0,0.0,0.0,23.663776731809776,120.4696380085906,148.21051587891318,4797.2517897971675
t36,3303.1176473155265,0.0,1520.7040651947989,0.0,0.0,130.1829800580224,0.0,23.663776731809776,120.4696380085906,136.82822586533692,5234.966333174086
t37,3307.4069961838522,0.0,1576.4430762292789,0.0,0.0,124.2613430750257,0.0,23.663776731809776,120.4696380085906,208.68727483112437,5360.932105059681
t38,3126.005569782841,0.0,1424.8573957480346,0.0,0.0,381.23122831337605,0.0,23.663776731809776,120.4696380085906,208.68727483112437,5284.914883415777
t39,3098.5981832026227,0.0,1175.445784234609,0.0,0.0,469.97536125090323,0.0,23.663776731809776,120.4696380085906,208.68727483112437,5096.84001825966
t40,2447.507440392801,0.0,985.405201246404,0.0,0.0,529.9451603900118,0.0,23.663776731809776,120.4696380085906,208.68727483112437,4315.678491600742
t41,1519.1992887523156,0.0,551.6182893493201,0.0,0.0,614.6954343722932,0.0,23.663776731809776,120.4696380085906,31.103772428570267,2860.7501996428996
t42,722.3296933955553,0.0,478.3228347582649,0.0,0.0,17.93970073622745,0.0,23.663776731809776,120.4696380085906,208.68727483112437,1571.4129184615724
t43,0.0,0.0,509.2704809826532,0.0,0.0,614.6954343722932,0.0,23.663776731809776,120.4696380085906,208.68727483112437,1476.7866049264712
t44,0.0,0.0,301.1919942492509,0.0,0.0,614.6954343722932,146.49509188823413,0.5784471947263192,120.4696380085906,208.68727483112437,1392.1178805442196
t45,0.0,0.0,61.30996848211407,0.0,0.0,614.6954343722932,269.9463760465983,0.0,120.4696380085906,208.68727483112437,1275.1086917407206
t46,292.1744662364017,0.0,355.7733780136864,0.0,0.0,614.6954343722932,341.8853696313147,23.663776731809776,120.4696380085906,208.68727483112437,1957.3493378252208
t47,1331.496665699473,0.0,753.799669777201,0.0,0.0,614.6954343722932,251.41446839620198,23.663776731809776,120.4696380085906,208.68727483112437,3304.226927816694
t48,2321.427415845288,0.0,741.254276319542,0.0,0.0,614.6954343722932,99.89326559718552,23.663776731809776,120.4696380085906,208.68727483112437,4130.091081705834
t49,2982.4321311761996,0.0,1046.179067535192,0.0,0.0,614.6954343722932,484.08093853051855,23.663776731809776,120.4696380085906,208.68727483112437,5480.208261185728
t50,3357.596969607259,0.0,1112.6400124885024,0.0,0.0,614.6954343722932,237.21889549840216,23.663776731809776,120.4696380085906,208.68727483112437,5674.972001537982
t51,3560.4171763781096,0.0,1001.0002410615739,0.0,0.0,614.6954343722932,524.9098017819613,23.663776731809776,120.4696380085906,208.68727483112437,6053.843343165463
t52,3625.571854200871,0.0,985.1793726162964,0.0,0.0,614.6954343722932,265.8675886176476,23.663776731809776,120.4696380085906,208.68727483112437,5844.134939378633
t53,3482.6519157509438,0.0,889.1990328782867,0.0,0.0,614.6954343722932,84.48671467703616,23.663776731809776,120.4696380085906,208.68727483112437,5423.853787250084
t54,2918.3283352538074,0.0,650.3043317132665,0.0,0.0,614.6954343722932,21.403083338519764,23.663776731809776,120.4696380085906,208.68727483112437,4557.551874249411
t55,1881.0350372383691,0.0,351.49628056391566,0.0,0.0,614.6954343722932,0.0,23.663776731809776,120.4696380085906,102.25983746603859,3093.620004381017
t56,1409.067210950574,0.0,210.36581666682787,0.0,0.0,614.6954343722932,0.0,23.663776731809776,120.4696380085906,174.07267414211185,2552.3345508722073
t57,1692.7761127745089,0.0,815.1818288423351,0.0,0.0,614.6954343722932,0.0,23.663776731809776,120.4696380085906,208.68727483112437,3475.474065560662
t58,1753.9118644432747,0.0,1020.2102569018182,0.0,0.0,592.3618503363359,0.0,23.663776731809776,120.4696380085906,208.68727483112437,3719.3046612529533
t59,1985.5397631949745,0.0,1088.0019435630027,0.0,0.0,614.6954343722932,0.0,23.663776731809776,120.4696380085906,48.882175051254166,3881.2527309219254
t60,2402.04592176963,0.0,986.6983824002532,0.0,0.0,584.789912317184,0.0,23.663776731809776,120.4696380085906,208.68727483112437,4326.354906058592
t61,2517.0027399454375,0.0,946.8941479528721,0.0,0.0,614.6954343722932,0.0,23.663776731809776,120.4696380085906,19.134797376111266,4241.860534387114
t62,2326.5397444669725,0.0,844.3288871789741,0.0,0.0,311.71720782883835,0.0,23.663776731809776,120.4696380085906,208.68727483112437,3835.4065290463095
t63,1958.1357868552186,0.0,917.9072880007525,0.0,0.0,528.87252735571,0.0,23.663776731809776,120.4696380085906,1.7908161435282466,3550.83983309561
t64,1742.5238060729534,0.0,672.4997955410604,0.0,0.0,278.98738726667557,0.0,23.663776731809776,120.4696380085906,208.68727483112437,3046.831678452214
t65,1112.5210714786117,0.0,516.3580429509525,0.0,0.0,196.0417680866983,0.0,23.663776731809776,120.4696380085906,208.68727483112437,2177.7415720877875
t66,626.9815772486618,0.0,198.18247260271937,0.0,0.0,594.2778082016744,0.0,23.663776731809776,120.4696380085906,0.0,1563.575272793456
t67,286.86697377614655,0.0,0.0,0.0,0.0,496.6649036806614,0.0,23.663776731809776,108.67289675898554,208.68727483112437,1124.5558257787277
t68,415.3953431013142,0.0,0.0,0.0,0.0,302.2809678034462,0.0,23.663776731809776,120.4696380085906,208.68727483112437,1070.4970004762852
t69,6.334589336547651,0.0,0.0,0.0,0.0,381.1774752036083,0.0,23.663776731809776,0.0,208.68727483112437,619.8631161030901
t70,338.41326985255364,0.0,0.0,0.0,0.0,504.1316269275783,0.0,23.663776731809776,13.31582510618253,208.68727483112437,1088.2117734492485
t71,1342.0054847031424,0.0,338.00523540721815,0.0,0.0,614.6954343722932,242.37919131242006,23.663776731809776,120.4696380085906,208.68727483112437,2889.9060353665986
t72,2351.902990955934,0.0,847.5477525253395,0.0,0.0,614.6954343722932,126.25664249338445,23.663776731809776,120.4696380085906,208.68727483112437,4293.223509918476
t73,3051.7903366004302,0.0,1272.0476579346214,0.0,0.0,614.6954343722932,227.52885350180247,23.663776731809776,120.4696380085906,208.68727483112437,5518.882971980673
t74,3459.532513942868,0.0,1579.053658980826,0.0,0.0,614.6954343722932,524.233620010594,23.663776731809776,120.4696380085906,208.68727483112437,6530.335916878105
t75,3713.845933831708,0.0,1779.2268906165177,0.0,0.0,614.6954343722932,453.50772351964474,23.663776731809776,120.4696380085906,208.68727483112437,6914.096671911689
t76,3792.662076359241,0.0,1815.8204663599033,0.0,0.0,614.6954343722932,610.123334421852,23.663776731809776,120.4696380085906,208.68727483112437,7186.122001084815
t77,3659.200075012618,0.0,1951.6329059252892,0.0,0.0,614.6954343722932,449.9490649494601,23.663776731809776,120.4696380085906,208.68727483112437,7028.298169831185
