,Generation,H2-G2P,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,H2-G2P,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,H2-G2P,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t76,7810.462331988195,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-7027.247267754857,2184.1590772368563,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-2007.4546934952416,1177.6495938435312,0,-152.93992581325205,0,0,-0.0,0.0,0.0,0.0,-0.0,-958.3716633478799
t77,7943.924333334818,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-7160.70926910148,2221.9959196273426,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-2045.2915358857279,1251.2613269369672,0,-208.68727483112437,0,0,-0.0,0.0,0.0,0.0,-0.0,-976.2360474234434
t78,8445.194999809928,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-7661.979935576591,2485.4047399999927,0,-120.4696380085906,0,0,-0.0,0.0,0.0,0.0,-0.0,-2188.230718249787,1110.879050041821,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1044.5410453594218
t79,9593.808916911177,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-8810.593852677841,2692.8544027089492,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-2516.1500189673343,1343.8266376092874,0,-76.37151537576216,0,0,-0.0,0.0,0.0,0.0,-0.0,-1201.1171175511258
t80,10655.19963628196,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-9871.984572048621,2996.600165232574,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-2819.8957814909595,1203.7846122510932,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1346.1338823998183
t81,11205.861752074323,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-10422.646687840985,3154.2536751929338,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-2977.549291451319,1284.4527320060479,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1421.7948031904402
t82,11525.329849785925,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-10742.114785552587,3278.916102596706,0,-33.22339162676426,0,0,-0.0,0.0,0.0,0.0,-0.0,-3068.9883272283273,1680.7661037872438,0,-150.59945103072522,0,0,-0.0,0.0,0.0,0.0,-0.0,-1463.8286480741192
t83,11783.846797276234,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-11000.631733042896,3319.264348951443,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-3142.5599652098285,1565.8954209076455,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1499.5574162252462
t84,11895.240278715148,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-11112.02521448181,3350.795050943515,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-3174.0906672019,1581.6581127390255,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1515.320108056626
t85,11935.173790929097,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-11151.958726695759,3361.3052849408723,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-3184.6009011992574,1398.0828415536512,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1520.5743386670858
t86,12021.3461067592,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-11238.131042525862,3387.580869934265,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-3210.8764861926506,1389.7843758613724,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1532.1336460100974
t87,12049.719918069111,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-11266.504853835773,3394.9380337324155,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-3218.233649990801,1602.6750351808646,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1536.3370304984653
t88,12061.27961897315,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-11278.064554739813,3398.0911039316225,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-3221.386720190008,1603.7258813029566,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1537.3878766205573
t89,12077.042847478657,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-11293.827783245319,3403.346220930302,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-3226.6418371886866,1605.8275735471407,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1539.4895688647414
t90,11992.972295449288,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-11209.75723121595,3378.1216593366435,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-3201.417275595029,1594.2682662041288,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1527.9302615217296
t91,11730.251820357511,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-10947.036756124173,3303.4989979554075,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-3126.7946142137926,1349.8522232218775,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1492.2014933706025
t92,11481.192809970506,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-10697.977745737167,3283.19903033617,0,-51.16962356279089,0,0,-0.0,0.0,0.0,0.0,-0.0,-3055.325023031763,1515.3956074590153,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1458.5744174636593
t93,11508.515739380051,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-10725.300675146713,3110.776756331984,0,-0.0,0,0,-0.0,9.191199630688946,0.0,0.0,-0.0,-3063.7332102296486,1528.0649605123344,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1461.7269558299352
t94,11282.576130801122,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-10499.361066567784,3123.399054929064,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-2999.620782845769,1498.6412690937593,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1432.30326441136
t95,10260.068041743925,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-9476.852977510587,2883.0896380611157,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-2706.385254319501,1358.8787348555268,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1292.5407301731275
t96,9212.338787077919,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-8429.12372284458,2584.5989925361687,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-2407.894608794554,1215.9636622510184,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1149.625657568619
t97,8474.619693020208,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-7691.40462878687,2373.343289189287,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-2196.6389054476726,1323.7697093613133,0,-208.68727483112437,0,0,-0.0,0.0,0.0,0.0,-0.0,-1048.7444298477897
t98,8012.231656858679,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-7229.016592625341,2241.965364222321,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-2065.2609804807066,1260.718942035795,0,-208.68727483112437,0,0,-0.0,0.0,0.0,0.0,-0.0,-985.6936625222712
t99,7768.4270559735105,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-6985.211991740172,2171.5467964400277,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1994.8424126984128,1039.0287576556173,0,-20.62416635788972,0,0,-0.0,0.0,0.0,0.0,-0.0,-952.0665866153281
t100,7680.152976342673,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-6896.937912109335,2146.32223484637,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1969.6178511047553,1214.481712663748,0,-208.68727483112437,0,0,-0.0,0.0,0.0,0.0,-0.0,-939.4564331502244
t101,7794.699103482688,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-7011.48403924935,2179.9549836379133,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-2003.2505998962986,1230.2444044951276,0,-208.68727483112437,0,0,-0.0,0.0,0.0,0.0,-0.0,-955.219124981604
t102,8196.135989422923,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-7412.920925189585,2293.465510809372,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-2116.761127067757,1285.9392489660022,0,-208.68727483112437,0,0,-0.0,0.0,0.0,0.0,-0.0,-1010.9139694524786
t103,9312.172567612792,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-8528.957503379455,2612.9766243290337,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-2436.2722405874188,1228.573815716122,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1162.2358110337227
t104,10391.428279289814,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-9608.213215056476,2920.9264804516024,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-2744.2220967099875,1296.826642420144,0,-0.0,0,0,-0.0,3.931215342746073,0.0,0.0,-0.0,-1310.405114248691
t105,11047.17858511889,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-10263.963520885552,3109.0596690042976,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-2932.3552852626826,1256.8685897620699,0,-0.0,0,0,-0.0,4.199181103879527,0.0,0.0,-0.0,-1399.7270346265088
t106,11476.989282369037,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-10693.774218135699,3230.978383373642,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-3054.273999632027,1290.4092577567665,0,-0.0,0,0,-0.0,25.815889558167676,0.0,0.0,-0.0,-1458.5744174636593
t107,11800.660907682108,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-11017.44584344877,3323.4684425503856,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-3146.764058808771,1443.7817541820455,0,-0.0,0,0,-0.0,4.504977325408291,0.0,0.0,-0.0,-1501.6591084694303
t108,11955.140547036071,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-11171.925482802733,3488.081063347877,0,-120.4696380085906,0,0,-0.0,0.0,0.0,0.0,-0.0,-3190.907041597672,1537.542531004177,0,-0.0,0,0,-0.0,4.568028092733809,0.0,0.0,-0.0,-1522.6760309112697
t109,12001.379350652225,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-11218.164286418887,3501.744367544441,0,-120.4696380085906,0,0,-0.0,0.0,0.0,0.0,-0.0,-3204.5703457942363,1462.0366804173257,0,-0.0,0,0,-0.0,4.5869433229314645,0.0,0.0,-0.0,-1528.9811076438216
t110,12092.806075984163,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-11309.591011750825,3435.542336847364,0,-27.992022318119663,0,0,-0.0,0.0,0.0,0.0,-0.0,-3230.8459307876296,1626.0626929032844,0,-22.758200895286734,0,0,-0.0,4.624773783326776,0.0,0.0,-0.0,-1541.5912611089252
t111,12092.806075984163,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-11309.591011750825,3407.550314529246,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-3230.8459307876296,1654.9563185948984,0,-51.65182658690077,0,0,-0.0,4.624773783326776,0.0,0.0,-0.0,-1541.5912611089252
t112,12065.48314657462,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-11282.268082341281,3278.6724893227674,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-3222.4377435897436,1720.053999302166,0,-119.89258804534524,0,0,-0.0,4.615316168227948,0.0,0.0,-0.0,-1538.4387227426494
t113,12039.21109906544,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-11255.996034832102,3391.7849635332086,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-3215.0805797915937,1571.9513515619828,0,-0.0,0,0,-0.0,4.602706014762845,0.0,0.0,-0.0,-1534.2353382542815
t114,11875.273522608171,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-11092.058458374833,3345.539933944836,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-3168.835550203222,1478.4836151843735,0,-0.0,0,0,-0.0,4.53650270907105,0.0,0.0,-0.0,-1512.16756969035
t115,11531.635141188128,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-10748.42007695479,3246.7437343696784,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-3070.039350628063,1431.0016382541212,0,-0.0,0,0,-0.0,4.3946384825886335,0.0,0.0,-0.0,-1464.8794941962112
t116,11204.810870173957,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-10421.595805940618,3154.2536751929338,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-2977.549291451319,1418.0462697569237,0,-0.0,0,0,-0.0,4.262231871205045,0.0,0.0,-0.0,-1420.7439570683482
t117,11148.063247554133,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-10364.848183320795,3137.4373007971617,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-2960.732917055547,1479.726038896104,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1413.3880342137045
t118,10955.751859786951,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-10172.536795553613,3082.7840840109043,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-2906.0797002692893,1453.4548858438045,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1387.1168811614052
t119,10088.774291984088,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-9305.55922775075,2834.7425616732726,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-2658.0381779316576,1334.7092740474113,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1268.371269365012
t120,9130.369998849283,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-8347.154934615945,2561.476477741983,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-2384.7720940003683,1204.4043549080068,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1138.0663502256075
t121,8382.142085787902,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-7598.927021554564,2347.067704195894,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-2170.3633204542793,1201.6062390989678,0,-100.1848041559744,0,0,-0.0,0.0,0.0,0.0,-0.0,-1035.083430260594
t122,7930.262868630045,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-7147.047804396707,2218.842849428135,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-2042.1384656865205,1249.1596346927831,0,-208.68727483112437,0,0,-0.0,0.0,0.0,0.0,-0.0,-974.1343551792595
t123,7678.051212541939,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-6894.836148308601,2145.2712114466344,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1968.5668277050195,1214.481712663748,0,-208.68727483112437,0,0,-0.0,0.0,0.0,0.0,-0.0,-939.4564331502244
t124,7537.233037892746,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-6754.017973659408,2105.332322256677,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1928.627938515062,1195.5664824660926,0,-208.68727483112437,0,0,-0.0,0.0,0.0,0.0,-0.0,-920.5412029525688
t125,7503.604817080999,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-6720.389752847661,2095.873111659055,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1919.1687279174403,1191.3630979777186,0,-208.68727483112437,0,0,-0.0,0.0,0.0,0.0,-0.0,-916.337818464201
t126,7512.011872283936,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-6728.796808050598,2097.9751584585265,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1921.2707747169118,1107.000020866447,0,-123.27335159775447,0,0,-0.0,0.0,0.0,0.0,-0.0,-917.388664586293
t127,7976.501672246198,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-7193.28660801286,2231.4551302249643,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-2054.7507464833493,1046.7774365942107,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-980.4394319118113
t128,8783.578971728139,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-8000.3639074948,2461.6292547670882,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-2284.9248710254737,1157.116279413868,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1090.7782747314686
t129,9647.403893829902,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-8864.188829596564,2708.6197537049848,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-2531.9153699633703,1228.0467734487697,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1208.4730404057696
t130,10234.846876135114,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-9451.631811901776,2876.783497662701,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-2700.0791139210864,1201.8549406435686,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1288.3373456847596
t131,10550.111446245248,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-9766.89638201191,2944.873294050663,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-2790.4671262983593,1245.5597452857676,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1331.4220366905306
t132,10688.321350117072,0,-23.663776731809776,0,0,-0.0,0.0,0.0,-0.0,-0.0,-9881.442509151924,2998.702212032046,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-2821.9978282904312,1275.802477495231,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1347.18472852191
t133,10670.46113214748,0,-7.90532256295562,0,0,-0.0,0.0,0.0,-0.0,-0.0,-9879.34074535119,2997.4438594492517,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-2821.9978282904312,1330.305322029989,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1347.18472852191
t134,10596.894624785135,0,-23.663776731809776,0,0,-0.0,0.0,0.0,-0.0,-0.0,-9790.015783819987,3009.040723933572,0,-35.56307349518352,0,0,-0.0,0.0,0.0,0.0,-0.0,-2796.7732666967736,1292.549521395076,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1334.5745750568065
t135,10469.227612187973,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-9709.097877491718,2950.355135644202,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-2773.6507519025877,1337.0514580027364,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1323.0152677137949
t136,10447.631526985904,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-9688.080239484376,2830.3511655091606,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-2767.3446115041734,1342.183462210182,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1320.9135754696108
t137,10501.77087882836,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-9718.555814595022,2952.4571824436734,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-2775.752798702059,1303.9569600837567,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1325.1169599579787
t138,10524.890280636437,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-9741.675216403099,2959.8143462418243,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-2783.1099625002093,1394.6075030066538,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1328.2694983242545
t139,10406.140625894954,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-9622.925561661616,2925.130574050545,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-2748.42619030893,1377.7939650531825,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1311.455960370783
t140,10225.38893903181,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-9442.173874798473,2873.6304274634945,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-2696.9260437218795,1353.6245042450669,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1287.2864995626676
t141,10294.74714445604,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-9511.532080222702,2893.599872058473,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-2716.8954883168585,1335.166657769973,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1296.7441146614954
t142,10190.709836319696,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-9407.494772086358,2864.171216865873,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-2687.466833124258,1347.6236002019964,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1283.0831150742997
t143,9522.348947686216,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-8739.133883452878,2672.88495811397,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-2496.1805743723553,1301.8918770064902,0,-43.89436987179289,0,0,-0.0,0.0,0.0,0.0,-0.0,-1191.659502452298
t144,8706.864593001339,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-7923.649528768001,2440.6087867723736,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-2263.904403030759,1272.0519251944052,0,-125.44410700145698,0,0,-0.0,0.0,0.0,0.0,-0.0,-1080.2698135105488
t145,8067.928397578136,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-7284.713333344798,2257.730715218357,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-2081.0263314767426,1214.4003946485734,0,-155.01280458925936,0,0,-0.0,0.0,0.0,0.0,-0.0,-993.049585376915
t146,7666.491511637901,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-6883.2764474045625,2143.1691646471627,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1966.4647809055482,1177.502264895229,0,-172.75867318469722,0,0,-0.0,0.0,0.0,0.0,-0.0,-938.4055870281325
t147,7426.8904383542,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-6643.675374120862,2074.8526436643406,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1898.1482599227259,1048.4657537423307,0,-76.29839181664988,0,0,-0.0,0.0,0.0,0.0,-0.0,-905.8293572432813
t148,7286.072263705008,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-6502.857199471669,2034.9137544743828,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1858.209370732768,997.8006709745964,0,-45.59938536866342,0,0,-0.0,0.0,0.0,0.0,-0.0,-885.8632809235337
t149,7257.698452395096,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-6474.483388161758,2025.4545438767614,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1848.7501601351466,907.7302955109843,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-882.7107425572578
t150,7206.2052392771075,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-6422.990175043769,2010.740216280461,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1834.0358325388463,941.6928243850132,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-875.354819702614
t151,7452.111603963011,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-6668.896539729672,2082.2098074624905,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1905.5054237208758,823.1660978696273,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-908.9818956095571
t152,8052.16516907263,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-7268.950104839292,2253.5266216194145,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-2076.8222378777996,1057.2858978151305,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-990.9478931327311
t153,8816.156310639519,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-8032.94124640618,2471.08846536471,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-2294.3840816230954,1161.3196639022358,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1094.9816592198365
t154,9399.395765343263,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-8616.180701109924,2638.2011859226914,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-2461.4968021810764,1119.4153539403083,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1174.8459644988266
t155,9764.600934031034,0,-7.90532256295562,0,0,-0.0,0.0,0.0,-0.0,-0.0,-8973.480547234742,2786.5934608023695,0,-46.443005105313006,0,0,-0.0,0.0,0.0,0.0,-0.0,-2563.4460719554418,1289.5228907974565,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1223.1848861150572
t156,9985.281358771477,0,-23.663776731809776,0,0,-0.0,0.0,0.0,-0.0,-0.0,-9178.40251780633,2797.9567426825215,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-2621.252358940907,1109.2084612628155,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1251.5577314115405
t157,10047.78989786977,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-9264.574833636432,2943.6509422847703,0,-120.4696380085906,0,0,-0.0,0.0,0.0,0.0,-0.0,-2646.4769205345647,1329.4550434369514,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1263.1170387545521
t158,10000.50021235325,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-9217.285148119912,2911.5366553010117,0,-102.01865522139724,0,0,-0.0,0.0,0.0,0.0,-0.0,-2632.813616338,1323.1499667043997,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1256.8119620220004
t159,9995.790177775147,0,-23.663776731809776,0,0,-0.0,0.0,0.0,-0.0,-0.0,-9188.911336809999,2801.1098128817293,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-2624.4054291401144,1318.9465822160319,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1252.6085775336326
t160,10000.50021235325,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-9217.285148119912,2689.0483620710243,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-2632.813616338,1323.1499667043997,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1256.8119620220004
t161,10108.741048091062,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-9325.525983857724,2733.894889169279,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-2664.344318330072,1337.8618124136874,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1271.5238077312881
