,Generation,H2-G2P,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,H2-G2P,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,H2-G2P,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t17,12374.442425282548,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-11591.22736104921,3487.42809290916,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-3310.723709167545,1646.8105723087276,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1580.4725676263283
t18,12273.557762847306,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-11490.342698613968,3459.0504611162946,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-3282.34607737468,1652.7228929573296,0,-20.62416635788972,0,0,-0.0,0.0,0.0,0.0,-0.0,-1565.7607219170407
t19,11957.242310836806,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-11174.027246603468,3368.6624487390227,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-3191.9580649974077,1589.014035593669,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1522.6760309112697
t20,11676.69091570978,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-10916.561181013527,3295.0908107575215,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-3118.3864270159065,1763.0233883957583,0,-208.68727483112437,0,0,-0.0,0.0,0.0,0.0,-0.0,-1487.9981088822346
t21,11603.124408347436,0,-0.0,0,0,-0.0,125.53215518597426,0.0,-0.0,-0.0,-10969.105276031882,3309.805138353822,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-3133.100754612207,1770.379311250402,0,-208.68727483112437,0,0,-0.0,0.0,0.0,0.0,-0.0,-1495.3540317368784
t22,11342.47639912205,0,-1.8189894035458565e-12,0,0,-0.0,0.0,0.0,-0.0,-0.0,-10559.26133488871,3193.1415409831557,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-3016.437157241541,1505.997191948403,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1439.6591872660038
t23,10241.152167537317,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-9457.937103303979,2877.8345210624375,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-2701.1301373208225,1355.726196489251,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1289.3881918068516
t24,9180.812330066905,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-8397.597265833567,2575.1397819385475,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-2398.4353981969325,1211.7602777626505,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-1145.4222730802512
t25,8494.586449127182,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-7711.371384893844,2379.6494295877014,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-2202.945045846087,1325.871401605497,0,-208.68727483112437,0,0,-0.0,0.0,0.0,0.0,-0.0,-1050.8461220919735
t26,8074.233688980339,0,-0.0,0,0,-0.0,0.0,0.0,-0.0,-0.0,-7291.018624747001,2259.832762017829,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-2083.128378276214,1060.4384361814064,0,-0.0,0,0,-0.0,0.0,0.0,0.0,-0.0,-994.100431499007
