Resource,Small_Electrolyzer_1,Small_Electrolyzer_2,Small_Electrolyzer_3,Flex_Demand_1,Large_SMR_1,Large_SMR_2,Large_SMR_3,Large_SMR_wCCS_90pct_1,Large_SMR_wCCS_90pct_2,Large_SMR_wCCS_90pct_3,Above_ground_storage_1,Above_ground_storage_2,Above_ground_storage_3
Zone,1,2,3,2,1,2,3,1,2,3,1,2,3
AnnualSum,0.0,0.0,20935.293,38.2,0.0,2645.8762,0.0,0.0,0.0,0.0,377.07025,1435.4847,3592.579
t1,0.0,0.0,106.22693432676218,0.08712999999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t2,0.0,0.0,147.12492596278767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t3,0.0,0.0,123.33075120518671,0.008712999999999985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t4,0.0,0.0,160.50789671411422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t5,0.0,0.0,180.67349211410544,0.0009681111111111094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t6,0.0,0.0,185.18515240889172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t7,0.0,0.0,155.9423062163081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t8,0.0,0.0,99.33752866929052,0.0,0.0,13.869166666666658,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t9,0.0,0.0,99.93745455630399,0.0,0.0,19.719166666666652,0.0,0.0,0.0,0.0,0.8685271170252165,0.0,0.0
t10,0.0,0.0,91.4223722599076,0.0,0.0,25.429166666666646,0.0,0.0,0.0,0.0,2.0585271170252213,1.3100000000000023,0.0
t11,0.0,0.0,149.36811352187078,0.0,0.0,25.429166666666646,0.0,0.0,0.0,0.0,6.038527117025218,24.700000000000017,0.0
t12,0.0,0.0,170.7222964581515,0.0,0.0,25.429166666666646,0.0,0.0,0.0,0.0,7.688527117025217,34.45000000000002,0.0
t13,0.0,0.0,192.83226979491516,0.0,0.0,25.429166666666646,0.0,0.0,0.0,0.0,8.488527117025217,39.129999999999995,0.0
t14,0.0,0.0,178.43459035936627,0.0,0.0,25.429166666666646,0.0,0.0,0.0,0.0,7.958527117025216,36.01000000000002,0.0
t15,0.0,0.0,195.6922571630692,0.0,0.0,25.429166666666646,0.0,0.0,0.0,0.0,7.688527117025217,34.45000000000002,0.0
t16,0.0,0.0,211.1908887594737,0.0,0.0,25.429166666666646,0.0,0.0,0.0,0.0,6.568527117025219,27.82000000000002,0.0
t17,0.0,0.0,211.1908887594737,0.0,0.0,25.429166666666646,0.0,0.0,0.0,0.0,5.2385271170252174,16.02000000000001,0.0
t18,0.0,0.0,211.1908887594737,0.0,0.0,25.429166666666646,0.0,0.0,0.0,0.0,2.3885271170252196,0.0,0.0
t19,0.0,0.0,211.1908887594737,0.0,0.0,7.239166666666648,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t20,0.0,0.0,211.1908887594737,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
