Resource,MA_natural_gas_combined_cycle,MA_solar_pv,CT_natural_gas_combined_cycle,CT_onshore_wind,CT_solar_pv,ME_natural_gas_combined_cycle,ME_onshore_wind,MA_battery,CT_battery,ME_battery,Total
Zone,1,1,2,2,2,3,3,1,2,3,0
AnnualSum,1.4310256e6,283063.66,330963.16,55176.562,106042.5,3687.7734,1.1636735e6,140.27882,918.10236,12507.718,3.3871988e6
t1,8357.625244450706,0.0,2108.1787128865776,316.0175078494777,0.0,20.464124654240116,5735.027718836684,0.0,0.0,57.63183217655023,16594.945140854237
t2,7960.391886111939,0.0,2115.848423345361,194.83727021923542,0.0,20.464124654240116,7629.810415778557,0.0,0.0,0.0,17921.35212010933
t3,7762.826088842922,0.0,2006.8868360733286,247.0435939055386,0.0,20.464124654240116,6482.853049119013,0.0,0.0,0.0,16520.07369259504
t4,7702.925820521998,0.0,1994.8603713988903,242.25368418420493,0.0,20.464124654240116,8211.79211906187,0.0,0.0,0.0,18172.296119821203
t5,7856.354577975595,0.0,2026.0325804555446,255.22445791645154,0.0,20.464124654240116,9161.792025303299,0.0,0.0,0.0,19319.867766305128
t6,7665.986166059196,696.8934878933464,1829.0813393730784,272.7122386741626,214.24985582059097,20.464124654240116,9420.295903216325,0.0,110.25483366769458,0.0,20229.937949358635
t7,8634.276025199106,927.3049079044877,2266.369574846484,77.96216162744314,384.84015937544746,20.464124654240116,7470.716900817842,0.0,0.0,724.1172263934018,20506.05108081845
t8,8674.77118274319,1965.3689896388923,2166.29062446113,135.67097738825333,736.1405302553638,20.464124654240116,5794.737594688325,0.0,0.0,0.0,19493.444023829394
t9,8128.327503064973,3094.7891782549073,1920.629271732089,221.53763387499157,1061.9969236559118,20.464124654240116,5140.303533764067,0.0,0.0,761.2950311188549,20349.343200120034
t10,7653.23013425946,3977.628724402859,1682.0790862255742,247.42539005898337,1391.322950349101,20.464124654240116,4876.349011942515,0.0,0.0,697.7656940734441,20546.265115966176
t11,7511.148129616215,4436.026181056603,1364.0700058305738,440.705218687505,1606.4402144928522,20.464124654240116,7464.513568813309,0.0,0.0,761.2950311188549,23604.66247427015
t12,7668.61449031073,4474.02385383037,1059.1977518829776,622.64504128732,1661.9543471751106,20.464124654240116,9213.017985117096,0.0,123.12253885151615,0.0,24843.04013310936
t13,7738.615232497254,4511.213065481292,1042.23919199837,885.0938809419624,1654.1476722666682,20.464124654240116,10247.418558137964,0.0,0.0,0.0,26099.191725977747
t14,7889.543285758671,4464.3223203562175,1042.23919199837,991.9132688639678,1616.8491143707756,20.464124654240116,9588.444055968244,0.0,0.0,0.0,25613.775361970485
t15,8053.094853351107,4301.821634664149,1042.23919199837,989.5443280855824,1565.6720233043186,20.464124654240116,10399.0189640284,0.0,0.0,0.0,26371.855120086166
t16,8831.722937848865,3530.54972346896,1241.9649020960876,896.6932307358795,1391.322950349101,20.464124654240116,11199.736389175627,0.0,0.0,0.0,27112.45425832876
t17,9828.230707156987,2546.652536965245,1616.0578581385191,876.4754435571318,1040.6008516846248,20.464124654240116,11244.507187425686,0.0,0.0,0.0,27172.988709582434
t18,10923.060045411139,1350.938536275849,2093.072009902734,813.1727687040786,598.5117429805982,20.464124654240116,11991.090372835253,0.0,0.0,0.0,27790.309600763892
t19,11294.014110217244,666.1719652251943,2670.701211524564,449.61587613423654,294.0514215513374,20.464124654240116,11319.753327975937,0.0,0.0,0.0,26714.772037282753
t20,11603.554255296875,73.56996217899597,2630.208338921061,624.292300317085,114.49789865715795,20.464124654240116,11913.327759800446,23.092846610677046,0.0,0.0,27003.007486436538
t21,11603.554255296875,0.0,2891.723436652435,504.6694288391689,0.0,20.464124654240116,11920.68368265509,23.666760695416087,0.0,0.0,26964.761688793224
