Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_Tonne,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_H2_tonne_per_hr_z1,Load_H2_tonne_per_hr_z2,Load_H2_tonne_per_hr_z3
,,,,,,,146,3.71,21.82,8.22
,,,,,,,147,1.36,7.99,3.01
,,,,,,,148,2.12,12.48,4.7
,,,,,,,149,3.96,23.31,8.78
,,,,,,,150,6.5,38.25,14.4
,,,,,,,151,9.93,58.42,22
,,,,,,,152,14.06,82.7,31.15
,,,,,,,153,18.37,108.1,40.71
,,,,,,,154,23.64,139.11,52.39
,,,,,,,155,27.01,158.91,59.84
,,,,,,,156,27.7,163.02,61.39
,,,,,,,157,27.58,162.27,61.11
,,,,,,,158,26.75,157.41,59.28
,,,,,,,159,26.18,154.05,58.01
,,,,,,,160,25.04,147.33,55.48
,,,,,,,161,23.83,140.23,52.81
,,,,,,,162,21.36,125.66,47.32
,,,,,,,163,18.37,108.1,40.71
,,,,,,,164,14.69,86.44,32.55
,,,,,,,165,11.71,68.88,25.94
,,,,,,,166,9.1,53.57,20.17
,,,,,,,167,6.56,38.62,14.55
,,,,,,,168,4.47,26.3,9.9
