Zone,Emissions_tonne_per_tonne,Cost_per_tonne_per_hr,Max_tonne_per_hr
1,0.038177198,135.1650616,313.8741103
2,0.042558341,155.8086958,1516.882674
3,0.035795645,153.6328112,318.6202808
