Emission_tonne_per_hr_z1,Emission_tonne_per_hr_z2,Emission_tonne_per_hr_z3
0.042631201,1.426347547,2.122120341
0.071868043,2.562902812,2.795093525
0.658946025,2.563600827,4.173452119
0.738838192,2.581205044,4.180579094
0.791799386,2.604197982,4.291378507
0.814230114,2.740381262,4.441802125
0.841516624,2.740919041,4.506100806
0.845720955,3.019983407,4.598954983
0.851741535,,5.386410414
0.852979077,,5.701692306
0.86099759,,6.90367022
0.869209939,,6.96563949
1.122506891,,7.12762502
1.123551086,,7.863762712
1.95680301,,8.759878971
2.277446302,,8.763376645
2.293715822,,9.224227984
2.295359211,,9.840165722
2.300845584,,10.0685864
2.486154863,,10.1904421
2.486869505,,11.25122367
4.53806428,,
4.549473637,,
4.551317978,,
4.551874017,,
4.554238922,,
4.587559605,,
4.623097661,,
4.625302775,,
4.628542832,,
4.629549823,,
4.644396857,,
4.768235566,,
4.768272103,,
4.776059518,,
4.779440058,,
4.779550066,,
4.780069863,,
4.792040383,,
4.792766603,,
4.80405653,,
4.811695251,,
5.343388473,,
