Quantity_tonne_per_hr_z1,Quantity_tonne_per_hr_z2,Quantity_tonne_per_hr_z3
8.775148288,0.20235605,0.080155365
14.86115662,0.404505023,0.171391667
25.34027957,26.96906963,9.933258676
27.08060377,35.18924041,10.13561473
31.40847557,39.62087934,10.19526518
36.08669053,61.24884703,15.05988801
40.38007694,81.6455911,15.49483961
42.85577991,98.16463813,17.22957158
45.79957363,123.8317526,19.75436199
47.49060331,134.9985132,31.50209372
47.70124418,160.9122039,48.39768459
48.37769749,165.5981858,49.21798253
56.5467097,182.6691037,57.96454829
56.95856747,182.754437,63.68084772
59.09417979,214.2810743,81.06648402
60.10388881,225.5601975,82.99528721
62.9678379,237.6131202,88.44554132
63.04706119,244.2739895,94.96256598
63.58070537,246.1550516,95.59096747
67.28462877,247.183505,95.69525228
69.0070371,260.6795349,96.00582842
71.37938733,260.6919621,98.15759612
73.17397683,275.8770541,98.7667355
75.57988048,304.6030175,102.8466849
76.73167374,367.1612758,106.499864
77.76799772,367.5038519,110.3631662
81.03251655,367.9877873,114.5403584
84.75280251,445.1135064,114.7192064
84.91042066,457.8702223,117.6801911
141.1545283,466.5755711,119.3030783
145.8654683,481.4598216,120.4248392
148.6350743,507.6958942,120.5286062
153.5605904,518.2982533,120.8236483
159.0129156,518.40492,120.9433636
159.0192284,526.2001845,121.2692666
161.5064266,542.5334451,121.487778
177.1320623,554.2059924,122.7220049
177.8100689,587.6665073,135.0588889
183.7380449,595.0382118,135.1638986
203.4150476,602.1814631,136.3207663
203.6151253,607.0352122,146.016355
212.1912315,607.0831605,148.561961
213.8635168,608.1155492,152.989561
219.4499522,624.2956447,152.9921523
236.8725594,633.4815116,155.7762567
237.5623719,659.423267,156.7428848
238.5793301,659.4305159,161.7151064
238.6783334,662.224562,175.586541
255.4497559,672.2769145,179.763526
268.2827954,673.1328371,183.9953978
268.8434687,680.3224833,187.1942596
280.5754594,703.952471,193.7418344
287.2967041,705.6737402,196.8854987
305.2465348,709.303929,198.9386774
312.8737216,725.2778368,204.7052034
313.8741103,748.818763,206.7032881
,750.0950353,206.9838318
,764.2032078,210.241205
,780.1334132,212.1651409
,783.8025405,215.4507858
,785.712703,215.4548269
,785.9329749,217.5048987
,834.9024136,218.3909573
,836.6388025,218.3980007
,840.0033602,219.7421047
,843.9697045,219.7702729
,853.1618885,223.4162029
,858.064,223.4214882
,863.3331279,229.1632635
,888.1487728,231.054578
,888.2711806,232.9582161
,946.7646092,241.7763418
,946.8616449,242.405054
,946.8810106,242.4743356
,962.7432808,242.714491
,964.8550743,242.7696884
,973.1449409,242.8161868
,976.3633755,242.8332741
,979.2797258,242.9320702
,1023.920257,242.9536106
,1024.764477,244.2541159
,1027.289164,245.2490159
,1032.07415,245.6942199
,1032.295871,245.711825
,1039.262242,257.9996216
,1049.791695,258.0197122
,1050.549547,258.2531362
,1067.760581,258.2570745
,1068.903779,258.4785892
,1083.563926,258.5278837
,1087.762451,263.402034
,1088.1915,263.4402476
,1091.947928,263.4701764
,1092.317223,263.6563771
,1103.87399,263.6702541
,1107.415014,263.6759505
,1109.354173,265.5573232
,1124.068999,266.0565855
,1128.6828,266.0675672
,1129.209195,266.0924216
,1129.31027,266.1762015
,1129.827241,266.863425
,1130.91493,270.7896916
,1130.937817,270.8647725
,1130.946618,270.9107531
,1131.626386,271.0253939
,1136.675759,273.5558801
,1142.03633,274.0915955
,1142.374039,274.1003969
,1147.167724,275.610611
,1148.184164,279.0738612
,1149.285109,279.098612
,1163.298939,293.7032507
,1163.355275,293.8710177
,1163.468673,293.9085064
,1164.443897,295.0791475
,1165.760868,295.8317174
,1188.771257,302.689454
,1188.77757,310.0926408
,1200.456745,311.2546864
,1209.37843,314.9333412
,1217.232931,315.3628041
,1223.693205,316.1119564
,1223.708532,316.2020535
,1239.901365,316.2165519
,1252.625977,318.2207467
,1264.31613,318.4181318
,1269.256144,318.6202808
,1269.27406,
,1290.979697,
,1290.983636,
,1291.70172,
,1291.708136,
,1293.935502,
,1293.996395,
,1314.909593,
,1317.194642,
,1326.675447,
,1326.774243,
,1337.685936,
,1338.794648,
,1340.096396,
,1340.115866,
,1340.772332,
,1359.594655,
,1359.734253,
,1365.61977,
,1365.624427,
,1370.267639,
,1370.522086,
,1381.477895,
,1381.920096,
,1382.097701,
,1384.636058,
,1409.809709,
,1418.269932,
,1426.518789,
,1427.684666,
,1427.733961,
,1427.863721,
,1438.378365,
,1438.457381,
,1439.685291,
,1439.732928,
,1439.799414,
,1451.303262,
,1460.042786,
,1461.134928,
,1462.9901,
,1491.694109,
,1491.698356,
,1491.775508,
,1492.481579,
,1492.785942,
,1492.831405,
,1498.122798,
,1500.575511,
,1500.589388,
,1500.786151,
,1502.094424,
,1506.976652,
,1508.248471,
,1516.882674,
