Emission_tonne_per_hr_z1,Emission_tonne_per_hr_z2,Emission_tonne_per_hr_z3
0.146440647,0.003681029,0.001108996
0.245737394,0.008171434,0.002480718
0.437969378,0.326680564,0.198532587
0.46752348,0.533838209,0.202740947
0.554819869,0.656882957,0.204180485
0.663969109,1.180918061,0.318645056
0.715446812,1.584306348,0.330033422
0.766934854,2.029500188,0.376581625
0.812428794,2.734356429,0.445428589
0.84863206,2.974468905,0.727589337
0.853422789,3.604202857,1.207160524
0.868826975,3.710870459,1.230238257
1.000903126,4.030341586,1.477538759
1.008179063,4.033721218,1.592574171
1.051511069,4.923981119,1.96254485
1.072044234,5.268089947,2.020467175
1.134259655,5.644634133,2.213846619
1.136139041,5.77929676,2.432195314
1.147492372,5.857637667,2.446753278
1.243936587,5.893505541,2.449855115
1.287324235,6.229742778,2.459167783
1.327664284,6.230046885,2.542926412
1.373730798,6.660705575,2.553961709
1.436549676,7.759078236,2.689934203
1.458667388,9.845078674,2.80638428
1.479508968,9.857305481,2.921116406
1.578212813,9.872782353,3.059360239
1.6661541,12.47371241,3.064261631
1.670442313,12.93654126,3.170043608
4.369045619,13.17718181,3.209839567
4.576492686,13.48588041,3.249190155
4.648653907,14.10560166,3.252912043
4.838692072,14.49069632,3.261822164
4.966315125,14.49404817,3.266000921
4.966459223,14.9139778,3.278172246
5.067333675,15.49851172,3.286044304
5.61879055,15.87772346,3.338355447
5.634621077,16.80305882,3.819097848
5.805608732,17.06523954,3.823656056
6.641602748,17.26685759,3.854772028
6.645834246,17.51662361,4.210718524
6.944504926,17.51787665,4.286204241
6.999888283,17.56637466,4.457165323
7.171204426,18.36945636,4.457196393
8.09924724,18.64365231,4.562525771
8.131700109,19.77951687,4.59476559
8.165509942,19.77979978,4.83011959
8.168207588,19.90009824,5.292252007
8.836016683,20.12642973,5.386625283
9.610454011,20.15508875,5.528841782
9.627111334,20.33335575,5.587479654
10.25282521,21.08873968,5.807648765
10.53313819,21.16563575,5.917473534
11.63537951,21.36250437,5.951998126
11.91542656,22.19897498,6.207602567
11.98283415,22.97141719,6.24537829
,23.00491645,6.251848835
,23.71495368,6.374259802
,24.27134476,6.455139805
,24.45928151,6.580853288
,24.5201659,6.581013184
,24.52659259,6.635831094
,26.30548723,6.651322423
,26.3727352,6.651640566
,26.52709668,6.705093911
,26.68590883,6.705577019
,27.03568856,6.863750313
,27.20507259,6.863980646
,27.49508736,7.067725374
,28.45666247,7.135992241
,28.46197561,7.191772775
,31.72993146,7.545159207
,31.73301674,7.565568003
,31.7338385,7.568143163
,32.54230771,7.57775329
,32.66720598,7.579165164
,33.01424341,7.581512162
,33.13559234,7.582230654
,33.29013327,7.586472889
,36.00222362,7.587361919
,36.04118313,7.637855844
,36.15167518,7.67701535
,36.4227937,7.692009056
,36.4316331,7.692802847
,36.81023731,8.113182579
,37.28100411,8.113926787
,37.32572249,8.125052902
,38.2346731,8.125215257
,38.29936522,8.13682697
,39.03866957,8.138475701
,39.26849061,8.305068498
,39.28719174,8.306894828
,39.43512402,8.308278977
,39.45311611,8.318852265
,40.13213329,8.319477629
,40.20963374,8.319709299
,40.29926247,8.385130343
,41.01152681,8.402425722
,41.21035879,8.402940981
,41.23584128,8.40395794
,41.24112575,8.408078888
,41.26013615,8.44115251
,41.32274412,8.637939889
,41.32361877,8.6428177
,41.32401188,8.644916121
,41.3596093,8.650973753
,41.67267512,8.746657964
,41.89696414,8.773149044
,41.91298529,8.773619739
,42.22955592,8.861433099
,42.27581022,9.027011844
,42.34027485,9.028071693
,43.01872464,9.900879844
,43.02072426,9.908657132
,43.02488979,9.91051249
,43.07927365,9.969702083
,43.14297213,10.01084259
,44.31668606,10.35534881
,44.31711239,10.80665359
,44.81036474,10.86524889
,45.31342554,11.10466898
,45.68370867,11.12729188
,46.13240048,11.17943516
,46.13328507,11.18666199
,46.82471581,11.1879359
,47.50785446,11.36984875
,48.17637664,11.38722551
,48.46708214,11.40521839
,48.46808097,
,49.54529686,
,49.54542137,
,49.56790496,
,49.56817194,
,49.65404417,
,49.65702356,
,50.90262747,
,51.02056661,
,51.5767375,
,51.58033975,
,52.1536447,
,52.20269505,
,52.26704672,
,52.26775346,
,52.31188068,
,53.48042306,
,53.48592419,
,53.84445786,
,53.84473934,
,54.1431598,
,54.15922315,
,54.89015443,
,54.9231969,
,54.93520042,
,55.04243122,
,57.0058644,
,57.62132967,
,58.10156815,
,58.17701985,
,58.18095824,
,58.1905783,
,58.9392032,
,58.94503942,
,59.01045277,
,59.01327846,
,59.01698827,
,59.72380199,
,60.38851665,
,60.4507349,
,60.58960913,
,62.65248034,
,62.65277224,
,62.6591932,
,62.70237536,
,62.7186666,
,62.72130016,
,63.10058745,
,63.2820046,
,63.28310293,
,63.2964827,
,63.39295596,
,63.8079382,
,63.89690034,
,64.55601077,
