Biomass_cost_z1,Biomass_cost_z2,Biomass_cost_z3
708.0917471,21.6407387,7.402272101
1229.88785,43.35163445,16.39018005
2132.987027,2951.753729,1081.1712
2283.853024,3860.276166,1103.787956
2674.661687,4368.806967,1110.681228
3104.612943,6857.218254,1680.77635
3499.753417,9233.827445,1731.885572
3733.094035,11182.92765,1939.26234
4011.67977,14221.21921,2248.087294
4173.436525,15550.6657,3691.300114
4194.572112,18672.56007,5767.413091
4263.283297,19238.66298,5868.936909
5094.008957,21309.94531,6956.42109
5136.113217,21320.30363,7667.196537
5354.441865,25251.83873,9886.229578
5463.23906,26668.53904,10136.13064
5781.514469,28195.71223,10843.18051
5790.464455,29045.12453,11697.05178
5852.160398,29287.4608,11780.22649
6281.384891,29420.86412,11794.24739
6480.986301,31181.17426,11836.24077
6755.999991,31182.80068,12127.48281
6965.193243,33180.04911,12210.00462
7246.292423,36980.19229,12765.79844
7382.582265,45413.70139,13267.8106
7508.254674,45460.18096,13799.67158
7905.231995,45525.95323,14375.67021
8360.650786,56023.83978,14400.36358
8379.983929,57790.23557,14811.69716
15647.4843,58999.2458,15037.82302
16284.39345,61068.51307,15195.12295
16663.27215,64719.34698,15209.83407
17350.1332,66202.61518,15251.68593
18116.3405,66217.68684,15268.69569
18117.22861,67328.06205,15315.41629
18470.22041,69658.46565,15346.78763
20705.61145,71324.01718,15524.84716
20803.46516,76131.0263,17305.9126
21665.07088,77194.14999,17321.30003
24580.16424,78224.79799,17491.8254
24609.85841,78932.00565,18922.09213
25903.29877,78938.99857,19299.41336
26155.70741,79089.71121,19956.29544
27003.64132,81456.40339,19956.68012
29671.62866,82802.85495,20370.7161
29780.05712,86608.52162,20516.1492
29939.91642,86609.59226,21266.08678
29955.58396,87024.72849,23365.71938
32651.80065,88518.67807,24004.74358
34725.75438,88647.68183,24654.03964
34817.08104,89732.34538,25145.94448
36753.16285,93306.49383,26155.8019
37882.33435,93567.08388,26641.22229
40909.20306,94120.82032,26960.38221
42237.02458,96559.26986,27866.77885
42424.81344,100154.585,28182.20526
,100349.5373,28226.53103
,102504.6664,28742.47783
,104939.8601,29049.17199
,105505.4596,29574.39801
,105800.8741,29575.0521
,105835.03,29906.8878
,113478.6623,30051.25052
,113750.552,30052.39808
,114277.6512,30272.2692
,114899.6547,30276.88354
,116344.2843,30876.82364
,117115.3998,30877.70294
,117951.2656,31833.05313
,121894.6849,32148.07732
,121914.1541,32466.91699
,131228.6793,33949.71531
,131244.1339,34056.28186
,131247.2201,34068.03772
,133787.0073,34108.84007
,134125.2035,34118.31034
,135455.4892,34126.33717
,135972.2293,34129.29261
,136440.481,34146.40026
,143633.9027,34150.14342
,143770.0631,34376.14849
,144178.3958,34549.87777
,144954.6316,34627.65965
,144990.6162,34630.74269
,146122.7387,36784.02849
,147834.6653,36787.55631
,147958.2552,36828.78959
,150768.1249,36829.48851
,150955.8534,36868.80695
,153363.9818,36877.55734
,154054.029,37744.22623
,154124.6376,37751.02815
,154744.065,37756.36446
,154805.0823,37789.69676
,156716.5339,37792.183
,157302.5172,37793.20722
,157625.2684,38131.83419
,160086.0569,38222.09696
,160858.3249,38224.0854
,160947.2701,38228.5891
,160964.5143,38244.07314
,161052.8851,38372.69043
,161239.0509,39111.50263
,161242.9752,39125.63911
,161244.4861,39134.3599
,161361.257,39156.30753
,162229.0807,39641.44362
,163151.6822,39744.84861
,163210.0723,39746.55499
,164039.6429,40040.2236
,164216.0974,40716.32588
,164408.3313,40721.21954
,166866.0822,43617.34978
,166875.9634,43650.83368
,166895.9955,43658.3182
,167068.4361,43893.79293
,167302.4318,44046.2383
,171397.8577,45455.34099
,171398.9822,47017.01229
,173481.4737,47262.17029
,175084.2606,48064.68938
,176500.1003,48159.42172
,177668.3363,48327.44487
,177671.1089,48349.67948
,180617.1645,48353.27293
,182949.9593,48850.86738
,185103.4389,48899.94559
,186015.44,48950.52943
,186018.755,
,190038.0858,
,190038.819,
,190172.6049,
,190173.8069,
,190593.9837,
,190605.485,
,194565.551,
,194998.3027,
,196802.9559,
,196821.8398,
,198920.0191,
,199133.2223,
,199383.553,
,199387.3049,
,199513.9954,
,203159.33,
,203186.39,
,204329.2851,
,204330.1944,
,205242.0116,
,205291.9805,
,207444.1926,
,207531.0812,
,207566.3094,
,208075.5114,
,213158.1476,
,214872.2319,
,216566.426,
,216808.3465,
,216818.5978,
,216845.6057,
,219041.4903,
,219058.1374,
,219316.9321,
,219326.9904,
,219341.0337,
,221779.5393,
,223633.7761,
,223866.2543,
,224264.5774,
,230427.9915,
,230428.9081,
,230445.5736,
,230598.3912,
,230664.6089,
,230674.5564,
,231847.5279,
,232401.3406,
,232404.515,
,232451.0878,
,232763.351,
,233929.7888,
,234236.9711,
,236343.5111,
