Zone,Emissions_tonne_per_tonne,Cost_per_tonne_per_hr,Max_tonne_per_hr
1,0.041102468,120.7360835,130.0016465
2,0.091856576,203.655951,32.87716062
3,0.06282671,159.8080777,179.0834457
