Resource,natural_gas_combined_cycle,solar_pv,onshore_wind,battery,Total
Zone,1,1,1,1,0
AnnualSum,1.15591464e8,0.0,1.7861455e6,3959.2976,1.1738157e8
t1,10524.836435674537,0.0,258.5222623188546,0.0,10783.358697993392
t2,9941.28015250979,0.0,276.6906380235363,0.0,10217.970790533325
t3,9778.579728808198,0.0,158.7989217774725,0.0,9937.37865058567
t4,9679.176314864812,0.0,168.7988775344937,0.0,9847.975192399304
t5,9854.772526754718,0.0,203.31129901204912,0.0,10058.083825766767
t6,10622.453045664946,0.0,146.21290745796077,0.0,10768.665953122907
t7,12376.732416484294,0.0,97.53238193761266,0.0,12474.264798421907
t8,13976.77105777361,0.0,38.12324313241654,0.0,14014.894300906028
t9,14770.84328705112,0.0,73.21655100359298,0.0,14844.059838054714
t10,15251.982362722043,0.0,172.17807926939122,0.0,15424.160441991435
t11,15609.391611708816,0.0,265.60788660300534,0.0,15874.999498311821
t12,15858.601821062988,0.0,293.83709652291935,0.0,16152.438917585907
t13,15889.421093905776,0.0,415.39932290263914,0.0,16304.820416808416
t14,15963.304005025937,0.0,489.69428344022936,0.0,16452.998288466166
t15,15908.051972458245,0.0,547.0481297903002,0.0,16455.100102248543
t16,15960.930640578224,0.0,503.62762369102563,0.0,16464.55826426925
t17,15994.684503446875,0.0,487.73917797260077,0.0,16482.423681419477
t18,15956.455591040018,0.0,381.99384628646806,0.0,16338.449437326486
t19,15502.449914733816,0.0,386.21137316347205,0.0,15888.661287897288
t20,15214.529787961534,0.0,308.7379018017366,0.0,15523.26768976327
t21,15344.10277342279,0.0,263.5039722816141,0.0,15607.606745704405
t22,14626.27132429352,0.0,405.4930036917807,0.0,15031.764327985302
t23,13021.245670768822,0.0,449.1964824526175,0.0,13470.442153221438
t24,11513.473862383964,0.0,453.6678088714241,0.0,11967.141671255387
t25,10518.224240129666,0.0,469.90026254381223,0.0,10988.124502673478
t26,9941.022193508872,0.0,454.551861635516,0.0,10395.574055144389
t27,9734.413645953678,0.0,380.56826924305557,0.0,10114.981915196735
t28,9784.896201262512,0.0,214.3849168014424,0.0,9999.281118063955
t29,10100.06283064705,0.0,143.2442597307773,0.0,10243.307090377828
t30,10817.016006396438,0.0,104.7995241527933,0.0,10921.815530549231
t31,12534.187921121242,0.0,106.79957764578803,0.0,12640.98749876703
t32,13961.949335704341,0.0,188.50771394063517,0.0,14150.457049644976
t33,14814.883376023588,0.0,137.4198718236642,0.0,14952.303247847252
t34,15256.631421658023,0.0,196.95441328672337,0.0,15453.585834944746
t35,15609.140934592186,0.0,270.06219128439517,0.0,15879.20312587658
t36,15752.8108827615,0.0,360.147540230518,0.0,16112.958422992018
t37,15851.33378382959,0.0,386.67211476544844,0.0,16238.005898595038
t38,15975.165903367242,0.0,427.3888543218143,0.0,16402.554757689057
t39,16013.702124905336,0.0,335.4497291712431,13.468441747267764,16362.620295823846
t40,16013.702124905336,0.0,277.6055191615676,0.0,16291.307644066903
t41,16013.702124905336,0.0,201.3476833291879,25.66528821131797,16240.715096445841
t42,15884.557809118473,0.0,204.82669499605043,0.0,16089.384504114523
t43,15292.559238137002,0.0,473.1459434910891,0.0,15765.705181628091
t44,15224.63572306533,0.0,336.14261478076793,0.0,15560.778337846099
t45,15354.975627915652,0.0,306.577237028709,0.0,15661.55286494436
t46,14695.16342746952,0.0,285.28723752795895,0.0,14980.45066499748
t47,13377.784757576614,0.0,132.58348507479562,0.0,13510.36824265141
t48,11965.529811963577,0.0,140.94428960242277,0.0,12106.474101566
t49,10965.518878872068,0.0,206.6753688615188,0.0,11172.194247733587
t50,10435.246133377657,0.0,203.08741363155355,0.0,10638.333547009212
t51,10154.811001401671,0.0,195.57405742155788,0.0,10350.385058823229
t52,9971.108819627925,0.0,282.4164327706081,0.0,10253.525252398533
t53,10320.028252991076,0.0,127.00202940707267,0.0,10447.03028239815
t54,11102.675569190633,0.0,136.6675780764592,0.0,11239.343147267093
t55,12736.75174062941,0.0,149.46855913886418,0.0,12886.220299768274
t56,14251.50377522802,0.0,204.16403590926112,0.0,14455.667811137282
t57,15015.371533849087,0.0,141.85855778016165,0.0,15157.23009162925
t58,15472.178322544356,0.0,100.15999110482937,0.0,15572.338313649185
t59,15837.045755047866,0.0,55.81916041418039,0.0,15892.864915462047
t60,16003.985491602481,0.0,36.310769211893636,0.0,16040.296260814375
t61,16013.702124905336,0.0,3.3193904026538794,0.0,16017.02151530799
t62,16013.702124905336,0.0,9.031722241469355,25.66528821131797,16048.399135358122
t63,15908.997725013918,0.0,18.547117857390102,0.0,15927.544842871308
t64,15797.563497787605,0.0,9.12705259688372,0.0,15806.690550384488
t65,15831.46377180021,0.0,6.753985319968754,0.0,15838.21775712018
t66,15772.61531440995,0.0,54.04246690714481,0.0,15826.657781317095
t67,15413.439357690422,0.0,172.56074554422753,0.0,15586.00010323465
t68,15097.334472191156,0.0,251.20552651890608,0.0,15348.539998710063
t69,15030.530057996495,0.0,356.4662405580688,0.0,15386.996298554564
t70,14584.27406010004,0.0,336.0450443103402,0.0,14920.31910441038
t71,13018.422809741456,0.0,481.1647364332959,0.0,13499.587546174753
t72,11641.904907632144,0.0,425.152918286268,0.0,12067.057825918413
t73,10709.811719205502,0.0,363.5972807562523,0.0,11073.408999961754
t74,10190.110310220753,0.0,302.1471789130867,0.0,10492.257489133839
t75,9746.164241609287,0.0,385.6321838464815,0.0,10131.796425455768
t76,9639.88395130957,0.0,375.7763436800884,0.0,10015.660294989659
t77,9743.23220756646,0.0,451.85132783734775,0.0,10195.083535403808
t78,10494.544552181955,0.0,402.0138554484777,0.0,10896.558407630433
t79,12298.262674913787,0.0,229.59837495879563,0.0,12527.861049872583
t80,13891.364869622306,0.0,146.6493828898959,0.0,14038.014252512203
t81,14600.60487148785,0.0,221.38592185187704,0.0,14821.990793339728
t82,15048.8362938212,0.0,226.09536962129687,0.0,15274.931663442496
t83,15452.558031957982,0.0,190.191043400913,0.0,15642.749075358895
t84,15695.104093658605,0.0,106.3319222699377,0.0,15801.436015928542
t85,15771.4870287004,0.0,85.64705246119715,0.0,15857.134081161597
t86,15919.03747094402,0.0,62.1036233779625,0.0,15981.141094321983
t87,15994.708688232402,0.0,26.366867954790795,0.0,16021.075556187192
t88,16012.42270579284,0.0,37.5694759841424,0.0,16049.992181776983
t89,16013.702124905336,0.0,35.12426824722573,11.13271800865087,16059.959111161212
t90,15892.909325666125,0.0,46.19549300827059,0.0,15939.104818674396
t91,15485.129301282966,0.0,80.90357101908066,0.0,15566.032872302047
t92,15011.16584257659,0.0,201.57807406118775,0.0,15212.743916637779
t93,14983.358551389465,0.0,276.60892022233446,0.0,15259.967471611799
t94,14775.846590779574,0.0,170.0451859105505,0.0,14945.891776690125
t95,13363.204621487614,0.0,133.8811109047582,0.0,13497.085732392372
t96,11817.923078445958,0.0,194.24758913058622,0.0,12012.170667576544
t97,10801.855523539702,0.0,162.25915973832127,0.0,10964.114683278023
t98,10234.03506703653,0.0,73.26280924792107,0.0,10307.29787628445
t99,9921.480752188494,0.0,37.84694311216127,0.0,9959.327695300655
t100,9739.75800907165,0.0,88.38085928624074,0.0,9828.13886835789
t101,9818.829973547567,0.0,162.9503698359167,0.0,9981.780343383483
t102,10262.038013060013,0.0,278.7247722394847,0.0,10540.762785299497
t103,11922.206890983738,0.0,205.25863334556527,0.0,12127.465524329304
t104,13578.876497510626,0.0,83.96399484684859,0.0,13662.840492357474
t105,14543.25019885514,0.0,52.795612878802125,0.0,14596.045811733942
t106,15134.273638594832,0.0,72.34907692033123,0.0,15206.622715515163
t107,15590.116823254162,0.0,75.75220371090681,0.0,15665.869026965069
t108,15782.231664536752,0.0,103.27690268696541,0.0,15885.508567223716
t109,15831.691841953974,0.0,120.0238594146959,0.0,15951.71570136867
t110,15938.102335924836,0.0,143.9258199513597,0.0,16082.028155876196
t111,15937.182683106574,0.0,144.84547276962047,0.0,16082.028155876194
t112,15923.222168118555,0.0,119.92243278362271,0.0,16043.144600902177
t113,15835.699328020737,0.0,169.6126247986064,0.0,16005.311952819344
t114,15603.095626906272,0.0,169.96590296014776,0.0,15773.06152986642
t115,15084.603916409062,0.0,198.73500216295201,0.0,15283.338918572013
t116,14486.162172637638,0.0,333.7268069197103,0.0,14819.888979557349
t117,14431.531821348059,0.0,315.4239942543484,0.0,14746.955815602407
t118,14022.5993916774,0.0,456.82063221568154,0.0,14479.420023893083
t119,12812.674989334626,0.0,440.0403443017303,0.0,13252.715333636355
t120,11612.3208015734,0.0,282.8992010810883,0.0,11895.220002654489
t121,10618.532492200182,0.0,211.16792278793625,0.0,10829.700414988118
t122,9981.810667270112,0.0,208.51654409227984,0.0,10190.327211362392
t123,9659.916383895772,0.0,170.06976378854426,0.0,9829.986147684316
t124,9509.960620237536,0.0,118.79321812074011,0.0,9628.753838358276
t125,9482.605612221942,0.0,94.1574160327956,0.0,9576.763028254738
t126,9456.367873302383,0.0,125.41513075544208,0.0,9581.783004057825
t127,10125.072869879463,0.0,109.07056873669309,0.0,10234.143438616156
t128,11351.846884079398,0.0,24.22021304925705,0.0,11376.067097128654
t129,12552.497856052862,0.0,52.079396876569525,0.0,12604.577252929432
t130,13382.571667549348,0.0,57.476563875906564,0.0,13440.048231425255
t131,13822.119395660417,0.0,66.66607830284421,0.0,13888.78547396326
t132,13975.112640792357,0.0,75.51249441412033,0.0,14050.625135206477
