Resource,Zone,StartCap,RetCap,NewCap,EndCap
CCGT-H2_1.0,1.0,0,0.01159110478801248,35.49500205299652,35.48341094820851
Fuel_cell_1.0,1.0,0,0.0069942246384548015,8.147115346962961,8.140121122324507
CCGT-H2_2.0,2.0,0,0.011587642294958955,88.27490668839243,88.26331904609748
Fuel_cell_2.0,2.0,0,0.0069860926141404826,9.683766758477535,9.676780665863395
CCGT-H2_3.0,3.0,0,0.011595253298386753,50.78995927342926,50.77836402013087
Fuel_cell_3.0,3.0,0,0.006979209166427221,9.460586992563904,9.453607783397477
CCGT-H2_4.0,4.0,0,0.011583042179660913,51.59309162224477,51.58150858006511
Fuel_cell_4.0,4.0,0,0.006973876127559791,8.725432642025007,8.718458765897447
CCGT-H2_5.0,5.0,0,0.011577614182847614,35.74948721308542,35.737909598902576
Fuel_cell_5.0,5.0,0,0.006966330528608251,7.441815669806249,7.4348493392776405
CCGT-H2_6.0,6.0,0,0.011373893120746364,43.07538318098759,43.064009287866845
Fuel_cell_6.0,6.0,0,0.006998955536047602,9.305271629970388,9.29827267443434
CCGT-H2_7.0,7.0,0,0.01158345209683578,73.25853072607075,73.24694727397392
Fuel_cell_7.0,7.0,0,0.006975964772306494,9.273147075800791,9.266171111028484
CCGT-H2_8.0,8.0,0,0.011570296145224665,60.70621025437154,60.69463995822632
Fuel_cell_8.0,8.0,0,0.006980564928776155,9.457188145066237,9.45020758013746
CCGT-H2_9.0,9.0,0,0.01158168103851112,37.61202949794569,37.60044781690718
Fuel_cell_9.0,9.0,0,0.006980015759159226,8.200164018850412,8.193184003091252
CCGT-H2_10.0,10.0,0,0.011540072297059379,37.57205570984317,37.56051563754611
Fuel_cell_10.0,10.0,0,0.00697668482009346,8.070101691002698,8.063125006182604
Total,n/a,0,0.1853959703338175,601.8912461898933,601.7058502195596
