Resource,SE_conventional_hydroelectric_1,SE_hydroelectric_pumped_storage_1,SE_natural_gas_fired_combined_cycle_1,SE_natural_gas_fired_combined_cycle_2,SE_natural_gas_fired_combined_cycle_3,SE_natural_gas_fired_combined_cycle_4,SE_natural_gas_fired_combustion_turbine_1,SE_natural_gas_fired_combustion_turbine_2,SE_nuclear_1,SE_nuclear_2,SE_small_hydroelectric_1,SE_solar_photovoltaic_1,SE_naturalgas_ccccsavgcf_conservative_0,SE_naturalgas_ccavgcf_moderate_0,SE_naturalgas_ctavgcf_moderate_0,SE_battery_moderate_0,SE_nuclear_mid_0,SE_utilitypv_class1_moderate_70_0_2_1,SE_utilitypv_class1_moderate_70_0_2_2,SE_utilitypv_class1_moderate_70_0_2_3,SE_utilitypv_class1_moderate_70_0_2_4,SE_utilitypv_class1_moderate_70_0_2_5,SE_utilitypv_class1_moderate_70_0_2_6,SE_utilitypv_class1_moderate_70_0_2_7,SE_utilitypv_class1_moderate_70_0_2_8,SE_landbasedwind_class4_moderate_70_1,SE_landbasedwind_class4_moderate_70_2,SE_landbasedwind_class4_moderate_70_3,SE_landbasedwind_class4_moderate_70_4,SE_landbasedwind_class4_moderate_70_5,SE_landbasedwind_class4_moderate_70_6,SE_landbasedwind_class4_moderate_70_7,SE_landbasedwind_class4_moderate_70_8
Zone,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
t1,0.0,0.0,2.8388441029320987e-6,1.146676865360492e-6,43.070612108158834,1.1180135657342752e-7,3.0543675662392066e-7,3.7848781917380284e-6,31.999999977125814,1.9999999889439632,0.0,0.0,1.3590532259238973e-7,2.3141879726390192e-7,1.8528502082167598e-7,0.0,3.336370971245459e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t2,0.0,0.0,2.371843866989993e-6,1.0631559452400517e-6,26.68393892947819,1.067682171959744e-7,2.968484392016518e-7,3.728584990229044e-6,31.99999997735056,1.9999999888957452,0.0,0.0,1.3389331505039433e-7,2.26892906248432e-7,1.8123020109076279e-7,0.0,3.334138499686074e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t3,0.0,0.0,2.1128410858341413e-6,9.836653054117557e-7,17.438344327464446,1.0167054322133203e-7,2.877156889736059e-7,3.666800005511098e-6,31.999999977504256,1.9999999888444648,0.0,0.0,1.3213020448274933e-7,2.2244825065014531e-7,1.764166150451557e-7,0.0,3.331602444331318e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t4,0.0,0.0,1.8818511768238662e-6,9.004535300674999e-7,15.609906077296776,9.623930838393452e-8,2.7767360627920586e-7,3.598753513729875e-6,31.99999997692157,1.9999999887885982,0.0,0.0,1.3021312306866928e-7,2.17644285043578e-7,1.734751536943024e-7,0.0,3.328623884594156e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t5,0.0,0.0,1.8126195715210567e-6,8.407445067324943e-7,15.609906017558927,9.103530546463666e-8,2.6742835549976195e-7,3.52888634465808e-6,31.999999976339474,1.9999999887309612,0.0,0.0,1.2827298029609215e-7,2.1332141495993408e-7,1.6974209357536042e-7,0.0,3.3252583336315923e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t6,0.0,0.0,1.7449779100633944e-6,7.724161468432343e-7,15.609905957885399,8.502089013505369e-8,2.5558438659221456e-7,3.4517264464072788e-6,31.999999976914374,1.9999999886692146,0.0,0.0,1.2555711647950534e-7,2.0739073626850879e-7,1.6496432517358096e-7,0.0,3.32141251710213e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t7,0.0,0.0,9.447516537563095e-7,5.341859895151356e-7,0.27804468709541386,7.637265494003709e-8,2.401200281785493e-7,3.3601757322987164e-6,31.9999999768698,1.9999999886012132,0.0,0.0,1.206975453246214e-7,1.945945032409189e-7,1.6142545565111588e-7,0.0,3.317257445883075e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t8,0.0,0.0,3.539860643491662e-7,3.275157453307525e-7,1.023577587176431e-7,6.67377667989881e-8,2.2318965321542196e-7,3.268163292832987e-6,31.99999997642855,1.9999999885312751,0.0,0.0,1.1456624578657341e-7,1.765385664010026e-7,1.5675589256632094e-7,0.0,3.313100427731517e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t9,0.0,0.0,3.416127434493929e-7,3.0126581726711265e-7,9.524646955471453e-8,6.216121859005474e-8,2.1278303208446884e-7,3.2090347739578045e-6,31.999999976414585,1.999999988468824,0.0,0.0,1.1067704243794568e-7,1.6715506737978122e-7,1.5294530376788826e-7,0.0,3.309261240563353e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t10,0.0,0.0,3.3615148358089915e-7,2.8943793152617664e-7,9.199595719536368e-8,5.96718449781532e-8,2.0632693013842223e-7,3.1731090462527997e-6,31.999999975839003,1.999999988413897,0.0,0.0,1.0817165116684839e-7,1.6165206830588293e-7,1.5210128565417508e-7,0.0,3.30583657167578e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t11,0.0,0.0,3.335300300180157e-7,2.8382630246947865e-7,9.048679156327042e-8,5.8460845207012e-8,2.0277674118394104e-7,3.155800175472668e-6,31.999999976191347,1.999999988366203,0.0,0.0,1.0674291266106516e-7,1.5856417583531574e-7,1.5147505173476992e-7,0.0,3.302882657474627e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t12,0.0,0.0,3.327274597721857e-7,2.8230130380853784e-7,9.014517093681966e-8,5.8241067861265354e-8,2.0168687978017966e-7,3.1551053188252952e-6,31.999999974640215,1.9999999883253972,0.0,0.0,1.0623998636534641e-7,1.5731195149156033e-7,1.5141195733838205e-7,0.0,3.300441352169454e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t13,0.0,0.0,3.335233760662121e-7,2.8436708370499177e-7,9.085995767095148e-8,5.895797114946224e-8,2.0296968990318536e-7,3.1708289828348904e-6,31.999999977486663,1.999999988291187,0.0,0.0,1.0661679792463706e-7,1.5768499230184524e-7,1.5417017995495519e-7,0.0,3.2985628482881945e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t14,0.0,0.0,3.3618759422973307e-7,2.9049591006474783e-7,9.28250473013812e-8,6.072836614622826e-8,2.0681631134730538e-7,3.204463352096524e-6,31.99999997747624,1.9999999882635098,0.0,0.0,1.0791377716216335e-7,1.5974241556571695e-7,1.57344823909288e-7,0.0,3.29722953978424e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t15,0.0,0.0,3.4177401588711214e-7,3.0222035325981367e-7,9.667821829380591e-8,6.38342981238208e-8,2.1382119578719207e-7,3.259737310256608e-6,31.999999974656895,1.9999999882419248,0.0,0.0,1.1033970241041441e-7,1.6391720367453053e-7,1.6134881776206283e-7,0.0,3.296379241676847e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t16,0.0,0.0,3.53575238971272e-7,3.239212723957563e-7,1.0445211327744718e-7,6.895297545080521e-8,2.2540956777976167e-7,3.3447373450170344e-6,31.999999976104448,1.999999988226529,0.0,0.0,1.1429634183987729e-7,1.7150018106404976e-7,1.6936699810201893e-7,0.0,3.2959361404208156e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t17,0.0,0.0,3.8847770215211057e-7,3.714319856157225e-7,1.2511056316035876e-7,7.803165479789125e-8,2.453651051456153e-7,3.4776154569124244e-6,31.999999976073322,1.9999999882172377,0.0,0.0,1.2033921609147733e-7,1.8453771289164543e-7,1.7933598805874885e-7,0.0,3.2958902663949885e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t18,0.0,0.0,39.5091459840466,7.291502864128574e-7,2.2433813491646746e-6,1.0372283538465915e-7,2.902075276784379e-7,3.7102101167394135e-6,31.999999975171345,1.9999999882140855,0.0,0.0,1.3069380155798733e-7,2.1445396454972322e-7,1.934226228555988e-7,0.0,3.296180159986129e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t19,0.0,0.0,44.199464060195446,1.025190871040664e-6,3.3867247640871493e-6,1.2498418332977066e-7,3.2736273451793117e-7,3.89115716274127e-6,31.999999976489274,1.999999988209083,0.0,0.0,1.4050336957872469e-7,2.457628096209517e-7,2.153136572724549e-7,0.0,3.2964087340628583e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t20,0.0,0.0,44.199463885208196,9.490840299695676e-7,3.3575872679964414e-6,1.1616842456012305e-7,3.0636161800513264e-7,3.7256256676096227e-6,31.999999976926432,1.9999999881663975,0.0,0.0,1.354710168690809e-7,2.269215559350251e-7,1.9996488347543703e-7,0.0,3.2944617059813756e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
