Resource,SE_conventional_hydroelectric_1,SE_hydroelectric_pumped_storage_1,SE_natural_gas_fired_combined_cycle_1,SE_natural_gas_fired_combined_cycle_2,SE_natural_gas_fired_combined_cycle_3,SE_natural_gas_fired_combined_cycle_4,SE_natural_gas_fired_combustion_turbine_1,SE_natural_gas_fired_combustion_turbine_2,SE_nuclear_1,SE_nuclear_2,SE_small_hydroelectric_1,SE_solar_photovoltaic_1,SE_naturalgas_ccccsavgcf_conservative_0,SE_naturalgas_ccavgcf_moderate_0,SE_naturalgas_ctavgcf_moderate_0,SE_battery_moderate_0,SE_nuclear_mid_0,SE_utilitypv_class1_moderate_70_0_2_1,SE_utilitypv_class1_moderate_70_0_2_2,SE_utilitypv_class1_moderate_70_0_2_3,SE_utilitypv_class1_moderate_70_0_2_4,SE_utilitypv_class1_moderate_70_0_2_5,SE_utilitypv_class1_moderate_70_0_2_6,SE_utilitypv_class1_moderate_70_0_2_7,SE_utilitypv_class1_moderate_70_0_2_8,SE_landbasedwind_class4_moderate_70_1,SE_landbasedwind_class4_moderate_70_2,SE_landbasedwind_class4_moderate_70_3,SE_landbasedwind_class4_moderate_70_4,SE_landbasedwind_class4_moderate_70_5,SE_landbasedwind_class4_moderate_70_6,SE_landbasedwind_class4_moderate_70_7,SE_landbasedwind_class4_moderate_70_8,Total
Zone,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
AnnualSum,0.0,0.0,4323.123000925894,0.000317421756344547,13486.969049790816,4.356563699777159e-5,0.00011278681918226472,0.0007823098977452893,8.800498661432693e-7,9.372069272432008e-7,0.0,0.0,3.845084238273877e-5,5.9918409932503806e-5,6.625705601332347e-5,0.0,8.645479675875364e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17810.093474108933
t1,0.0,0.0,1.902477415619449e-9,5.410045038357144e-9,1.5115067851767006e-9,2.4145575645861514e-9,7.611559614772322e-9,4.821094874101759e-8,8.86640319597546e-11,8.771244262628936e-11,0.0,0.0,2.3328192285946085e-9,2.5471922634907323e-9,5.4658151839316905e-9,0.0,9.003440171223461e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.767333271184466e-8
t2,0.0,0.0,1.9108631543141588e-9,5.432403321910105e-9,1.5184704504205016e-9,2.397166977444216e-9,7.521752308887988e-9,4.7313625831484955e-8,8.759494361835082e-11,8.679539909971351e-11,0.0,0.0,2.5451600685447635e-9,2.834013773841497e-9,4.9914042296588e-9,0.0,8.95687215673011e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.672881918079236e-8
t3,0.0,0.0,1.9011511679480815e-9,5.388514224664723e-9,1.5041922528765709e-9,2.355275659828649e-9,7.3919032699467366e-9,4.636394149910194e-8,8.633596474142587e-11,8.598298363104804e-11,0.0,0.0,2.7137238666053456e-9,2.9540243287787987e-9,5.120847147418763e-9,0.0,8.814345358689743e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.595403581912897e-8
t4,0.0,0.0,1.887771437131562e-9,5.309891719668376e-9,1.4811500537198089e-9,2.2876706406239032e-9,7.212548729571396e-9,4.539705701813946e-8,8.499138862491431e-11,8.514119787644451e-11,0.0,0.0,2.8089400291486566e-9,3.057903910574175e-9,5.602129423338164e-9,0.0,8.660201385870466e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.530179756227557e-8
t5,0.0,0.0,1.9063839172886164e-9,5.345369401974852e-9,1.495156382572712e-9,2.2618456617911737e-9,7.168227110611443e-9,4.5097510861266774e-8,8.381564896001982e-11,8.462019842856376e-11,0.0,0.0,2.9205967152631753e-9,3.2928055017449252e-9,5.080375671260932e-9,0.0,8.528626758135982e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.482199333874455e-8
t6,0.0,0.0,1.8881691166269617e-9,5.220488118292135e-9,1.4685319708203448e-9,2.1620266715390544e-9,6.929082055350349e-9,4.414888727459296e-8,8.215500789539936e-11,8.37337486759614e-11,0.0,0.0,2.856144332889403e-9,3.1909730227352113e-9,5.140510899822954e-9,0.0,8.348331141958076e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.325418553066032e-8
t7,0.0,0.0,1.8226997388355485e-9,4.931924157971244e-9,1.382491196650782e-9,2.0034015365017686e-9,6.53453659956929e-9,4.27124883966935e-8,8.013702327799606e-11,8.249010145351456e-11,0.0,0.0,2.6440456937782023e-9,2.9063365685828443e-9,5.447208686554213e-9,0.0,8.24758498757118e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.063023554974462e-8
t8,0.0,0.0,1.8296517675234088e-9,4.792046322744212e-9,1.3806839484853316e-9,1.924478092486308e-9,6.343900678974677e-9,4.2405783933023014e-8,7.877970545526722e-11,8.196118368947687e-11,0.0,0.0,2.590447947536747e-9,2.7963227333730875e-9,4.8564446211377536e-9,0.0,8.242298950489734e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.916292392393418e-8
t9,0.0,0.0,2.0711079754972035e-9,5.420051850207817e-9,1.556554477457347e-9,2.1473315501125445e-9,7.021359400987699e-9,4.640804867465207e-8,7.956837885975447e-11,8.393038835568614e-11,0.0,0.0,2.942780886388293e-9,3.2069630895022476e-9,5.401761409720124e-9,0.0,8.360341622987117e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.642306149797066e-8
t10,0.0,0.0,2.367159514791796e-9,6.160970732893056e-9,1.7713172170326133e-9,2.3978117855535708e-9,7.746126584988034e-9,5.111648081785e-8,8.045736964839242e-11,8.593319156915694e-11,0.0,0.0,3.3063423916499954e-9,3.677427172980037e-9,6.382388574122441e-9,0.0,8.495843821702849e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.517737379129611e-8
t11,0.0,0.0,2.758245517139918e-9,7.1006526996915e-9,2.0491834023621396e-9,2.693367878456246e-9,8.572815235784297e-9,5.680585810118899e-8,8.144636121079377e-11,8.80444737394539e-11,0.0,0.0,3.6982507781683925e-9,4.23255868016348e-9,6.242459901588018e-9,0.0,8.668768581279115e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.440957071530602e-8
t12,0.0,0.0,3.302797932062685e-9,8.35832928078097e-9,2.4296688996106804e-9,3.061021183188001e-9,9.557632234759973e-9,6.386240419765167e-8,8.244276937741229e-11,9.026006771385162e-11,0.0,0.0,4.1071653396885226e-9,4.872518669463917e-9,6.829600836942555e-9,0.0,8.876704172790042e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0664260845296814e-7
t13,0.0,0.0,4.115317966782302e-9,1.015931329430205e-8,2.9893972787139533e-9,3.5528589875863584e-9,1.079082580935865e-8,7.290364578654904e-8,8.362630346367417e-11,9.257903800932406e-11,0.0,0.0,4.54513868170542e-9,5.636309082952366e-9,8.398836155727016e-9,0.0,9.114240332564956e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2335899078847582e-7
t14,0.0,0.0,5.453206582262805e-9,1.2982523061196378e-8,3.897041344019508e-9,4.266745474387548e-9,1.2435789777444739e-8,8.495352931816793e-8,8.528953385781776e-11,9.499169954359568e-11,0.0,0.0,5.057103398148677e-9,6.643246674259648e-9,8.481462422132518e-9,0.0,9.360370473096864e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4444453299015215e-7
t15,0.0,0.0,7.992933853285803e-9,1.7660477542595698e-8,5.5342027591545164e-9,5.325580338818277e-9,1.4810749207038333e-8,1.0193880266256671e-7,8.702674034595569e-11,9.748916910466639e-11,0.0,0.0,5.724192312326975e-9,8.105382474201881e-9,9.351345540428272e-9,0.0,9.589323872145808e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7672407583858858e-7
t16,0.0,0.0,1.3917612741721686e-8,2.6920800127024206e-8,9.259023583112907e-9,7.100977954844096e-9,1.8693163252963216e-8,1.2778851042018668e-7,8.797941786105677e-11,1.0009723077361567e-10,0.0,0.0,6.710854194171357e-9,1.0537108002685179e-8,1.25378337047545e-8,0.0,9.796371436301721e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3375192434446152e-7
t17,0.0,0.0,3.678862989690408e-8,5.214166031641236e-8,2.1978969197574043e-8,1.0851682672022422e-8,2.641734411391121e-8,1.7221023054715434e-7,8.887539014663611e-11,1.0282253650723483e-10,0.0,0.0,8.395743695297065e-9,1.541044529218484e-8,1.4046990068034305e-8,0.0,9.994061778146669e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5853333434393004e-7
t18,0.0,0.0,39.509145597299785,3.6183027122402484e-7,2.119447113652659e-6,2.7271373322132516e-8,5.0693452877451344e-8,2.687786049441408e-7,9.00291540932715e-11,1.0573878009560309e-10,0.0,0.0,1.2384746055907159e-8,3.1896372338931376e-8,1.816757680148693e-8,0.0,1.0145632687609758e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.50914848806652
t19,0.0,0.0,4.690318077750726,3.001568936633923e-7,1.14451464830077e-6,2.2845972269331406e-8,4.300004539526486e-8,2.1713194379447407e-7,8.74266676633275e-11,1.04913850827905e-10,0.0,0.0,1.178424340263812e-8,3.3114212408600266e-8,2.551112829531945e-8,0.0,1.0112064225931161e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.690319876103275
t20,0.0,0.0,1.586547352032899e-9,4.498439505475669e-9,1.2280794453337244e-9,1.8522483859968666e-9,6.082317919022012e-9,3.725258770746617e-8,7.705079352336534e-11,9.012934900379018e-11,0.0,0.0,2.171651981543823e-9,1.9300423236453185e-9,3.8651645004571626e-9,0.0,9.132579217640194e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.072558505567721e-8
t21,0.0,0.0,1.6099824308829207e-9,4.547361544410714e-9,1.2349990236495773e-9,1.8760734877874905e-9,6.191976892491881e-9,3.717539921689682e-8,7.594565727598013e-11,8.953324088052276e-11,0.0,0.0,2.2877353419665687e-9,2.112317888892572e-9,3.9195493805009144e-9,0.0,9.034157555956494e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.121121568119553e-8
t22,0.0,0.0,1.632448166449632e-9,4.565701327026097e-9,1.2425201773838787e-9,1.8759221454785354e-9,6.230097260132558e-9,3.7183136488860896e-8,7.4382237491631e-11,8.893243657644434e-11,0.0,0.0,2.3774617778006565e-9,2.336539980191713e-9,4.5261488257042386e-9,0.0,8.943173103206314e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.222272255412834e-8
t23,0.0,0.0,1.651055241000071e-9,4.566562071889767e-9,1.2453703854956274e-9,1.8530603932992244e-9,6.192031414151929e-9,3.694085674776195e-8,7.243495496356122e-11,8.832729239858138e-11,0.0,0.0,2.441863465789025e-9,2.6234959330616686e-9,4.179332921832191e-9,0.0,8.864826662806363e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.194303908827166e-8
t24,0.0,0.0,1.6631270412861764e-9,4.5198069172582e-9,1.2451383206677015e-9,1.798815463380457e-9,6.047591054944037e-9,3.643848608856263e-8,7.038911391749571e-11,8.769010435210426e-11,0.0,0.0,2.472930877691764e-9,2.808292614905482e-9,4.142537681432316e-9,0.0,8.785823952994072e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.138266351792831e-8
t25,0.0,0.0,1.6699476176230276e-9,4.3369291756377095e-9,1.2196578267546941e-9,1.7054197406656589e-9,5.815996589206087e-9,3.569512235065832e-8,6.904570271220462e-11,8.70824216764822e-11,0.0,0.0,2.3910451737031004e-9,2.7484331491216607e-9,4.5140089668173944e-9,0.0,8.722604887569229e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.033991476345203e-8
t26,0.0,0.0,1.8074453932238594e-9,4.7758141511322535e-9,1.344656259326905e-9,1.8834135236622977e-9,6.390927998661024e-9,3.83191146333475e-8,7.042581939018562e-11,8.977173790438474e-11,0.0,0.0,2.7454192097004765e-9,3.1338300736455167e-9,4.4254484665778275e-9,0.0,8.818659104585304e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.507445385761809e-8
t27,0.0,0.0,1.913046837083996e-9,5.0849449239435166e-9,1.427701577129186e-9,2.0014525072060992e-9,6.833453233248304e-9,4.0470076449880535e-8,7.229401494257109e-11,9.226558504721527e-11,0.0,0.0,3.0261601485762905e-9,3.407134626287355e-9,4.678868381682823e-9,0.0,8.93088448917478e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.909670712991963e-8
t28,0.0,0.0,2.0309642723109565e-9,5.409469050915071e-9,1.5200344593289677e-9,2.1184280110558813e-9,7.281136716597802e-9,4.2736013121257545e-8,7.366502968969953e-11,9.50014169697449e-11,0.0,0.0,3.311526623330829e-9,3.699769434407381e-9,5.4609113629641725e-9,0.0,9.066841383869935e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.382758791266675e-8
t29,0.0,0.0,2.1231404977502064e-9,5.606602862950831e-9,1.5712732288841766e-9,2.173383441029848e-9,7.57467086108666e-9,4.484284444724522e-8,7.391206410526624e-11,9.767338933974334e-11,0.0,0.0,3.4883584750914226e-9,3.8676279856393695e-9,5.097611043624184e-9,0.0,9.208240781396982e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.660918070456089e-8
t30,0.0,0.0,2.2176554685506144e-9,5.7819214535473614e-9,1.617630472680823e-9,2.2162941876263004e-9,7.824009302769079e-9,4.7111536470700725e-8,7.409303293578864e-11,1.0055667459400578e-10,0.0,0.0,3.604522036222462e-9,4.005816226978688e-9,5.3513714772292434e-9,0.0,9.367514303846672e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.999908194687356e-8
t31,0.0,0.0,2.290678443513625e-9,5.855844875920092e-9,1.6376691554475608e-9,2.2238208090911282e-9,7.934406393538536e-9,4.918705234355522e-8,7.410760415402734e-11,1.0343275679744185e-10,0.0,0.0,3.64325787483697e-9,4.073258998571452e-9,6.045166806263523e-9,0.0,9.52756507758536e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.316397171246544e-8
t32,0.0,0.0,2.5137872299232953e-9,6.370904806166751e-9,1.7862296001898088e-9,2.3742525021674065e-9,8.514111541436852e-9,5.358469345968061e-8,7.428953510520688e-11,1.0732259465509223e-10,0.0,0.0,3.918432646518677e-9,4.415498256039012e-9,5.768687088616196e-9,0.0,9.727148224230465e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.952548074274122e-8
t33,0.0,0.0,2.7753564620508258e-9,6.928056652823551e-9,1.9559776087341676e-9,2.5271848236817436e-9,9.10816031059195e-9,5.857999255820912e-8,7.416800061010706e-11,1.1149132252294314e-10,0.0,0.0,4.1939913744783596e-9,4.812159576537632e-9,6.286383615943824e-9,0.0,9.9917043645683e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.74528393498299e-8
t34,0.0,0.0,3.070492041818571e-9,7.541319683909854e-9,2.1343778540836252e-9,2.696332454758463e-9,9.700302478178605e-9,6.450080350321341e-8,7.525344543559876e-11,1.1598142476110888e-10,0.0,0.0,4.4649145979922505e-9,5.194008612753735e-9,7.343787807559555e-9,0.0,1.023373240644441e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0693991122852922e-7
t35,0.0,0.0,3.4354112734768286e-9,8.285968523878352e-9,2.350141503688936e-9,2.8973099246228447e-9,1.0367642508378457e-8,7.17819604696049e-8,7.654578283440957e-11,1.2090096707801617e-10,0.0,0.0,4.753553232879543e-9,5.643771809036807e-9,7.09066113198807e-9,0.0,1.0533879803526613e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1690920592550243e-7
t36,0.0,0.0,3.9045261228197595e-9,9.241769933110189e-9,2.6292059393343847e-9,3.1577253859585985e-9,1.1180104604861389e-8,8.107331093451865e-8,8.002211967919602e-11,1.2626512589843014e-10,0.0,0.0,5.090670311755767e-9,6.196544687433305e-9,7.69883524099872e-9,0.0,1.0876017296961115e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3048774057933798e-7
t37,0.0,0.0,4.54548151056461e-9,1.0566116182553243e-8,3.0202528658773103e-9,3.5213090783896747e-9,1.2257963448637725e-8,9.352600725333573e-8,8.224011363392747e-11,1.3215381674574229e-10,0.0,0.0,5.519059108908519e-9,6.930240511949566e-9,9.384657627689531e-9,0.0,1.1257989159413686e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4959806140987972e-7
t38,0.0,0.0,5.505313678721246e-9,1.2603512227172253e-8,3.6222954167406756e-9,4.070976526271896e-9,1.3800200300294e-8,1.1133343771511112e-7,8.442390507880666e-11,1.3858226494608707e-10,0.0,0.0,6.107719655855471e-9,7.985496506344306e-9,9.569102930534326e-9,0.0,1.1680879458037773e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7493786992165054e-7
t39,0.0,0.0,6.9937870394244185e-9,1.584894566505333e-8,4.5966753214330525e-9,4.923460978283586e-9,1.6254107917056128e-8,1.393544912065406e-7,8.849270502222751e-11,1.4567844789435652e-10,0.0,0.0,6.990933137873811e-9,9.635636158639078e-9,1.0574712414858223e-8,0.0,1.2109054673273896e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1552801153881154e-7
t40,0.0,0.0,9.653469640492613e-9,2.20250291573457e-8,6.441509886713441e-9,6.4815691235975816e-9,2.0786926015729067e-8,1.9097197344720653e-7,9.002872488423024e-11,1.535528382905171e-10,0.0,0.0,8.469022090021677e-9,1.2720244948624447e-8,1.438388876961437e-8,0.0,1.2537849833192347e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.923025931408521e-7
t41,0.0,0.0,1.607019398006786e-8,3.913964639247971e-8,1.1017035768556661e-8,1.0450405348550595e-8,3.199285618207248e-8,3.2146380904006944e-7,9.153563533862745e-11,1.6193372324888928e-10,0.0,0.0,1.1625484238971005e-8,2.0213787109543773e-8,1.693842159848355e-8,0.0,1.294940321351489e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.792946030495178e-7
t42,0.0,0.0,3.0307021674545527,7.62006060161857e-7,25.871701044786896,4.969883761724439e-8,1.0580901728285638e-7,1.3439841497851887e-6,9.230860574377098e-11,1.7058997408478578e-10,0.0,0.0,2.262309074120985e-8,7.879304552484709e-8,2.414912830568723e-8,0.0,1.3280376021894767e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.902405599700483
t43,0.0,0.0,1.509954064439366,2.9213705643143357e-7,3.448268197619371e-7,3.033215266071715e-8,6.424182843858589e-8,5.804707767949596e-7,9.241631984858637e-11,1.6840121892613801e-10,0.0,0.0,1.392201355438148e-8,3.029801153240683e-8,2.812520423658662e-8,0.0,1.3228182072298328e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.509955449186329
t44,0.0,0.0,1.999639956175742e-9,5.631921848281962e-9,1.4847388643461077e-9,2.3473053169492293e-9,7.788005975320278e-9,5.0020349442003354e-8,8.679797870164226e-11,1.3756340487786167e-10,0.0,0.0,2.5609781037227232e-9,2.1594627286169684e-9,4.941700207219109e-9,0.0,1.180828945097605e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.927654672072474e-8
t45,0.0,0.0,1.9839245738531903e-9,5.596737715991993e-9,1.4617340564414628e-9,2.3725049540682307e-9,7.815319852140066e-9,4.997654341931401e-8,8.42552422639443e-11,1.3467613584763394e-10,0.0,0.0,2.6459206548074063e-9,2.3717366170543815e-9,4.851226163252942e-9,0.0,1.1621251577710278e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.941079190081236e-8
t46,0.0,0.0,1.9873493714601037e-9,5.58811225256031e-9,1.4600409019239122e-9,2.411122832222444e-9,7.844385598652097e-9,4.9774639850956346e-8,8.181450047645845e-11,1.3199112851201865e-10,0.0,0.0,2.7523126786009922e-9,2.6319095190768323e-9,5.78317932319546e-9,0.0,1.1433180859846979e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.056118976623545e-8
