Zone,1,Total
CO2_Price_1,54.83611686424725,0.0
AnnualSum,4.379136321972301e7,4.379136321972301e7
t1,9314.471724440076,9314.471724440076
t2,4732.634676885319,4732.634676885319
t3,2898.8031996986274,2898.8031996986274
t4,2447.093447650992,2447.093447650992
t5,2702.791449839834,2702.791449839834
t6,2673.745629674445,2673.745629674445
t7,45.99440992447832,45.99440992447832
t8,0.00011623729410144078,0.00011623729410144078
t9,0.00011092707827964397,0.00011092707827964397
t10,0.00010840534170268208,0.00010840534170268208
t11,0.00010721511987145298,0.00010721511987145298
t12,0.00010704032918449351,0.00010704032918449351
t13,0.00010785665751035251,0.00010785665751035251
t14,0.00010977486889322622,0.00010977486889322622
t15,0.00011329637235673756,0.00011329637235673756
t16,0.0001197410536237511,0.0001197410536237511
t17,0.0001351174582909418,0.0001351174582909418
t18,5266.742044512387,5266.742044512387
t19,8853.474386357815,8853.474386357815
t20,3527.030338366635,3527.030338366635
t21,3527.0303153815325,3527.0303153815325
t22,3527.0302978413147,3527.0302978413147
t23,3527.030282109387,3527.030282109387
t24,374.2783899472284,374.2783899472284
t25,8.432699093373594e-5,8.432699093373594e-5
t26,7.297048655919962e-5,7.297048655919962e-5
t27,6.835274472308768e-5,6.835274472308768e-5
t28,6.529951927279322e-5,6.529951927279322e-5
t29,6.274489984164107e-5,6.274489984164107e-5
t30,6.1011893891616904e-5,6.1011893891616904e-5
t31,5.7862147060056504e-5,5.7862147060056504e-5
t32,5.699606248474733e-5,5.699606248474733e-5
t33,5.653103124606751e-5,5.653103124606751e-5
t34,5.6544021492351274e-5,5.6544021492351274e-5
t35,5.70010316673516e-5,5.70010316673516e-5
t36,5.7946149217667896e-5,5.7946149217667896e-5
t37,5.951489071967759e-5,5.951489071967759e-5
t38,6.189007134868708e-5,6.189007134868708e-5
t39,6.549738068643923e-5,6.549738068643923e-5
t40,7.122658259040564e-5,7.122658259040564e-5
t41,8.253674299209796e-5,8.253674299209796e-5
t42,6788.456417479249,6788.456417479249
t43,7769.550004569134,7769.550004569134
t44,7167.348529816784,7167.348529816784
t45,7167.348566891302,7167.348566891302
t46,7167.348522881681,7167.348522881681
t47,7167.348533013423,7167.348533013423
t48,7167.348402159888,7167.348402159888
t49,5414.882605306261,5414.882605306261
t50,2758.5376783165984,2758.5376783165984
t51,2273.112311458166,2273.112311458166
t52,2273.112299642045,2273.112299642045
t53,3273.6811923518126,3273.6811923518126
t54,3243.1689712847847,3243.1689712847847
t55,2273.112255893981,2273.112255893981
t56,2273.1122523496647,2273.1122523496647
t57,2273.112250581442,2273.112250581442
t58,2273.1122497339234,2273.1122497339234
t59,2273.112249688003,2273.112249688003
t60,2273.112250391802,2273.112250391802
t61,2273.1122520188055,2273.1122520188055
t62,2273.112254944653,2273.112254944653
t63,2273.112261282238,2273.112261282238
t64,13267.8832715649,13267.8832715649
t65,12150.587140302945,12150.587140302945
t66,15634.634557708032,15634.634557708032
t67,16831.527472474663,16831.527472474663
t68,16665.493722258147,16665.493722258147
t69,16665.493712991203,16665.493712991203
t70,13328.732561511719,13328.732561511719
t71,6227.194153573389,6227.194153573389
t72,1769.2331052407535,1769.2331052407535
t73,54.041268477166966,54.041268477166966
t74,8.488698597835398e-5,8.488698597835398e-5
t75,7.744737810572602e-5,7.744737810572602e-5
t76,7.342635070612636e-5,7.342635070612636e-5
t77,7.065973842996828e-5,7.065973842996828e-5
t78,6.861540919095418e-5,6.861540919095418e-5
t79,6.878232306892427e-5,6.878232306892427e-5
t80,6.86103669248229e-5,6.86103669248229e-5
t81,6.868813969303027e-5,6.868813969303027e-5
t82,6.923087230113985e-5,6.923087230113985e-5
t83,7.02350359564787e-5,7.02350359564787e-5
t84,7.178488416510779e-5,7.178488416510779e-5
t85,7.409189519004331e-5,7.409189519004331e-5
t86,7.746220139116049e-5,7.746220139116049e-5
t87,8.264736021711368e-5,8.264736021711368e-5
t88,9.225631960909508e-5,9.225631960909508e-5
t89,8675.25168891158,8675.25168891158
t90,14562.605921412438,14562.605921412438
t91,13449.397166323793,13449.397166323793
t92,13447.838160943898,13447.838160943898
t93,13447.83815672617,13447.83815672617
t94,13447.838156288013,13447.838156288013
t95,13447.838153976143,13447.838153976143
t96,13447.83814815539,13447.83814815539
t97,12898.004958685038,12898.004958685038
t98,12294.044262020694,12294.044262020694
t99,12200.660778105985,12200.660778105985
t100,12530.484834709298,12530.484834709298
t101,13447.838117672089,13447.838117672089
t102,11118.094755572447,11118.094755572447
t103,2511.4784594617845,2511.4784594617845
t104,2511.4784510379563,2511.4784510379563
t105,2511.478448427911,2511.478448427911
t106,2511.4784471985236,2511.4784471985236
t107,2511.478446835522,2511.478446835522
t108,2511.4784471951616,2511.4784471951616
t109,2511.4784484113156,2511.4784484113156
t110,2511.478450876523,2511.478450876523
t111,2511.47845584279,2511.47845584279
t112,3653.2112909731213,3653.2112909731213
t113,11835.338822859447,11835.338822859447
t114,10743.15068695669,10743.15068695669
t115,10743.150687696354,10743.150687696354
t116,10743.150689491275,10743.150689491275
t117,10743.150688405602,10743.150688405602
t118,10743.150687255671,10743.150687255671
t119,10743.15067667977,10743.15067667977
t120,10368.318415646943,10368.318415646943
t121,7660.605725767506,7660.605725767506
t122,6150.832165148046,6150.832165148046
t123,5121.51277091302,5121.51277091302
t124,4117.764559579346,4117.764559579346
t125,4691.449053866395,4691.449053866395
t126,3264.6165095898127,3264.6165095898127
t127,0.00026803977941721824,0.00026803977941721824
t128,0.0002626847750470158,0.0002626847750470158
t129,0.000260293669424654,0.000260293669424654
