,Capture,Capture,Capture
Zone,1,2,3
AnnualSum,572409.5145924671,162395.99524355656,1475.1075082115312
t1,3407.1994916218296,967.001931359698,8.832979091087012
t2,3407.1994916218296,967.001931359698,8.832979091087012
t3,3407.1994916218296,967.001931359698,8.832979091087012
t4,3407.1994916218296,967.001931359698,8.832979091087012
t5,3407.1994916218296,967.001931359698,8.832979091087012
t6,3407.1994916218296,967.001931359698,8.832979091087012
t7,3407.1994916218296,967.001931359698,8.832979091087012
t8,3407.1994916218296,967.001931359698,8.832979091087012
t9,3407.1994916218296,967.001931359698,8.832979091087012
t10,3407.1994916218296,967.001931359698,8.832979091087012
t11,3407.1994916218296,967.001931359698,8.832979091087012
t12,3407.1994916218296,967.001931359698,8.832979091087012
t13,3407.1994916218296,967.001931359698,8.832979091087012
t14,3407.1994916218296,967.001931359698,8.832979091087012
t15,3407.1994916218296,967.001931359698,8.832979091087012
t16,3407.1994916218296,967.001931359698,8.832979091087012
t17,3407.1994916218296,967.001931359698,8.832979091087012
t18,3407.1994916218296,967.001931359698,8.832979091087012
t19,3407.1994916218296,967.001931359698,8.832979091087012
t20,3407.1994916218296,967.001931359698,8.832979091087012
t21,3407.1994916218296,967.001931359698,8.832979091087012
t22,3407.1994916218296,967.001931359698,8.832979091087012
t23,3407.1994916218296,967.001931359698,8.832979091087012
t24,3407.1994916218296,967.001931359698,8.832979091087012
t25,3407.1994916218296,967.001931359698,8.832979091087012
t26,3407.1994916218296,967.001931359698,8.832979091087012
t27,3407.1994916218296,967.001931359698,8.832979091087012
t28,3407.1994916218296,967.001931359698,8.832979091087012
t29,3407.1994916218296,967.001931359698,8.832979091087012
t30,3407.1994916218296,967.001931359698,8.832979091087012
t31,3407.1994916218296,967.001931359698,8.832979091087012
t32,3407.1994916218296,967.001931359698,8.832979091087012
t33,3407.1994916218296,967.001931359698,8.832979091087012
t34,3407.1994916218296,967.001931359698,8.832979091087012
t35,3407.1994916218296,967.001931359698,8.832979091087012
t36,3407.1994916218296,967.001931359698,8.832979091087012
t37,3407.1994916218296,967.001931359698,8.832979091087012
t38,3407.1994916218296,967.001931359698,8.832979091087012
t39,3407.1994916218296,967.001931359698,8.832979091087012
t40,3407.1994916218296,967.001931359698,8.832979091087012
t41,3407.1994916218296,967.001931359698,8.832979091087012
t42,3407.1994916218296,967.001931359698,8.832979091087012
t43,3407.1994916218296,967.001931359698,8.832979091087012
t44,3407.1994916218296,967.001931359698,8.832979091087012
t45,3407.1994916218296,967.001931359698,8.832979091087012
t46,3407.1994916218296,967.001931359698,8.832979091087012
t47,3407.1994916218296,967.001931359698,8.832979091087012
t48,3407.1994916218296,967.001931359698,8.832979091087012
t49,3407.1994916218296,967.001931359698,8.832979091087012
t50,3407.1994916218296,967.001931359698,8.832979091087012
t51,3407.1994916218296,967.001931359698,8.832979091087012
t52,3407.1994916218296,967.001931359698,8.832979091087012
t53,3407.1994916218296,967.001931359698,8.832979091087012
t54,3407.1994916218296,967.001931359698,8.832979091087012
t55,3407.1994916218296,967.001931359698,8.832979091087012
t56,3407.1994916218296,967.001931359698,8.832979091087012
t57,3407.1994916218296,967.001931359698,8.832979091087012
t58,3407.1994916218296,967.001931359698,8.832979091087012
t59,3407.1994916218296,967.001931359698,8.832979091087012
t60,3407.1994916218296,967.001931359698,8.832979091087012
