,Fuel Usage Emissions,Fuel Usage Emissions,Fuel Usage Emissions
Zone,1,2,3
AnnualSum,118116.13092664107,33510.251222512634,304.3869592119411
t1,703.0722078966728,199.5398815341423,1.8226764024667135
t2,703.0722078966728,199.5398815341423,1.8226764024667135
t3,703.0722078966728,199.5398815341423,1.8226764024667135
t4,703.0722078966728,199.5398815341423,1.8226764024667135
t5,703.0722078966728,199.5398815341423,1.8226764024667135
t6,703.0722078966728,199.5398815341423,1.8226764024667135
t7,703.0722078966728,199.5398815341423,1.8226764024667135
t8,703.0722078966728,199.5398815341423,1.8226764024667135
t9,703.0722078966728,199.5398815341423,1.8226764024667135
t10,703.0722078966728,199.5398815341423,1.8226764024667135
t11,703.0722078966728,199.5398815341423,1.8226764024667135
t12,703.0722078966728,199.5398815341423,1.8226764024667135
t13,703.0722078966728,199.5398815341423,1.8226764024667135
t14,703.0722078966728,199.5398815341423,1.8226764024667135
t15,703.0722078966728,199.5398815341423,1.8226764024667135
t16,703.0722078966728,199.5398815341423,1.8226764024667135
t17,703.0722078966728,199.5398815341423,1.8226764024667135
t18,703.0722078966728,199.5398815341423,1.8226764024667135
t19,703.0722078966728,199.5398815341423,1.8226764024667135
t20,703.0722078966728,199.5398815341423,1.8226764024667135
t21,703.0722078966728,199.5398815341423,1.8226764024667135
t22,703.0722078966728,199.5398815341423,1.8226764024667135
t23,703.0722078966728,199.5398815341423,1.8226764024667135
t24,703.0722078966728,199.5398815341423,1.8226764024667135
t25,703.0722078966728,199.5398815341423,1.8226764024667135
t26,703.0722078966728,199.5398815341423,1.8226764024667135
t27,703.0722078966728,199.5398815341423,1.8226764024667135
t28,703.0722078966728,199.5398815341423,1.8226764024667135
t29,703.0722078966728,199.5398815341423,1.8226764024667135
t30,703.0722078966728,199.5398815341423,1.8226764024667135
t31,703.0722078966728,199.5398815341423,1.8226764024667135
t32,703.0722078966728,199.5398815341423,1.8226764024667135
t33,703.0722078966728,199.5398815341423,1.8226764024667135
t34,703.0722078966728,199.5398815341423,1.8226764024667135
t35,703.0722078966728,199.5398815341423,1.8226764024667135
t36,703.0722078966728,199.5398815341423,1.8226764024667135
t37,703.0722078966728,199.5398815341423,1.8226764024667135
t38,703.0722078966728,199.5398815341423,1.8226764024667135
t39,703.0722078966728,199.5398815341423,1.8226764024667135
t40,703.0722078966728,199.5398815341423,1.8226764024667135
t41,703.0722078966728,199.5398815341423,1.8226764024667135
t42,703.0722078966728,199.5398815341423,1.8226764024667135
t43,703.0722078966728,199.5398815341423,1.8226764024667135
t44,703.0722078966728,199.5398815341423,1.8226764024667135
t45,703.0722078966728,199.5398815341423,1.8226764024667135
t46,703.0722078966728,199.5398815341423,1.8226764024667135
t47,703.0722078966728,199.5398815341423,1.8226764024667135
t48,703.0722078966728,199.5398815341423,1.8226764024667135
t49,703.0722078966728,199.5398815341423,1.8226764024667135
t50,703.0722078966728,199.5398815341423,1.8226764024667135
t51,703.0722078966728,199.5398815341423,1.8226764024667135
t52,703.0722078966728,199.5398815341423,1.8226764024667135
t53,703.0722078966728,199.5398815341423,1.8226764024667135
t54,703.0722078966728,199.5398815341423,1.8226764024667135
t55,703.0722078966728,199.5398815341423,1.8226764024667135
t56,703.0722078966728,199.5398815341423,1.8226764024667135
