,Fuel Usage Emissions,Fuel Usage Emissions,Fuel Usage Emissions,Fuel Usage Emissions,Fuel Usage Emissions,Fuel Usage Emissions,Fuel Usage Emissions,Fuel Usage Emissions,Fuel Usage Emissions,Fuel Usage Emissions
Zone,1,2,3,4,5,6,7,8,9,10
AnnualSum,0.0,0.0,0.0,0.0,0.0,0.0489147673954629,0.05647739545629604,0.052978051722013954,0.047497753235139856,0.04927750821170996
t1,0.0,0.0,0.0,0.0,0.0,5.823328934047589e-5,6.71770031853878e-5,6.309110736960562e-5,5.654841738342803e-5,5.866554017404656e-5
t2,0.0,0.0,0.0,0.0,0.0,5.8239990848700326e-5,6.710143907386789e-5,6.310344391906485e-5,5.654696785836055e-5,5.866543348786437e-5
t3,0.0,0.0,0.0,0.0,0.0,5.824220353014817e-5,6.708889573944774e-5,6.310246442967467e-5,5.6547018448513434e-5,5.866596784143595e-5
t4,0.0,0.0,0.0,0.0,0.0,5.8242293301270196e-5,6.708701946778283e-5,6.310020941227199e-5,5.65473111519247e-5,5.8666138467195396e-5
t5,0.0,0.0,0.0,0.0,0.0,5.824241181769312e-5,6.708593111491175e-5,6.309954307702394e-5,5.654702335938823e-5,5.866603916286757e-5
t6,0.0,0.0,0.0,0.0,0.0,5.8240753539818e-5,6.707715275384542e-5,6.310275388074087e-5,5.65476582619357e-5,5.866665410763046e-5
t7,0.0,0.0,0.0,0.0,0.0,5.824075193387821e-5,6.707999581517289e-5,6.310288544102299e-5,5.654736219087826e-5,5.866653934791184e-5
t8,0.0,0.0,0.0,0.0,0.0,5.823974547968092e-5,6.708115386287598e-5,6.310314530412772e-5,5.654736807101147e-5,5.866646508032344e-5
t9,0.0,0.0,0.0,0.0,0.0,5.823737183101635e-5,6.709623255252713e-5,6.310457311507047e-5,5.6547346482796494e-5,5.866626298238857e-5
t10,0.0,0.0,0.0,0.0,0.0,5.82284555850003e-5,6.713662014193851e-5,6.310892362227169e-5,5.654718150488152e-5,5.86657772357064e-5
t11,0.0,0.0,0.0,0.0,0.0,5.8215959863855944e-5,6.713895771683999e-5,6.31153297137556e-5,5.6547865652415756e-5,5.866598822236655e-5
t12,0.0,0.0,0.0,0.0,0.0,5.820660132588514e-5,6.715097290681217e-5,6.311503323924161e-5,5.6547863503171215e-5,5.866554814591119e-5
t13,0.0,0.0,0.0,0.0,0.0,5.8199601895624314e-5,6.7155222976457e-5,6.311153674532703e-5,5.654765993640621e-5,5.866557460124291e-5
t14,0.0,0.0,0.0,0.0,0.0,5.8197437710057603e-5,6.714783131281333e-5,6.310541928149323e-5,5.654740994043309e-5,5.8665636241546544e-5
t15,0.0,0.0,0.0,0.0,0.0,5.820215425699801e-5,6.713581596155173e-5,6.309826657356411e-5,5.6546952768371106e-5,5.8665282381342046e-5
t16,0.0,0.0,0.0,0.0,0.0,5.8214074536073055e-5,6.709880422908135e-5,6.309192739843892e-5,5.654747785717875e-5,5.866545067026862e-5
t17,0.0,0.0,0.0,0.0,0.0,5.8228653741755377e-5,6.70792151924294e-5,6.307813454284931e-5,5.6547235098445295e-5,5.866534955176955e-5
t18,0.0,0.0,0.0,0.0,0.0,5.824217965846329e-5,6.708464168440805e-5,6.306848594006343e-5,5.6547405985602056e-5,5.866539185219108e-5
t19,0.0,0.0,0.0,0.0,0.0,5.8248373014373704e-5,6.712143670980883e-5,6.306349145093454e-5,5.6547480136870826e-5,5.8665259940205464e-5
t20,0.0,0.0,0.0,0.0,0.0,5.8249740780539995e-5,6.717075809389511e-5,6.306151956122015e-5,5.654723997158238e-5,5.8664836700605114e-5
