,Negative Emissions,Negative Emissions,Negative Emissions,Negative Emissions,Negative Emissions,Negative Emissions,Negative Emissions,Negative Emissions,Negative Emissions,Negative Emissions
Zone,1,2,3,4,5,6,7,8,9,10
AnnualSum,0.0,0.0,0.0,0.0,0.0,0.13097955243104037,0.15894607639602357,0.14641368402016958,0.12799863134258171,0.13459723757387473
t1,0.0,0.0,0.0,0.0,0.0,0.0001559284288501864,0.0001891639553753812,0.00017431860594565378,0.00015238172278585446,0.00016023516491683355
t2,0.0,0.0,0.0,0.0,0.0,0.00015593611690378875,0.00018912329927915723,0.0001743281448032517,0.00015238144791495135,0.00016023507633556255
t3,0.0,0.0,0.0,0.0,0.0,0.00015593845751817804,0.00018911671592281934,0.0001743272345032822,0.00015238171439515825,0.00016023545725738506
t4,0.0,0.0,0.0,0.0,0.0,0.00015593828950354532,0.0001891155172964177,0.0001743253694122525,0.00015238206057438354,0.00016023559579451396
t5,0.0,0.0,0.0,0.0,0.0,0.00015593854686133562,0.00018911447434428064,0.0001743248090998672,0.0001523816124116781,0.0001602354271869027
t6,0.0,0.0,0.0,0.0,0.0,0.00015593618915138864,0.00018910885243742756,0.00017432809872136774,0.00015238229582412833,0.00016023635991479351
t7,0.0,0.0,0.0,0.0,0.0,0.00015593635556215642,0.00018911095632486835,0.000174328159835495,0.00015238194795630695,0.00016023619820553094
t8,0.0,0.0,0.0,0.0,0.0,0.00015593514710035574,0.00018911125332549787,0.00017432824524017242,0.00015238187034434582,0.00016023612116538636
t9,0.0,0.0,0.0,0.0,0.0,0.00015593245609382401,0.00018912180136520238,0.00017432930254283823,0.00015238171026489095,0.00016023589128587697
t10,0.0,0.0,0.0,0.0,0.0,0.0001559217991955194,0.00018915272173274466,0.00017433298431417007,0.00015238156137334228,0.0001602353338168551
t11,0.0,0.0,0.0,0.0,0.0,0.00015590642329095294,0.00018915409201727577,0.00017433887766170938,0.00015238239343180916,0.0001602359133465876
t12,0.0,0.0,0.0,0.0,0.0,0.00015589532362812324,0.00018916251027548112,0.00017433860192916258,0.00015238242280391558,0.00016023539658063934
t13,0.0,0.0,0.0,0.0,0.0,0.00015588689985870376,0.00018916550124333122,0.00017433570718538628,0.00015238218553757473,0.000160235383386961
t14,0.0,0.0,0.0,0.0,0.0,0.00015588429213776194,0.00018915985479742322,0.0001743305718820868,0.00015238192113597825,0.0001602354556944464
t15,0.0,0.0,0.0,0.0,0.0,0.00015589018089546592,0.00018915131150689543,0.00017432473140781111,0.00015238145136388866,0.00016023504239906115
t16,0.0,0.0,0.0,0.0,0.0,0.0001559044972630057,0.00018912431298809954,0.00017432035008194997,0.0001523821402722758,0.00016023558078552436
t17,0.0,0.0,0.0,0.0,0.0,0.00015592237605358567,0.00018910953498983135,0.00017430874670173487,0.00015238187672551778,0.00016023546320389977
t18,0.0,0.0,0.0,0.0,0.0,0.00015593892865386068,0.00018911394988763855,0.00017430094435740137,0.00015238198308329174,0.00016023541972277113
t19,0.0,0.0,0.0,0.0,0.0,0.00015594646864111535,0.00018914231036148976,0.00017429684991749264,0.0001523819873477315,0.0001602352138356123
t20,0.0,0.0,0.0,0.0,0.0,0.0001559483772111042,0.00018917916634289233,0.00017429510838648927,0.00015238172477363877,0.00016023473322514622
t21,0.0,0.0,0.0,0.0,0.0,0.00015594486751992074,0.00018919639484907868,0.00017429754306551518,0.0001523826510050236,0.000160235063510027
t22,0.0,0.0,0.0,0.0,0.0,0.00015594261066867988,0.00018921287389763185,0.0001742985284201583,0.00015238231462919594,0.00016023470400555552
t23,0.0,0.0,0.0,0.0,0.0,0.00015593747811741004,0.0001892326308199065,0.00017430029935789463,0.00015238208500142555,0.00016023476300385342
t24,0.0,0.0,0.0,0.0,0.0,0.00015593436910308974,0.000189244940662833,0.00017429900781209382,0.00015238219085768703,0.000160234356683982
t25,0.0,0.0,0.0,0.0,0.0,0.00015593426633438905,0.00018925977454589706,0.00017430152267586095,0.0001523816229466668,0.0001602339388203184
t26,0.0,0.0,0.0,0.0,0.0,0.0001559328675495079,0.0001892678750133036,0.0001742998558552906,0.0001523826274440541,0.00016023433065742298
t27,0.0,0.0,0.0,0.0,0.0,0.00015593267519689894,0.0001892788112529861,0.00017429664508633973,0.00015238231861478506,0.00016023395129009763
t28,0.0,0.0,0.0,0.0,0.0,0.00015593173381596708,0.0001892883991749542,0.0001743045866911504,0.0001523821937265726,0.00016023407955546634
t29,0.0,0.0,0.0,0.0,0.0,0.00015593157370127913,0.00018929959047964788,0.00017430723436058428,0.0001523818812739039,0.00016023411205395928
t30,0.0,0.0,0.0,0.0,0.0,0.000155933157071494,0.00018931017239374705,0.00017430949981510154,0.0001523812970869189,0.00016023403928471853
t31,0.0,0.0,0.0,0.0,0.0,0.0001559346750982918,0.00018931417161693686,0.000174312976782072,0.0001523820176815338,0.0001602346258981101
t32,0.0,0.0,0.0,0.0,0.0,0.00015593385764729425,0.00018932250494719141,0.00017431301567181958,0.0001523815914231251,0.00016023436007398643
t33,0.0,0.0,0.0,0.0,0.0,0.00015593188115218255,0.00018933061259699882,0.00017431552732383648,0.0001523811839944323,0.0001602342342265875
t34,0.0,0.0,0.0,0.0,0.0,0.000155924234235696,0.00018933743151504172,0.00017431758950859638,0.00015238107527001794,0.00016023434380314457
t35,0.0,0.0,0.0,0.0,0.0,0.0001559148874862041,0.0001893389431114714,0.0001743204982268762,0.00015238047021458426,0.0001602340824975796
t36,0.0,0.0,0.0,0.0,0.0,0.0001559101982510461,0.0001893355330134537,0.00017432222380614894,0.00015238122159265646,0.00016023473727742036
t37,0.0,0.0,0.0,0.0,0.0,0.00015590534623804636,0.00018933438258676954,0.0001743216118430783,0.0001523809415867062,0.0001602346078311948
t38,0.0,0.0,0.0,0.0,0.0,0.00015590377034028696,0.00018933221163676338,0.00017431961923094526,0.00015238041312470141,0.00016023484768583118
t39,0.0,0.0,0.0,0.0,0.0,0.00015590844652347405,0.0001893274461829376,0.00017431554871613755,0.0001523801004728896,0.00016023491733398662
t40,0.0,0.0,0.0,0.0,0.0,0.00015591585354383757,0.0001893282842681139,0.00017431285542358134,0.00015237991820388623,0.0001602346273990594
t41,0.0,0.0,0.0,0.0,0.0,0.00015592593721545282,0.0001893278387047033,0.00017431443885252242,0.00015238060373211592,0.00016023544694267804
t42,0.0,0.0,0.0,0.0,0.0,0.00015593067548501946,0.00018933331097982075,0.00017431432870600386,0.00015238015331275767,0.0001602354037256974
t43,0.0,0.0,0.0,0.0,0.0,0.0001559303955194019,0.00018933918397382742,0.00017431350987838127,0.00015238053494604411,0.00016023523207029403
t44,0.0,0.0,0.0,0.0,0.0,0.00015592849834750291,0.00018934488446456884,0.00017431248425722095,0.00015238080416942314,0.00016023482862426551
t45,0.0,0.0,0.0,0.0,0.0,0.0001559276649809183,0.00018934649808417337,0.00017431116520641733,0.0001523806992994111,0.00016023421914610587
t46,0.0,0.0,0.0,0.0,0.0,0.00015592890688920235,0.0001893441088251817,0.00017431334369699366,0.00015238150954267532,0.00016023450086510176
t47,0.0,0.0,0.0,0.0,0.0,0.0001559295200896019,0.00018932411137078707,0.00017431394328854292,0.00015238157534967233,0.00016023468735078752
t48,0.0,0.0,0.0,0.0,0.0,0.000155928467379204,0.00018931798295444136,0.00017431317680040247,0.00015238142428367822,0.00016023452336267987
t49,0.0,0.0,0.0,0.0,0.0,0.00015592785637830655,0.00018931567815509646,0.0001743130742570073,0.00015238136065367326,0.0001602346332729976
t50,0.0,0.0,0.0,0.0,0.0,0.00015592712505967335,0.00018930890459040216,0.00017431413273457782,0.00015238089245230122,0.00016023442124456975
t51,0.0,0.0,0.0,0.0,0.0,0.00015592684558106182,0.0001893030947232145,0.00017431837924559326,0.00015238177708181414,0.000160234814330939
t52,0.0,0.0,0.0,0.0,0.0,0.00015592556626386523,0.00018930199319957576,0.0001743197123910863,0.00015238121919367367,0.0001602349087945646
t53,0.0,0.0,0.0,0.0,0.0,0.0001559250255048857,0.00018929772617658577,0.00017432003055189307,0.00015238090165989692,0.00016023528045923732
t54,0.0,0.0,0.0,0.0,0.0,0.00015592594688822815,0.00018930031748847187,0.0001743200715028118,0.00015238054597117658,0.00016023579264187778
t55,0.0,0.0,0.0,0.0,0.0,0.00015592747778532044,0.00018930838983894588,0.00017431977816541433,0.00015238016852026843,0.0001602357550660189
t56,0.0,0.0,0.0,0.0,0.0,0.000155929474457761,0.00018930545314523042,0.00017432245886495656,0.00015238110056908538,0.00016023627726743746
t57,0.0,0.0,0.0,0.0,0.0,0.00015592855028307727,0.00018930894346236293,0.00017432369158268163,0.00015238066091815202,0.0001602358825160982
t58,0.0,0.0,0.0,0.0,0.0,0.0001559260255360521,0.0001893118693115755,0.0001743239520630719,0.00015238016193281097,0.00016023580197050316
t59,0.0,0.0,0.0,0.0,0.0,0.0001559253588633762,0.00018932227019881483,0.00017432239875061955,0.00015238009425325958,0.00016023569424574583
t60,0.0,0.0,0.0,0.0,0.0,0.00015592497396549527,0.000189321420863995,0.00017432000320555875,0.00015237942206781707,0.00016023557523016518
t61,0.0,0.0,0.0,0.0,0.0,0.00015592592683132695,0.00018931112575904763,0.00017432115300223167,0.0001523801700123777,0.00016023602524864125
t62,0.0,0.0,0.0,0.0,0.0,0.0001559236696442129,0.00018930019966111188,0.00017432017513740222,0.00015237970859025793,0.00016023599514784247
t63,0.0,0.0,0.0,0.0,0.0,0.00015592403627172918,0.000189295787584492,0.00017431702130804843,0.0001523792220739387,0.00016023629046611634
t64,0.0,0.0,0.0,0.0,0.0,0.00015592614825023172,0.00018929075280303925,0.00017431458281731707,0.00015237876366086281,0.00016023643008771085
t65,0.0,0.0,0.0,0.0,0.0,0.00015593025248559364,0.00018929075542146174,0.00017431283300536565,0.00015237802784919184,0.00016023637764445308
t66,0.0,0.0,0.0,0.0,0.0,0.00015593684337476187,0.00018928653126350068,0.00017431245578235035,0.0001523790818348397,0.00016023681275274392
t67,0.0,0.0,0.0,0.0,0.0,0.00015593645296231798,0.00018929050591631635,0.00017430850853283308,0.00015237881189755786,0.0001602364894773887
t68,0.0,0.0,0.0,0.0,0.0,0.00015593645786356755,0.00018929193859419763,0.00017430233021157904,0.00015237866047910993,0.0001602364336778248
t69,0.0,0.0,0.0,0.0,0.0,0.00015593591131185237,0.00018929413289261627,0.0001743040725647266,0.00015237832224096104,0.0001602362930602599
