Resource,Zone,Investment_Cost,Fixed_OM_Cost,Var_OM_Cost,Startup_Cost
Liquid_DAC_1,1,0.0,0.0,0.0,0.0
Liquid_DAC_2,2,0.0,0.0,0.0,0.0
Liquid_DAC_3,3,0.0,0.0,0.0,0.0
Liquid_DAC_4,4,0.0,0.0,0.0,0.0
Liquid_DAC_5,5,0.0,0.0,0.0,0.0
Liquid_DAC_6,6,52.06722598227576,17.729788157757696,0.0016257059248359752,0.0
Liquid_DAC_7,7,53.87665918614334,18.34593136079881,0.0016519276624476884,0.0
Liquid_DAC_8,8,52.265216937450816,17.79720749163196,0.001631812181901653,0.0
Liquid_DAC_9,9,49.95025295005687,17.008922340752125,0.001555455536202507,0.0
Liquid_DAC_10,10,50.08335308008573,17.05424522985678,0.0015619982600095568,0.0
Solid_DAC_1,1,0.0,0.0,0.0,0.0
Solid_DAC_2,2,0.0,0.0,0.0,0.0
Solid_DAC_3,3,0.0,0.0,0.0,0.0
Solid_DAC_4,4,0.0,0.0,0.0,0.0
Solid_DAC_5,5,0.0,0.0,0.0,0.0
Solid_DAC_6,6,207.4073122185124,22.76802073977655,0.002548302431306173,0.0
Solid_DAC_7,7,255.7701681422756,28.077025976520478,0.003163142477193249,0.0
Solid_DAC_8,8,234.28796156410644,25.718828863428225,0.0028903917385963624,0.0
Solid_DAC_9,9,203.53086525401602,22.342485960215292,0.00249778564866362,0.0
Solid_DAC_10,10,214.9451075749958,23.595477974398037,0.0026429926940882823,0.0
