Resource,Zone,Investment_Cost,Fixed_OM_Cost,Total_Cost
CAPTURE_COMP_1,1,0.0,0.0,0.0
CAPTURE_COMP_2,2,0.0,0.0,0.0
CAPTURE_COMP_3,3,0.0,0.0,0.0
CAPTURE_COMP_4,4,0.0,0.0,0.0
CAPTURE_COMP_5,5,0.0,0.0,0.0
CAPTURE_COMP_6,6,13.7022211632089,4.738310208947926,18.440531372156826
CAPTURE_COMP_7,7,15.433683550795712,5.337060280910026,20.770743831705737
CAPTURE_COMP_8,8,14.342373636822675,4.959678771378652,19.302052408201327
CAPTURE_COMP_9,9,13.431463556289904,4.644680605562212,18.076144161852117
CAPTURE_COMP_10,10,13.799776852848558,4.772045551171251,18.57182240401981
