Resource,Zone,Capacity
Liquid_DAC_1,1,0.0
Liquid_DAC_2,2,0.0
Liquid_DAC_3,3,0.0
Liquid_DAC_4,4,0.0
Liquid_DAC_5,5,0.0
Liquid_DAC_6,6,5.123920050216084e-5
Liquid_DAC_7,7,5.301985827639677e-5
Liquid_DAC_8,8,5.143404280571054e-5
Liquid_DAC_9,9,4.91558937077398e-5
Liquid_DAC_10,10,4.928687714541581e-5
Solid_DAC_1,1,0.0
Solid_DAC_2,2,0.0
Solid_DAC_3,3,0.0
Solid_DAC_4,4,0.0
Solid_DAC_5,5,0.0
Solid_DAC_6,6,0.0001780198031195389
Solid_DAC_7,7,0.00021953013367517733
Solid_DAC_8,8,0.00020109173753227798
Solid_DAC_9,9,0.00017469260930924575
Solid_DAC_10,10,0.00018448956945016292
Total,n/a,0.0012119597255238266
