Resource,Zone,Investment_Cost,Fixed_OM_Cost,Total_Cost
GEO_SEQ_INJECT_1,1,0.0,0.0,0.0
GEO_SEQ_INJECT_2,2,0.0,0.0,0.0
GEO_SEQ_INJECT_3,3,0.0,0.0,0.0
GEO_SEQ_INJECT_4,4,0.0,0.0,0.0
GEO_SEQ_INJECT_5,5,0.0,0.0,0.0
GEO_SEQ_INJECT_6,6,2.782084175486165,4.485134655542029,7.2672188310281935
GEO_SEQ_INJECT_7,7,2.8304732766436063,4.563145104134528,7.393618380778134
GEO_SEQ_INJECT_8,8,2.784922507859788,4.489710470682726,7.274632978542514
GEO_SEQ_INJECT_9,9,2.7841538336295835,4.488471253171233,7.272625086800817
GEO_SEQ_INJECT_10,10,2.7754976963840066,4.47451626881621,7.250013965200216
GEO_SEQ_GAS_INJECT_1,1,0.0,0.0,0.0
GEO_SEQ_GAS_INJECT_2,2,0.0,0.0,0.0
GEO_SEQ_GAS_INJECT_3,3,0.0,0.0,0.0
GEO_SEQ_GAS_INJECT_4,4,0.0,0.0,0.0
GEO_SEQ_GAS_INJECT_5,5,0.0,0.0,0.0
GEO_SEQ_GAS_INJECT_6,6,0.0,0.0,0.0
GEO_SEQ_GAS_INJECT_7,7,0.0,0.0,0.0
GEO_SEQ_GAS_INJECT_8,8,0.0,0.0,0.0
GEO_SEQ_GAS_INJECT_9,9,0.0,0.0,0.0
GEO_SEQ_GAS_INJECT_10,10,0.0,0.0,0.0
