,Capture,Capture,Capture,Capture,Capture,Capture,Capture,Capture,Capture,Capture
Zone,1,2,3,4,5,6,7,8,9,10
AnnualSum,0.0,0.0,0.0,0.0,0.0,0.17989431982650328,0.2154234718523196,0.19939173574218352,0.17549638457772163,0.18387474578558466
t1,0.0,0.0,0.0,0.0,0.0,0.0002141617181906623,0.000256340958560769,0.0002374097133152594,0.0002089301401692825,0.0002189007050908801
t2,0.0,0.0,0.0,0.0,0.0,0.0002141761077524891,0.0002562247383530251,0.00023743158872231655,0.0002089284157733119,0.00021890050982342692
t3,0.0,0.0,0.0,0.0,0.0,0.00021418066104832623,0.0002562056116622671,0.00023742969893295686,0.0002089287328436717,0.000218901425098821
t4,0.0,0.0,0.0,0.0,0.0,0.00021418058280481552,0.00025620253676420055,0.00023742557882452448,0.00020892937172630824,0.00021890173426170935
t5,0.0,0.0,0.0,0.0,0.0,0.00021418095867902873,0.0002562004054591924,0.00023742435217689113,0.00020892863577106632,0.00021890146634977027
t6,0.0,0.0,0.0,0.0,0.0,0.00021417694269120665,0.000256186005191273,0.0002374308526021086,0.00020892995408606404,0.00021890301402242396
t7,0.0,0.0,0.0,0.0,0.0,0.0002141771074960346,0.00025619095214004123,0.00023743104527651797,0.0002089293101471852,0.00021890273755344278
t8,0.0,0.0,0.0,0.0,0.0,0.00021417489258003666,0.00025619240718837387,0.00023743139054430016,0.00020892923841535729,0.00021890258624570979
t9,0.0,0.0,0.0,0.0,0.0,0.00021416982792484037,0.00025621803391772947,0.0002374338756579087,0.00020892905674768742,0.00021890215426826555
t10,0.0,0.0,0.0,0.0,0.0,0.00021415025478051968,0.00025628934187468317,0.00023744190793644176,0.00020892874287822377,0.00021890111105256148
t11,0.0,0.0,0.0,0.0,0.0,0.0002141223831548089,0.00025629304973411575,0.00023745420737546498,0.00020893025908422493,0.00021890190156895417
t12,0.0,0.0,0.0,0.0,0.0,0.0002141019249540084,0.0002563134831822933,0.00023745363516840422,0.00020893028630708678,0.00021890094472655052
t13,0.0,0.0,0.0,0.0,0.0,0.00021408650175432808,0.00025632072421978824,0.00023744724393071333,0.00020892984547398092,0.00021890095798820394
t14,0.0,0.0,0.0,0.0,0.0,0.00021408172984781955,0.00025630768611023655,0.00023743599116358,0.00020892933107641133,0.00021890109193599294
t15,0.0,0.0,0.0,0.0,0.0,0.00021409233515246392,0.00025628712746844716,0.0002374229979813752,0.00020892840413225976,0.00021890032478040318
t16,0.0,0.0,0.0,0.0,0.0,0.00021411857179907877,0.00025622311721718087,0.00023741227748038892,0.00020892961812945453,0.00021890103145579296
t17,0.0,0.0,0.0,0.0,0.0,0.00021415102979534104,0.00025618875018226073,0.00023738688124458416,0.0002089291118239631,0.0002189008127556693
t18,0.0,0.0,0.0,0.0,0.0,0.00021418110831232398,0.0002561985915720466,0.0002373694302974648,0.0002089293890688938,0.0002189008115749622
t19,0.0,0.0,0.0,0.0,0.0,0.00021419484165548905,0.0002562637470712986,0.00023736034136842717,0.0002089294674846023,0.00021890047377581774
t20,0.0,0.0,0.0,0.0,0.0,0.00021419811799164418,0.00025634992443678744,0.00023735662794770944,0.00020892896474522112,0.00021889956992575133
t21,0.0,0.0,0.0,0.0,0.0,0.0002141918170744475,0.0002563953566058024,0.0002373616079232663,0.00020893061386743791,0.0002188998912978501
t22,0.0,0.0,0.0,0.0,0.0,0.000214187424393099,0.0002564495148228038,0.00023736400205556186,0.00020892998060005074,0.00021889919036229352
t23,0.0,0.0,0.0,0.0,0.0,0.00021417800224663415,0.0002565140462512346,0.0002373682451843863,0.00020892953884532131,0.0002188993498447762
t24,0.0,0.0,0.0,0.0,0.0,0.00021417221998891483,0.00025655888895151694,0.00023736614117697178,0.0002089297843634592,0.00021889860195126548
t25,0.0,0.0,0.0,0.0,0.0,0.00021417171029832247,0.0002566042530965365,0.00023737130078549008,0.00020892865408509657,0.00021889780756153163
t26,0.0,0.0,0.0,0.0,0.0,0.0002141692005678253,0.0002566282889100003,0.00023736758505407126,0.0002089305359165685,0.00021889824893692278
t27,0.0,0.0,0.0,0.0,0.0,0.0002141684965965433,0.00025666150622325276,0.000237361104316426,0.00020892984727539782,0.00021889755896732714
t28,0.0,0.0,0.0,0.0,0.0,0.00021416664476718678,0.0002566902527770986,0.00023737792320506604,0.0002089296806123462,0.00021889781197002926
t29,0.0,0.0,0.0,0.0,0.0,0.00021416614242468615,0.00025672305053950074,0.00023738410660152225,0.00020892904390180114,0.00021889789155293815
t30,0.0,0.0,0.0,0.0,0.0,0.00021416870198523425,0.0002567537912353657,0.00023738902123112316,0.0002089279581799529,0.00021889771221333417
t31,0.0,0.0,0.0,0.0,0.0,0.00021417143521994258,0.0002567648398862066,0.00023739589383479557,0.00020892933940091488,0.00021889856957714863
t32,0.0,0.0,0.0,0.0,0.0,0.00021416972754480273,0.00025679172527607686,0.000237395520428826,0.00020892866323223282,0.00021889811928305243
t33,0.0,0.0,0.0,0.0,0.0,0.00021416589714513538,0.00025682018121056543,0.00023739935637493784,0.00020892797923465053,0.0002188980033041489
t34,0.0,0.0,0.0,0.0,0.0,0.00021415189491602772,0.00025684483778603043,0.000237402860600787,0.00020892787646834156,0.0002188983841102902
t35,0.0,0.0,0.0,0.0,0.0,0.0002141347420354614,0.00025685230049217353,0.00023740936459086678,0.00020892676509780397,0.0002188979282291199
t36,0.0,0.0,0.0,0.0,0.0,0.00021412616015872266,0.0002568394898989785,0.00023741405494117252,0.00020892801302958104,0.00021889893090801357
t37,0.0,0.0,0.0,0.0,0.0,0.00021411708689164237,0.0002568338577002526,0.00023741380373513513,0.00020892748922867816,0.00021889867154441925
t38,0.0,0.0,0.0,0.0,0.0,0.00021411415414101219,0.00025682448155696304,0.00023741031774240361,0.0002089264653249637,0.00021889908468145997
t39,0.0,0.0,0.0,0.0,0.0,0.00021412253496275603,0.0002568088481196347,0.0002374019087182275,0.00020892586759538952,0.00021889914431740275
t40,0.0,0.0,0.0,0.0,0.0,0.00021413589602498572,0.00025680953854920386,0.00023739609696437708,0.00020892553387627942,0.00021889853807539083
t41,0.0,0.0,0.0,0.0,0.0,0.00021415441553384912,0.00025680662750515265,0.0002373992302244815,0.00020892687068737394,0.0002188998288071649
t42,0.0,0.0,0.0,0.0,0.0,0.00021416296398784666,0.0002568256335690916,0.00023739912611278046,0.00020892603125827072,0.00021889982729103255
t43,0.0,0.0,0.0,0.0,0.0,0.0002141625014268969,0.0002568481988877928,0.00023739758436410865,0.00020892690019957925,0.00021889960058785518
t44,0.0,0.0,0.0,0.0,0.0,0.0002141590766466459,0.00025687172699455076,0.0002373956424176291,0.00020892745205586217,0.0002188989271716139
t45,0.0,0.0,0.0,0.0,0.0,0.00021415742965252775,0.0002568800458514235,0.0002373930835060376,0.00020892716610795487,0.00021889782840269395
t46,0.0,0.0,0.0,0.0,0.0,0.0002141598944832034,0.000256865982680939,0.00023739742263316192,0.0002089285670054339,0.00021889818925696506
t47,0.0,0.0,0.0,0.0,0.0,0.00021416094302176988,0.0002568055522637359,0.00023739913545596617,0.0002089286683683053,0.0002188988419664378
t48,0.0,0.0,0.0,0.0,0.0,0.00021415908742010306,0.0002567855155345241,0.00023739790185838558,0.00020892826817368003,0.00021889874558570266
t49,0.0,0.0,0.0,0.0,0.0,0.00021415794962467997,0.00025677542512808155,0.00023739793523038495,0.00020892817508715077,0.00021889900986907926
t50,0.0,0.0,0.0,0.0,0.0,0.00021415647369016526,0.0002567533179400759,0.00023740055528165678,0.00020892719639927174,0.00021889862864465042
t51,0.0,0.0,0.0,0.0,0.0,0.00021415613477086213,0.00025673221047366966,0.0002374095845209792,0.00020892867805528015,0.00021889910305983898
t52,0.0,0.0,0.0,0.0,0.0,0.00021415369017983006,0.00025672600808854094,0.00023741263468366706,0.00020892753295059238,0.0002188992664016836
t53,0.0,0.0,0.0,0.0,0.0,0.000214152701734633,0.00025671192789088025,0.00023741345509193247,0.00020892693891183387,0.0002189000754778473
t54,0.0,0.0,0.0,0.0,0.0,0.00021415434970261223,0.00025671770458669617,0.000237413521119478,0.00020892628780190152,0.00021890130778128906
t55,0.0,0.0,0.0,0.0,0.0,0.00021415698863310126,0.00025673911980854364,0.0002374127294909048,0.00020892552809890602,0.00021890130972154927
t56,0.0,0.0,0.0,0.0,0.0,0.00021416078969965728,0.00025673037675002017,0.00023741745873041414,0.00020892726030576251,0.00021890197002712885
t57,0.0,0.0,0.0,0.0,0.0,0.00021415898111230765,0.0002567424057126744,0.00023741879050506907,0.00020892651513021177,0.00021890117758266355
t58,0.0,0.0,0.0,0.0,0.0,0.0002141543953431609,0.0002567543250579039,0.00023741843519628177,0.00020892565997316834,0.0002189009927434307
t59,0.0,0.0,0.0,0.0,0.0,0.0002141531608167554,0.0002567845209869412,0.0002374148438748817,0.00020892574942764152,0.00021890061239410717
t60,0.0,0.0,0.0,0.0,0.0,0.0002141523555397837,0.00025678258615636097,0.00023740980101235676,0.00020892436344847114,0.00021890031862460314
t61,0.0,0.0,0.0,0.0,0.0,0.00021415424345710087,0.00025674893538030663,0.00023741271477560152,0.00020892575103441066,0.0002189008726098496
t62,0.0,0.0,0.0,0.0,0.0,0.0002141501163929967,0.0002567157604110758,0.00023741121102797264,0.00020892481974718626,0.00021890075859353245
t63,0.0,0.0,0.0,0.0,0.0,0.00021415079649724872,0.00025670005193195223,0.00023740476233913776,0.0002089237794483112,0.00021890136120827973
t64,0.0,0.0,0.0,0.0,0.0,0.00021415470223084746,0.0002566843060346608,0.0002373996685870259,0.00020892285082622342,0.00021890167148438396
t65,0.0,0.0,0.0,0.0,0.0,0.00021416216585507718,0.00025668265960738677,0.00023739598177156872,0.0002089214181138675,0.0002189016989165573
t66,0.0,0.0,0.0,0.0,0.0,0.00021417440972101775,0.00025666943153970583,0.0002373946656251834,0.0002089231937495983,0.0002189023041427739
t67,0.0,0.0,0.0,0.0,0.0,0.0002141737826734673,0.0002566815347252111,0.00023738583543803877,0.00020892266845386605,0.00021890181573024366
t68,0.0,0.0,0.0,0.0,0.0,0.0002141739617621977,0.0002566871767553366,0.00023737280764366472,0.00020892240422007728,0.0002189018191312847
t69,0.0,0.0,0.0,0.0,0.0,0.00021417301378884456,0.00025669477186128736,0.000237376289202861,0.0002089217367850197,0.00021890153262816892
t70,0.0,0.0,0.0,0.0,0.0,0.0002141717130737007,0.0002566936060911382,0.00023737493069987553,0.0002089204829530627,0.00021890036699642512
t71,0.0,0.0,0.0,0.0,0.0,0.00021417204344531196,0.0002566251546635222,0.00023739441462583636,0.00020892210064969434,0.00021889999548478946
t72,0.0,0.0,0.0,0.0,0.0,0.00021416833464152596,0.00025660840749482366,0.00023739833564260246,0.0002089212333213567,0.00021889809993382245
t73,0.0,0.0,0.0,0.0,0.0,0.00021417043258771664,0.00025659771655510747,0.0002373997307040194,0.00020892028671207034,0.00021889720741129725
t74,0.0,0.0,0.0,0.0,0.0,0.00021417121532092023,0.0002565602033765237,0.00023739943490692415,0.00020891919959000325,0.000218896378787809
t75,0.0,0.0,0.0,0.0,0.0,0.00021417256999179332,0.0002565380391135445,0.0002373988002364645,0.00020891770403689994,0.00021889530281198435
t76,0.0,0.0,0.0,0.0,0.0,0.00021417559932714554,0.0002565108062328592,0.00023740424573837475,0.00020891937970446073,0.00021889587862305605
t77,0.0,0.0,0.0,0.0,0.0,0.00021418032442700567,0.00025650080600814646,0.00023740289243931218,0.00020891827952343456,0.00021889543316698875
t78,0.0,0.0,0.0,0.0,0.0,0.00021418664849644347,0.0002564978506463637,0.0002373989874359042,0.0002089176712880432,0.00021889569725833073
