Resource,Zone,Capacity
CAPTURE_COMP_1,1,0.0
CAPTURE_COMP_2,2,0.0
CAPTURE_COMP_3,3,0.0
CAPTURE_COMP_4,4,0.0
CAPTURE_COMP_5,5,0.0
CAPTURE_COMP_6,6,0.000364485400688302
CAPTURE_COMP_7,7,0.00041054309853154043
CAPTURE_COMP_8,8,0.00038151375164451165
CAPTURE_COMP_9,9,0.0003572831235047855
CAPTURE_COMP_10,10,0.0003670804270131732
Total,n/a,0.0018809058013823127
