,Power Consumption,Power Consumption,Power Consumption,Power Consumption,Power Consumption,Power Consumption,Power Consumption,Power Consumption,Power Consumption,Power Consumption
Zone,1,2,3,4,5,6,7,8,9,10
AnnualSum,0.0,0.0,0.0,0.0,0.0,0.0452711419030564,0.05351548915452069,0.049766561994593554,0.044090935425620814,0.046033880763473166
t1,0.0,0.0,0.0,0.0,0.0,5.38949818735165e-5,6.367101209341899e-5,5.925944058026835e-5,5.2491309794099075e-5,5.4803204699185544e-5
t2,0.0,0.0,0.0,0.0,0.0,5.38995291797176e-5,6.362716581272102e-5,5.92670670614319e-5,5.249055019384474e-5,5.480313776296502e-5
t3,0.0,0.0,0.0,0.0,0.0,5.390099867676939e-5,6.361991419620606e-5,5.926643686061955e-5,5.2490618156066875e-5,5.480346289751694e-5
t4,0.0,0.0,0.0,0.0,0.0,5.39010158621842e-5,6.361879496685588e-5,5.926502320395522e-5,5.249081844579247e-5,5.480356944467015e-5
t5,0.0,0.0,0.0,0.0,0.0,5.390111586964429e-5,6.361808964418674e-5,5.926460399850129e-5,5.249060412321233e-5,5.480349323786816e-5
t6,0.0,0.0,0.0,0.0,0.0,5.389991717644173e-5,6.361285093856343e-5,5.9266719136273213e-5,5.24910276820833e-5,5.480394717839977e-5
t7,0.0,0.0,0.0,0.0,0.0,5.389994323605555e-5,6.361459328914805e-5,5.926679391415865e-5,5.2490825458169754e-5,5.480386445847728e-5
t8,0.0,0.0,0.0,0.0,0.0,5.389925161845781e-5,6.361521263498425e-5,5.9266935920731064e-5,5.249081583617002e-5,5.480381538101702e-5
t9,0.0,0.0,0.0,0.0,0.0,5.3897646155195406e-5,6.362435502701157e-5,5.926781105965525e-5,5.249077935335813e-5,5.4803678565369574e-5
t10,0.0,0.0,0.0,0.0,0.0,5.389152696602627e-5,6.364927300675015e-5,5.927055184485032e-5,5.249067392226254e-5,5.480334892752496e-5
t11,0.0,0.0,0.0,0.0,0.0,5.388288007800835e-5,6.365064755823623e-5,5.927466378818236e-5,5.2491145765878036e-5,5.480354654874477e-5
t12,0.0,0.0,0.0,0.0,0.0,5.387647120181613e-5,6.365793464931173e-5,5.927447300493696e-5,5.2491149444847627e-5,5.4803246014058026e-5
t13,0.0,0.0,0.0,0.0,0.0,5.387165817521023e-5,6.366051440700396e-5,5.9272280614957186e-5,5.249101071248816e-5,5.480325693912518e-5
t14,0.0,0.0,0.0,0.0,0.0,5.3870169507433105e-5,6.365595598745559e-5,5.9268433408764345e-5,5.249084469176563e-5,5.480329902217332e-5
t15,0.0,0.0,0.0,0.0,0.0,5.387344702894055e-5,6.364864864157864e-5,5.92639615900243e-5,5.2490543304429204e-5,5.480305772565303e-5
