Line,Existing_Trans_Capacity,New_Trans_Capacity
1,0.0,0.03193312
2,0.0,0.009034315
3,0.0,0.0062005757
4,0.0,66.48764
5,0.0,0.0048255185
6,0.0,0.028573623
7,0.0,440.5644
8,0.0,0.003639051
9,0.0,0.0027980984
10,0.0,4.8688536
11,0.0,10.674567
12,0.0,0.008283285
13,0.0,0.0023193979
14,0.0,0.004766938
15,0.0,127.24249
16,0.0,0.00408286
17,0.0,0.010625827
18,0.0,2.7398994
19,0.0,0.0027331472
20,0.0,0.001992093
21,0.0,0.0036752059
22,0.0,0.03167251
23,0.0,10.442481
24,0.0,0.017368726
25,0.0,0.0023924385
26,0.0,0.001663288
27,0.0,0.0021649282
28,0.0,0.0068240874
29,0.0,0.011298826
30,0.0,10.331421
31,0.0,0.0033542512
32,0.0,0.031281788
33,0.0,0.014553128
34,0.0,0.0013940381
35,0.0,0.0016486656
36,0.0,278.82596
37,0.0,0.0035685415
38,0.0,0.0014076427
39,0.0,0.00105695
40,0.0,56.7277
41,0.0,0.0021243298
42,0.0,0.0016831661
43,0.0,0.009994863
44,0.0,0.0049714353
45,0.0,0.007983663
