Pipelines,1,2,3
t1,47.000516391282744,0.0,0.0
t2,53.57144247554416,0.0,0.0
t3,59.612368559805574,0.0,0.0
t4,63.40329464406699,0.0,0.0
t5,63.40329464406699,0.0,0.0
t6,63.40329464406699,0.0,0.0
t7,63.403294644067,0.0,0.0
t8,63.403294644066996,0.0,0.0
t9,63.40329464406703,0.0,0.0
t10,63.40329464406703,0.0,0.0
t11,63.40329464406703,0.0,0.0
t12,63.40329464406703,0.0,0.0
t13,63.40329464406703,0.0,0.0
t14,46.46185628255793,0.0,0.0
t15,29.520417921048832,0.0,0.0
t16,23.2817678259158,0.0,0.0
t17,6.3403294644067,0.0,0.0
t18,6.3403294644067,0.0,0.0
t19,6.3403294644067,0.0,0.0
t20,9.4717678259158,0.0,0.0
t21,9.4717678259158,0.0,0.0
t22,9.942693910177214,0.0,0.0
t23,13.203619994438627,0.0,0.0
t24,27.465058355947725,0.0,0.0
t25,32.76598444020914,0.0,0.0
t26,38.756910524470555,0.0,0.0
t27,44.88783660873197,0.0,0.0
t28,50.21876269299339,0.0,0.0
t29,53.5796887772548,0.0,0.0
t30,54.10061486151622,0.0,0.0
t31,54.10061486151622,0.0,0.0
t32,54.10061486151622,0.0,0.0
t33,49.284865647844924,0.0,0.0
t34,49.284865647844924,0.0,0.0
t35,49.284865647844924,0.0,0.0
t36,49.284865647844924,0.0,0.0
t37,49.284865647844924,0.0,0.0
t38,40.287801975943104,0.0,0.0
t39,35.52773813849852,0.0,0.0
t40,35.52773813849852,0.0,0.0
t41,35.52773813849852,0.0,0.0
t42,35.52773813849852,0.0,0.0
t43,35.52773813849852,0.0,0.0
t44,35.52773813849852,0.0,0.0
t45,35.52773813849852,0.0,0.0
t46,35.52773813849852,0.0,0.0
t47,37.11866422275993,0.0,0.0
t48,40.959590307021344,0.0,0.0
t49,47.06051639128276,0.0,0.0
t50,53.61144247554417,0.0,0.0
t51,59.662368559805586,0.0,0.0
t52,63.403294644067,0.0,0.0
t53,63.403294644067,0.0,0.0
t54,63.403294644067,0.0,0.0
t55,63.403294644067,0.0,0.0
t56,63.403294644067,0.0,0.0
t57,63.403294644067,0.0,0.0
t58,63.403294644067,0.0,0.0
t59,63.403294644066996,0.0,0.0
t60,46.461856282557896,0.0,0.0
t61,46.4618562825579,0.0,0.0
t62,46.4618562825579,0.0,0.0
t63,29.520417921048804,0.0,0.0
t64,29.52041792104886,0.0,0.0
t65,29.52041792104886,0.0,0.0
t66,29.52041792104886,0.0,0.0
t67,29.52041792104886,0.0,0.0
t68,29.52041792104886,0.0,0.0
t69,29.52041792104886,0.0,0.0
t70,29.52041792104886,0.0,0.0
t71,32.641344005310295,0.0,0.0
t72,37.79227008957171,0.0,0.0
t73,43.823196173833125,0.0,0.0
t74,50.32412225809411,0.0,0.0
t75,59.84236855980558,0.0,0.0
t76,63.403294644066996,0.0,0.0
t77,63.403294644067,0.0,0.0
t78,63.403294644066996,0.0,0.0
t79,63.403294644067,0.0,0.0
t80,63.403294644067,0.0,0.0
t81,46.4618562825579,0.0,0.0
t82,46.4618562825579,0.0,0.0
t83,46.46185628255789,0.0,0.0
t84,46.46185628255789,0.0,0.0
t85,46.46185628255789,0.0,0.0
t86,46.46185628255789,0.0,0.0
t87,46.46185628255775,0.0,0.0
t88,46.46185628255775,0.0,0.0
