,Power Consumption,Power Consumption,Power Consumption,Power Consumption,Power Consumption,Power Consumption,Power Consumption,Power Consumption,Power Consumption,Power Consumption
Zone,1,2,3,4,5,6,7,8,9,10
AnnualSum,89.686491663372,13991.388615308491,6.191128343825873,15.270341013490855,3155.6537628697265,2504.069534993288,19786.06554620534,29574.328523808792,2.7055505060340965,1363.4406621193782
t1,0.1071734645213841,16.71614602583545,0.0074301474434472665,0.018266240999663782,3.7702134483654244,3.001037975294347,23.63936542360982,35.33375361028071,0.00321975708135808,1.6241198340992877
t2,0.10717416550162075,16.71614561013288,0.007430146552533696,0.018266602534675793,3.770213288244414,3.0010379116460144,23.639366586443025,35.33375406842383,0.003219938964815702,1.6241198749437893
t3,0.10717456782534242,16.716145365219482,0.007430262740660152,0.01826660220765601,3.770212902668659,3.0010381569500453,23.639366488258325,35.33375373645692,0.003220060971765781,1.624119885629338
t4,0.10717492056187765,16.716145142316083,0.007430394722911466,0.018266562528662118,3.7702128608016636,3.0010379260037108,23.639366480756394,35.33375366099967,0.003220094968521707,1.624119880498764
t5,0.107174958644223,16.71614489492197,0.007430582747815485,0.01826660034463665,3.770212872223779,3.0010373102356205,23.639365633495693,35.3337536623374,0.0032201215541806027,1.6241198158897958
t6,0.10716871058425975,16.716141352996164,0.007429255126177562,0.01826365627252058,3.770208287417984,3.001035996256324,23.639361390135722,35.33374614234652,0.003220498369684511,1.6241197020666736
t7,0.1071350282868126,16.716125083432306,0.007423444989282123,0.018244582130974987,3.7701834934163228,3.001004221763592,23.63933378333123,35.33371938490682,0.0032229995849930343,1.6241200890780325
t8,0.10709044527542223,16.716105841200324,0.0074179829995140835,0.018220602860325542,3.7701510943597842,3.000824636816638,23.639198135636924,35.33366377160064,0.003225308931201853,1.6241202993592607
t9,0.10708687666851444,16.716104908772028,0.007395388645463359,0.018218598020456334,3.7701484303623576,3.000732760638892,23.639124363259242,35.333658918341925,0.003227007381616618,1.6241060215236656
t10,0.10708401066893479,16.716105733599036,0.007387263314300533,0.018217527872285064,3.7701464305173755,1.5015735695114114,23.628067513654912,35.33365820673081,0.0032278384065330683,1.62409483034996
t11,0.10706130437251174,16.716096217172257,0.00737729019106288,0.018206951355045752,3.7701306911083403,0.6015206304987971,23.615163904166977,35.33365817696545,0.00322900260799843,1.6240854533055522
t12,0.10708306533773797,16.716106129737646,0.007386981736677018,0.018217599040997096,3.7701455165390576,0.6101352018162669,23.62848153464742,35.33365829235578,0.0032276804629171652,1.6241000022797902
t13,0.10708083751881303,16.716106705196758,0.007387893355198887,0.018218570542832248,3.770143955458375,1.5104621436571175,23.638930979116118,35.333658088525866,0.0032276441239029083,1.624100988069851
t14,0.10708061930392719,16.716106808683715,0.007387957971406117,0.018218836043868012,3.7701434557948477,2.9987047682474377,23.62519631264465,35.33365807557483,0.003227605426063255,1.6241015962334495
t15,0.10708223857675438,16.71610737704349,0.007389915381788807,0.018219711472488968,3.7701443902621103,3.000542183878608,23.638847237199364,35.33365802344189,0.0032274413190657423,1.6241024533927724
t16,0.10709183026792853,16.716112878986742,0.007414839691741556,0.01822741117288133,3.7701510965499234,3.0005922284574007,23.638847544743378,35.333657471829355,0.00322537446638507,1.6241182349542176
t17,0.1070801251873122,16.716104703791647,0.007389345242629645,0.018218570018587343,3.770142855978703,2.100548529444202,16.547291121574126,35.33365674675851,0.003227667360352336,1.6240944725324762
t18,0.10705856248889055,16.716094483373187,0.007376767471112553,0.018206977502108965,3.7701275472212963,0.6002032321413496,4.727837508902967,35.33365638431494,0.0032291602896716157,1.6240844036983209
t19,0.10708287030795177,16.71610609046343,0.007389278818697161,0.01822149378837723,3.7701445514399397,0.6001497797530795,4.7278021455429915,35.333655792698366,0.003227738017610615,1.6240960264392754
t20,0.10708350823805676,16.716107886215276,0.0074178877808476745,0.018256846442438652,3.770145273488059,0.6002921046615083,4.727847420828298,35.33365659904203,0.0032243431937080146,1.624119672810697
t21,0.10710093482689093,16.716111693056057,0.007423978192936092,0.018260282046585724,3.7701576575493214,2.1006851196577294,16.547515454190172,35.33365851373575,0.0032236370460979754,1.6241200763041692
t22,0.10710534337336274,16.716109764501006,0.007424227454833256,0.01826015456248213,3.770161038325015,3.0008985841679627,23.639250926550258,35.33365809893356,0.0032233915368593664,1.6241200626734202
